NoLimit#0,"""ไม่จำกัด"""
LimitedByAccount#0,"""$(0) ครั้งต่อ Account"""
LimitedByCharacter#0,"""$(0) ครั้งต่อ Character"""
LimitedByAccount_Resettime#0,"""<yellow>สามารถรับใหม่ได้เวลา $(0)<c>"""
LimitedByAccount_RepeatSelectTask#0,"""ต่อ Account"""
LimitedByCharacter_RepeatSelectTask#0,"""ต่อ Character"""
template_enemy#0,"""กำจัด $(0) โดยใช้ $(1)"""
template_CollisionAccess#0,"""ไปยัง %"""
template_GatheringPlayed#0,"""รวบรวม x% %"""
template_NpcTalk#0,"""คุยกับ %"""
template_QuestClear#0,"""เคลียร์ %"""
template_QuestClear_RankS#0,"""เคลียร์ % <br>ด้วยระดับ S rank"""
template_EnemyKill#0,"""กำจัด % %"""
location_guide_arrival#0,"""กำลังเข้าสู่พื้นที่ที่ถูกต้องสำหรับ 【 $(0) 】"""
location_guide_leave#0,"""ออกจากพื้นที่เป้าหมายสำหรับ \""$(0)\"" แล้ว"""
recommend_focus_main_task#0,"""ได้รับ Main Task ใหม่แล้ว คุณสามารถเปิดแสดง Guide Info ได้จาก Task List"""
acquired_reward_items#0,"""ได้รับไอเทมรางวัล"""
discarded_task#0,"""ยกเลิก Task: \""$(0)\"" แล้ว"""
discarded_task_error#0,"""ยกเลิก Task: \""$(0)\"" ล้มเหลว"""
subobjective_progress_fifty_percent#0,"""เป้าหมาย \""$(0)\"" คืบหน้า 50%"""
subobjective_progress_eighty_percent#0,"""เป้าหมาย \""$(0)\"" คืบหน้า 80%"""
subobjective_appeared#0,"""เป้าหมายใหม่: 【 $(0) 】"""
subobjective_achieved#0,"""บรรลุเป้าหมาย: 【 $(0) 】"""
multi_tasks_accepted#0,"""ได้รับ Task Orders หลายรายการ"""
task_accepted#0,"""ยอมรับ Task: \""$(0)\"" แล้ว"""
focused_task#0,"""แสดงข้อมูลนำทางสำหรับ Task: 【 $(0) 】"""
focused_task_error#0,"""แสดง Guide Info สำหรับ Task: \""$(0)\"" ล้มเหลว"""
cancelled_focus_task#0,"""ซ่อนข้อมูลนำทางสำหรับ Task: 【 $(0) 】"""
cancelled_focus_task_error#0,"""ซ่อน Guide Info สำหรับ Task: \""$(0)\"" ล้มเหลว"""
accomplished_task#0,"""สำเร็จ Task: 【 $(0) 】"""
accepted_task_error#0,"""ไม่สามารถรับ Task: \""$(0)\"" ได้"""
quest_focus_task_cannot#0,"""ไม่สามารถสลับการตั้งค่าแสดง Guide Info ได้ในระหว่างที่กำลังทำ Quest"""
task_unknown_error#0,"""เกิดข้อผิดพลาดที่ไม่ทราบสาเหตุ"""
task_order_expired#0,"""Task นี้หมดเวลาแล้ว"""
task_order_restrictions_error#0,"""ไม่สามารถรับ Task ได้เนื่องจากคุณรับจนถึงขีดจำกัดแล้ว"""
task_order_unfulfilled#0,"""คุณมี Limited Time Tasks ที่ยังไม่สำเร็จ"""
