Title#0,"""購買菜單"""
Caption1#0,"""商品名"""
Caption2#0,"""陳列期限"""
Caption3#0,"""價格"""
PopupItem1#0,"""使用$(1)$(0)轉蛋"""
PopupItem2_1#0,"""使用AC轉蛋券轉蛋(持有數:$(0))"""
PopupItem2_2#0,"""使用AC高級轉蛋券轉蛋(持有數:$(0))"""
PopupItem2_3#0,"""無法使用轉蛋券轉蛋"""
PopupItem2_4#0,"""使用AC轉蛋白金券轉蛋(持有數:$(0))"""
PopupItem3#0,"""獎品列表"""
PopupItem4_1#0,"""-"""
PopupItem4_2#0,"""-"""
PopupItem1_2#0,"""使用$(2)$(0)轉$(1)次"""
PopupItem2_5#0,"""使用AC轉蛋券轉$(0)次(持有數:$(1))"""
PopupItem2_6#0,"""使用AC高級轉蛋券轉$(0)次(持有數:$(1))"""
PopupItem5#0,"""確認次數追加獎勵"""
PopupItem6#0,"""在網頁中確認轉蛋情報"""
PopupItem7#0,"""使用交換券交換獎品(持有數:$(0))"""
PopupItem8#0,"""顯示預覽"""
EmissionProbability_Message#0,"""ー"""
EmissionProbability_Item#0,"""ー"""
EmissionProbability#0,"""-"""
EmissionParcent#0,"""$(0)%"""
ScratchPrizeList_PrizeItem#0,"""獎品道具"""
ScratchPrizeList_EmissionRate#0,"""排出率"""
Gacha_Preview_LobbyAction1#0,"""顯示預覽:類型1"""
Gacha_Preview_LobbyAction2#0,"""顯示預覽:類型2"""
Title#1,"""獎品列表"""
Title#2,"""-"""
Caption1#1,"""-"""
Caption2#1,"""-"""
Caption3#1,"""-"""
Title#3,"""商品情報"""
Hotitem_Caption#0,"""最推薦獎品"""
GachaBonusCaption#0,"""次數追加獎勵"""
GachaBonusNext#0,"""進行<yellow>$(0)次<c>該轉蛋贈送！"""
GachaBonusComment#0,"""$(0) など豪華$(1)点セット！"""
GachaBonusCommentNothing#0,"""該轉蛋沒有次數追加獎勵。"""
GachaBonusCommentAchieved#0,"""已獲得該轉蛋的次數追加獎勵。"""
CheckProbability_Title#0,"""確認轉蛋情報"""
CheckProbability_Message#0,"""為確認轉蛋情報，<br>將在瀏覽器中打開以下URL。<br><&URL pso2_players_catalog_scratch>"""
CheckProbability_Message_v#0,"""為確認轉蛋情報，<br>將在瀏覽器中打開以下URL。<br><&URL pso2_players_catalog_scratch><br><red>※將關閉應用程序<br>並打開瀏覽器。<c>"""
CheckProbability_Url#0,"""http://pso2.jp/players/catalog/scratch/"""
Title#4,"""確認次數追加獎勵"""
CounterCaption#0,"""已進行過該轉蛋的次數"""
CounterNum#0,"""$(0)次"""
Achieved#0,"""達成！"""
NextMore#0,"""還有$(0)次"""
NextMoreMulti#0,"""<space>"""
NextMoreEvery#0,"""還有$(0)次"""
Detail_Exp#0,"""經驗值　$(0)"""
Detail_Meseta#0,"""$(0)"""
Detail_CountableItem#0,"""$(0)×$(1)"""
DetailsTitle#0,"""道具詳情"""
ScratchLabelStage1#0,"""第1輪"""
ScratchLabelStage2#0,"""第2輪及之後"""
bonus_message#0,"""獲得了所有「第1輪」的報酬之後，會進入「第2輪及之後」。<br>「第2輪及之後」可以獲得重複報酬。"""
Title#5,"""確認購買"""
Message#0,"""<pict Arcscash><c ff4f3f>AC消費內容<c><br>使用$(2)$(0)<br>購買$(1)。<br>確定麼？"""
Message_Fun#0,"""使用$(2)$(0)<br>購買$(1)。<br>確定麼？"""
PassMessage#0,"""<pict Arcscash><c 5fdf00>使用已購買的道具<c><br>使用$(2)<br>轉$(0)。<br>確定麼？<br>(持有數:$(1))"""
RetryMessage#0,"""<pict Arcscash><c ff4f3f>AC消費內容<c><br>繼續使用$(2)$(0)<br>購買$(1)。<br>確定麼？"""
RetryMessage_Fun#0,"""繼續使用$(2)$(0)<br>購買$(1)。<br>確定麼？"""
RetryPassMessage#0,"""<pict Arcscash><c 5fdf00>使用已購買的道具<c><br>繼續使用$(2)<br>轉$(0)。<br>確定麼？<br>(持有數:$(1))"""
PassMessage_LotTimes#0,"""<pict Arcscash><c 5fdf00>使用已購買的道具<c><br>使用$(2)枚$(4)<br>轉$(1)連$(0)。<br>確定麼？<br>(持有數:$(3))"""
RetryPassMessage_LotTimes#0,"""<pict Arcscash><c 5fdf00>使用已購買的道具<c><br>繼續使用已購買的道具<c><br>使用$(2)枚$(4)<br>轉$(1)連$(0)。<br>確定麼？<br>(持有數:$(3))"""
Message_SG#0,"""<pict StarGem><c 1dedd7>SG消費內容<c><br>使用$(2)$(0)<br>購買$(1)。<br>確定麼？"""
