Achievements_Fullsize_Title#0,"""ฉายา"""
Achievements_Form_Title#0,"""รายการภารกิจฉายา"""
Achievements_Filter_Accomplished#0,"""สำเร็จแล้ว"""
Achievements_Filter_InProgress#0,"""ยังไม่สำเร็จ"""
Achievements_Filter_All#0,"""ฉายาทั้งหมด"""
Achievements_Sort_Normal#0,"""เรียงลำดับ: ปกติ"""
Achievements_Sort_Get#0,"""เรียงลำดับ: ตามที่ได้รับ"""
Achievements_Point_Title#0,"""แต้มความสำเร็จ"""
Achievements_Point#0,"""$(0) Pt"""
Achievements_Total_Title#0,"""จำนวนฉายาที่ได้รับ"""
Achievements_Total#0,"""$(0)"""
Achievements_Unknown#0,"""??????"""
Achievements_Progress_Title#0,"""ความคืบหน้า"""
Achievements_Progress#0,"""$(0)/$(0)"""
Achievements_Button_Back#0,"""กลับ"""
Achievements_Empty_List#0,"""ไม่มีฉายาเป้าหมายในรายการ"""
Achievements_Please_Wait#0,"""กรุณารอสักครู่"""
Achievements_Details_Title#0,"""รายละเอียดเพิ่มเติมเกี่ยวกับ [$(0)]"""
Achievements_Details_RewardCheck1#0,"""<%Function> รายละเอียดเพิ่มเติม"""
Achievements_Details_RewardCheck2#0,"""<%Function> ข้อมูลพื้นฐาน"""
Achievements_Details_Rewind_Condition#0,"""เงื่อนไขการรับ"""
Achievements_Details_Rewind_Condition_Account#0,"""1 ครั้งต่อบัญชี"""
Achievements_Details_Rewind_Condition_Character#0,"""1 ครั้งต่อตัวละคร"""
Achievements_Details_Overview#0,"""ภาพรวม"""
Achievements_Details_Overview_Template#0,"""เมื่อปลดล็อกฉายาแล้ว จะสามารถตั้งค่าฉายา<br>【 $(0) 】<br>บน ARKS Card ของคุณได้"""
Achievements_Details_Reward#0,"""รางวัล"""
Achievements_Details_NoReward#0,"""ไม่มีไอเทมรางวัล"""
Achievements_Basic_Info#0,"""ข้อมูลพื้นฐาน"""
Achievements_Reward_Info#0,"""ข้อมูลรางวัล"""
Achievements_Operation_Info#0,"""สลับด้วย ←→"""
Achievements_Details_Unselected#0,"""ไม่ได้เลือกภารกิจฉายา"""
Achievements_Detial_Tilte_Unselected#0,"""รายละเอียดภารกิจฉายา"""
Achievements_Detial_ItemName#0,"""ฉายา: “$(0)”"""
Achievements_Reward_Quantity_Num#0,"""×$(0)"""
Achievements_Period#0,"""<yellow>※ระยะเวลาที่เปิดให้ทำ:<br>\u3000$(0)<c>"""
