Window_Titletelop_WeeklyRanking#0,"""บันทึกกิจกรรม At-Random"""
Window_TwolineGuide_WeeklyRanking#0,"""คุณสามารถตรวจสอบรายละเอียดเกี่ยวกับ ARKS Record ที่กำลังจัดขึ้นได้ที่นี่"""
Window_Title_Main#0,"""รายละเอียด ARKS Record"""
Window_Title_RankingList#0,"""รายการ Record"""
Window_Title_ClearInfo#0,"""รายละเอียดการเคลียร์"""
Window_Title_RewardDetail#0,"""รายละเอียดรางวัล"""
RankingList_Headline_Open#0,"""รอบปัจจุบัน"""
RankingList_Headline_Notice#0,"""รอบถัดไป"""
RankingList_Headline_Archive#0,"""สิ้นสุดแล้ว"""
RankingList_Headline_All#0,"""แสดงทั้งหมดทดสอบ"""
RankingList_StartDate#0,"""เริ่ม: $(0)<br>$(1)"""
RankingList_StartDate_All#0,"""เริ่ม: $(0) ($(1))<br>$(2)"""
RankingList_Open_Description#0,"""ไม่มี Records ให้แสดง"""
RankingList_Notice_Description#0,"""ไม่มี Records ให้แสดง"""
RankingList_Archive_Description#0,"""ไม่มี Records ให้แสดง"""
RankingList_Loading#0,"""กำลังโหลดรายการ Record..."""
Main_Headline_TitleName#0,"""ชื่อ Record"""
Main_Headline_Category#0,"""หมวดหมู่"""
Main_Headline_Description#0,"""รายละเอียด"""
Main_Headline_Period_Open#0,"""ระยะเวลาที่จัด"""
Main_Headline_Period_Notice#0,"""วันที่เริ่มต้น"""
Main_Headline_Period_Close#0,"""วันที่/เวลา"""
Main_Headline_MyRank_Open#0,"""Record ปัจจุบัน (อัปเดต $(0) ทุกวัน)"""
Main_Headline_MyRank_Close#0,"""Record ก่อนหน้า"""
Main_Headline_Reward#0,"""รางวัลเข้าร่วม"""
Main_Headline_Reward_Description#0,"""รางวัลที่ได้รับจะเปลี่ยนไปตามสถานะสุดท้าย"""
Main_Headline_TopRank_Open#0,"""อันดับสูงสุดปัจจุบัน (แสดงสูงสุด $(0) คน)"""
Main_Headline_TopRank_Close#0,"""อันดับสูงสุด (แสดงสูงสุด $(0) คน)"""
