OrderList#0,"""毎日製作清單"""
TodaySuccess#0,"""本日的毎日製作達成數"""
NextReward#0,"""下個委託達成時的報酬"""
AcceptList#0,"""委託内容確認"""
OrderReward#0,"""委託達成報酬"""
Recipe#0,"""對應製作清單"""
SuccessNum#0,"""委託達成次數"""
SuccessReward#0,"""委託達成報酬"""
FullSizeFormTitle#0,"""毎日製作"""
FullSizeFormHelp#0,"""<c f0df60>毎天都會有不同的委託寄來。只要選擇委託，就能開始鍛造。<c><br>"""
OrderListEmptyMessage#0,"""沒有委託"""
OrderSuccessNumMessage#0,"""$(0)/$(1)　（毎天$(2)點更新）"""
RewardListItemName#0,"""$(0)委託達成"""
RewardNameNone#0,"""無"""
RewardListEmptyMessage#0,"""未能獲得報酬情報"""
NoRecipeSelectErrorMessage#0,"""未習得必要的製作清單，<br>無法選擇。"""
ItemFullSelectErrorMessage#0,"""道具背包的空間不足，<br>或已超過持有數量的極限，<br>因有可能無法取得報酬，<br>故無法執行。"""
GetRewardMessage#0,"""領取了$(0)委託達成報酬「$(1)」。"""
OrderListReturn#0,"""回到毎日鍛造清單"""
CraftOrder#0,"""委託製作"""
CraftTerminal#0,"""製作裝置情報"""
CraftOrderSelection#0,"""你委託的訂單"""
CraftOrderCheck#0,"""發包確認"""
cancel#0,"""確認取消訂單"""
CraftReturnedGoods#0,"""取消確認"""
CraftOrderReceivedList#0,"""委託清單"""
CraftSignboardMenu#0,"""看板設定菜單"""
CraftSignboardSetup#0,"""看板設定"""
CraftRecipeMenu#0,"""可受理的製作清單登録菜單"""
CraftRecipeKindSelection#0,"""選擇製作清單種類"""
CraftAdvertisementSetup#0,"""編輯廣告"""
CraftOrderCharacter#0,"""選擇委託角色"""
OrderCheck#0,"""選擇訂單"""
RequestOrderReceived#0,"""接受委託"""
RequestOrderRefuses#0,"""拒絶委託"""
ArksCard#0,"""看ARKS名片"""
BlackList#0,"""加入黑名單"""
FriendRegistration#0,"""申請加入好友"""
TeamCommand#0,"""公會指令"""
RecipeSetup#0,"""登録可受理的製作清單"""
AdvertisementSetup#0,"""編輯廣告"""
Extend#0,"""擴張"""
TechnicCustomize#0,"""法術自定義"""
OriginalEnchant#0,"""時限能力安裝"""
UnSetup#0,"""尚未被登録"""
OrderClient#0,"""訂單委託者"""
RequestArticle#0,"""委託品"""
RequestDay#0,"""委託日"""
OrderReceivedRecipe#0,"""可受理的製作清單"""
Advertisement#0,"""廣告"""
SearchSetup#0,"""可搜尋到你的玩家"""
CommercialCopyEntry#0,"""輸入廣告文"""
AdvertisementSymbolArt#0,"""設置廣告塗鴉"""
OrderRecipeA#0,"""可受理的製作清單1"""
OrderRecipeB#0,"""可受理的製作清單2"""
OrderRecipeC#0,"""可受理的製作清單3"""
SearchAll#0,"""誰都可以"""
SearchFriend#0,"""僅限好友"""
SearchTeamMember#0,"""僅限公會成員"""
SearchFriendTeam#0,"""僅限好友與公會成員"""
Secret#0,"""非公開"""
CraftOrderConfirmTitle#0,"""確認受理訂單"""
CraftOrderConfirmMessage#0,"""使用這個産線<br>執行委託内容。<br><br>是否執行？<br><br>報酬：$(1)<br>冷卻時間：$(0)"""
Order_Possible#0,"""尚未下訂"""
OrderReceptionist#0,"""未下訂"""
OrderUnderOrder#0,"""下訂中"""
OrderCompletion#0,"""下訂完成"""
OrderReturn#0,"""取消"""
OrderCharacterName#0,"""受理者名稱"""
OrderItemName#0,"""道具名稱"""
OrderDay#0,"""下訂日"""
SettingReflection#0,"""確定"""
CraftOrderCharacterNone#0,"""無可選擇的角色"""
CraftOrderReceivedListNone#0,"""沒有委託"""
CraftRecipeNone#0,"""無製作清單"""
CraftSignboardRecipeSet#0,"""變更了可受理的製作清單。"""
CraftSignboardCmSet#0,"""變更了廣告。"""
CraftOrderPlaceTitle#0,"""發包確認"""
CraftOrderPlaceAskExtend#0,"""要以此内容進行發包麼？<br><br><br>※若進行武裝擴張，且尚未進行所有者登録，<br>　則會自動進行<yellow>所有者登録<c>，<br>　將無法與其他玩家交易。<br>※裝備條件限制的放寬状態將被<yellow>重置。<c>"""
CraftOrderPlaceAskExtendSameLevel#0,"""要以此内容進行發包麼？<br><br><br>※因擴張等級相同，<br>　<c ff007f>「大成功！」<c>的發生機率上升。"""
CraftOrderPlaceAskTechnic#0,"""要以此内容進行發包麼？"""
CraftOrderPlaceAskEnchant#0,"""要以此内容進行發包麼？"""
CraftOrderPlaceMessage#0,"""發出了委託訂單。<br><br>可從通訊裝置的「鍛造＞委託中的訂單」<br>領取成品或取消下訂。"""
CraftOrderPlaceError#0,"""發包失敗。"""
CraftOrderPlaceCancelTitle#0,"""確認取消訂單"""
CraftOrderPlaceCancelAsk#0,"""取消已發包訂單。<br>將會退還下列道具與美賽達。<br>確定執行？<br><br>退還金額：$(0)"""
CraftOrderPlaceCancelMessage#0,"""取消了訂單。"""
CraftOrderPlaceCancelError#0,"""訂單取消失敗。"""
CraftOrderPlaceBackTitle#0,"""取消確認"""
CraftOrderPlaceBackAsk#0,"""發包訂單已被<yellow>取消<c>了。<br>將會退還下列道具與美賽達。<br>確定執行？<br><br>退還金額：$(0)"""
CraftOrderPlaceBackMessage#0,"""領取了被取消的道具。"""
CraftOrderPlaceBackError#0,"""領取道具失敗。"""
CraftOrderReceiveCancelTitle#0,"""確認取消受理"""
CraftOrderReceiveCancelAsk#0,"""確定要取消受理該委託麼？"""
CraftOrderReceiveCancelMessage#0,"""取消了受理。"""
CraftOrderReceiveCancelError#0,"""取消受理失敗。"""
CraftOrderGetTitle#0,"""領取確認"""
CraftOrderGetAsk#0,"""委託訂單已經製作完成了。<br>要領取道具麼？<br><br>製作結果：$(0)"""
CraftOrderGetAskOwner#0,"""委託訂單製作完成。<br>要領取道具麼？<br><br><yellow>所有者登記完成<c>。<br>製作結果：$(0)"""
CraftOrderGetMessage#0,"""領取了道具。<br>是否對製作者送出鼓勵？"""
CraftOrderGetError#0,"""領取失敗。"""
CraftOrderPlaceDisableTitle#0,"""發包確認"""
CraftOrderPlaceDisableMessage#0,"""可於此畫面確認目前的發包内容。<br><br>想要發出新的鍛造委託時，<br>可透過通訊裝置的「鍛造＞鍛造者搜尋」移動到對象的個人小屋，<br><yellow>從對象的個人小屋裝置<c>進行發包。"""
CraftSignboardTitle#0,"""看板確認"""
CraftSignboardMessage#0,"""確認要放棄已變更的設定並返回麼？"""
ExplainSignboard#0,"""<c f0df60>可設置看板内容，此内容將會在其他玩家進行「鍛造者搜尋」之時顯示。<c>"""
ExplainSbSelectRecipeSlot#0,"""<c f0df60>可登録3份想受理其他玩家委託的「鍛造清單」。<c>"""
ExplainSbSelectRecipeType#0,"""<c f0df60>請選擇想登録的「鍛造清單」的種類。<c>"""
ExplainSbSelectRecipe#0,"""<c f0df60>請選擇想登録的「鍛造清單」。<c ff4f3f>用TAB鍵切換<c f0df60>，會顯示其他製作清單。<c>"""
ExplainSbSelectStamp#0,"""<c f0df60>請選擇想登録的「資料盤」。<c>"""
ExplainSbSelectCm#0,"""<c f0df60>請設定廣告文、個人廣告塗鴉和可以搜尋到的對象。<c>"""
ExplainReceive#0,"""<c f0df60>可以確認向發包的委託内容，並進行鍛造。<c>"""
ExplainRcvSelectLine#0,"""<c f0df60>執行鍛造需要使用一條「生產線」，最多可以使用9條生產線。<c>"""
ExplainRcvConfirmExtend#0,"""<c f0df60>這是武裝擴張的最終確認界面。<c>"""
ExplainRcvFinishExtend#0,"""<c f0df60>　<c>"""
ExplainRcvConfirmCustomize#0,"""<c f0df60>這是法術自定義的最終確認界面。<c>"""
ExplainRcvConfirmEnchant#0,"""<c f0df60>這是時限能力安裝的最終確認界面。<c>"""
ExplainPlace#0,"""<c f0df60>進行發包成品的領取或取消等方面的「鍛造」相關操作。<c>"""
ExplainPlcSelectCharacter#0,"""<c f0df60>請選擇想要發包的角色。<c>"""
ExplainPlcSelectRecipe#0,"""<c f0df60>請選擇想要委託的製作清單。依清單内容所需的材料會不一樣。<c>"""
CraftOrderResultNormal#0,"""<green>成功<c>"""
CraftOrderResultSuccess#0,"""<c ff007f>大成功！<c>"""
CraftOtherShip#0,"""別艘戰艦的鍛造者"""
CraftOrderReward#0,"""從$(0)領收到$(1)美賽達。"""
SignboardErrorEnchantAddonType#0,"""因為已有其他看板設定同部位的時限能力資料，<br>所以無法選擇。<br><br>毎個部位僅能設定1種時限能力安裝的製作清單。"""
PACustomize#0,"""PA自定義"""
CraftOrderConfirmSameLevelMessage#0,"""発注された依頼内容を実行します。<br>よろしいですか？<br><br>※エクステンドレベルが同じであるため、<br>\u3000<c ff007f>「大成功」<c>の発生確率が上昇します。<br><br>報酬メセタ： $(1)<br>発生クールタイム： <yellow>$(0)<c>"""
CraftNpcOrderConfirmMessage#0,"""発注された依頼内容を実行します。<br>よろしいですか？<br><br>※作成後のアイテムは、自動で納品されます。<br><br>報酬メセタ： $(1)<br>発生クールタイム： <yellow>$(0)<c>"""
CraftNpcOrderConfirmSameLevelMessage#0,"""発注された依頼内容を実行します。<br>よろしいですか？<br>※エクステンドレベルが同じであるため、<br>\u3000<c ff007f>「大成功」<c>の発生確率が上昇します。<br>※作成後のアイテムは、自動で納品されます。<br><br>報酬メセタ： $(1)<br>発生クールタイム：<yellow> $(0)<c>"""
CraftOrderPlaceAskPaCustomize#0,"""要以此内容進行發包麼？"""
ExplainRcvConfirmPaCustomize#0,"""<c f0df60>這是自定義PA的最終確認界面。<c>"""
Craft#0,"""鍛造"""
MenuNewExtend#0,"""武裝擴張（新世武器）"""
MenuExtend#0,"""武裝擴張（舊式武器・防具）"""
MenuCustomize#0,"""法術自定義"""
MenuMaterialComp#0,"""-----"""
MenuItemDecomp#0,"""道具分解"""
MenuFarm#0,"""-----"""
