Title#0,"""任務成果"""
MenuType_Next#0,"""進行下一個「$(0)」"""
MenuType_Next_None#0,"""沒有下一個訓練"""
MenuType_Retry#0,"""再進行一次這個訓練"""
MenuType_Back#0,"""返回大廳區域"""
TerminalMenuType_Reset#0,"""從新開始進行$(0)"""
TerminalMenuType_Close#0,"""從終端退出"""
TerminalResetConfirmTitle#0,"""重試終端"""
TerminalResetConfirmMessage#0,"""重試$(0)麼？"""
TerminalResetConfirmTitle2#0,"""重試終端"""
Title#1,"""任務結果"""
QuestResultTitle#0,"""任務結果"""
ItemResultTitle#0,"""道具結果"""
RankResultTitle#0,"""-"""
BeforeQuestResultTitle#0,"""前次任務結果"""
BeforeItemResultTitle#0,"""前次道具結果"""
BeforeRankResultTitle#0,"""-"""
End#0,"""結束"""
ItemResultElement1#0,"""取得美賽達"""
ItemResultElement2#0,"""取得EXP"""
ItemResultElement3#0,"""取得FUN"""
ItemResultUnit1#0,"""美賽達"""
ItemResultUnit2#0,"""ＥＸＰ"""
ItemResultUnit3#0,"""FUN"""
ItemGet#0,"""取得道具"""
QuestResultElement1#0,"""打倒敵人達成度"""
QuestResultElement2#0,"""受到的傷害"""
QuestResultElement3#0,"""無法戰鬥次數"""
QuestResultElement4#0,"""無法戰鬥返回次數"""
QuestResultElement5#0,"""完成時間"""
QuestResultElement6#0,"""剩餘時間"""
QuestResultElement7#0,"""任務點數"""
QuestResultElement8#0,"""據點耐久値的總餘量"""
QuestResultElement9#0,"""EQ試煉成功率"""
Score#0,"""分數"""
Perfect#0,"""★ PERFECT"""
TotalResult#0,"""綜合評價"""
ErrandResultTitle#0,"""已協助委託的結果"""
ErrandOrderTitle#0,"""已協助的委託"""
EquipNoteResultTitle#0,"""收集板結果"""
BeforeEquipNoteResultTitle#0,"""前次收集板結果"""
ChallengeResultTitle#0,"""挑戰結果"""
ItemResultElement4#0,"""取得挑戰里程（CM）"""
ItemResultUnit4#0,"""CM"""
QuestResultElement11#0,"""A.I.S搭乘次數"""
QuestResultQuestFlag#0,"""任務達成度"""
QuestResultElement12#0,"""這次的分數"""
QuestResultElement13#0,"""任務参加率"""
QuestResultElement14#0,"""A.I.S/摩的被撃墜数"""
QuestResultElement15#0,"""任務進行度"""
QuestResultElement16#0,"""撃破達成度"""
QuestResultElement17#0,"""追加評価"""
QuestResultElement18#0,"""エネミー"""
QuestResultElement19#0,"""オブジェクト"""
QuestResultUnit1#0,"""隻"""
EquipNoteResultElement1#0,"""進行度上升了的槽（表示最高的5個）"""
EquipNoteResultProgress#0,"""$(0) 的必要道具進行度"""
EquipNoteResultOther#0,"""<yellow>※也有其他進行度上升了的道具。<c>"""
EquipNoteResultPercent#0,"""$(1).$(0)%"""
PointValue#0,"""$(0)pt"""
ChallengeResultTitle1#0,"""基本結果"""
ChallengeResultTitle2#0,"""獲得挑戰里程（CM)"""
ChallengeResultTitle3#0,"""獲得成就"""
ChallengeResultTitle4#0,"""挑戰参加率"""
ChallengeResultTitle5#0,"""獲得挑戰里程（CM）（增益點+$(0)%）"""
ChallengeResultTitle6#0,"""完成挑戰"""
ChallengeResultSub1#0,"""完成率"""
ChallengeResultSub2#0,"""MISSION$(0)($(1))"""
ChallengeResultSub3#0,"""里程水晶獲得量"""
ChallengeResultSub4#0,"""美賽達獲得量"""
ChallengeResultSub5#0,"""隊伍加成"""
ChallengeResultSub6#0,"""完成率評価"""
ChallengeResultSub7#0,"""合計里程加成"""
Get#0,"""GET!"""
CollectFileRareDropBoost#0,"""稀有道具掉落率加成適用"""
CollectFilePremiumBoost#0,"""プレミアムボーナスで2倍上昇！"""
BasnetResultTitle1#0,"""勝敗結果"""
BasnetResultTitle2#0,"""任務結果"""
BasnetResultTitle3#0,"""成績"""
BasnetResultTitle4#0,"""BP"""
BasnetResultTitle5#0,"""等級變化"""
BasnetResultTitle6#0,"""等級變化（增益+$(0)%）"""
BasnetResultSub1#0,"""勝敗"""
BasnetResultSub2#0,"""BOSS撃破"""
BasnetResultSub3#0,"""戰力槽差獎勵"""
BasnetResultSub4#0,"""殘存據點數"""
BasnetResultSub5#0,"""擔當據點防衛"""
BasnetResultSub6#0,"""己方設施被害"""
BasnetResultSub7#0,"""無法戰鬥次數"""
BasnetResultSub8#0,"""攻城點數"""
BasnetResultSub9#0,"""等級"""
BasnetResultSub10#0,"""現在的攻城點數"""
BasnetResultSub11#0,"""距離下個等級還差"""
BasnetResultText1#0,"""勝利"""
BasnetResultText2#0,"""敗北"""
BasnetResultText3#0,"""達成"""
BasnetResultText4#0,"""未達成"""
BasnetResultText5#0,"""+$(0)"""
BasnetResultText6#0,"""-$(0)"""
BasnetResultText7#0,"""$(0)"""
BasnetResultText8#0,"""$(0)%"""
BasnetResult_NextPointNone#0,"""―"""
BasnetResultText9#0,"""$(0)"""
ArmadaPoint_Quest#0,"""獲得迎撃ポイント"""
ArmadaPoint_Total#0,"""全セクター獲得迎撃ポイント合計"""
Prism_RemainCanon#0,"""-"""
MackResult_Sub1#0,"""到達したステップ数"""
MackResult_Floor#0,"""ステップ$(0)"""
MackResult_Sub2#0,"""クリアランク"""
MackResult_NoRank#0,"""－"""
MackResult_PointName#0,"""逆境點數"""
MackResult_WeeklyPointName#0,"""這週已獲得的逆境點數"""
MenuType_OngoingQuest#0,"""接受中的任務"""
MenuType_OngoingTrial#0,"""發生中的E試煉"""
