LineDuel_DeckSelect_Title_Text#0,"""เลือก Deck"""
LineDuel_DeckSelect_Message_Text#0,"""เลือก Deck ที่คุณต้องการใช้งาน<br><yellow>※หากคุณไม่เลือก Deck ภายใน 30 วินาที ระบบจะเลือกอันบนสุดให้อัตโนมัติ<c>"""
LineDuel_DeckSelect_Message_Text_NPC#0,"""เลือก Deck ที่คุณต้องการใช้งาน"""
LineDuel_Mulligan_Title_Text#0,"""ตรวจสอบการ์ดบนมือ"""
LineDuel_Mulligan_Message#0,"""คุณต้องการเริ่ม Battle ด้วยการ์ดชุดนี้หรือไม่?<br>คุณสามารถสับไพ่และจั่วใหม่ได้ 1 ครั้ง<br><br><yellow>หากคุณไม่ตัดสินใจภายใน 30 วินาที ระบบจะเริ่ม Battle ด้วยการ์ดชุดนี้<c>"""
LineDuel_Mulligan_Message_NPC#0,"""คุณต้องการเริ่ม Battle ด้วยการ์ดชุดนี้หรือไม่?<br>คุณสามารถสับไพ่และจั่วใหม่ได้ 1 ครั้ง"""
LineDuel_Mulligan_Text1#0,"""เริ่ม Battle"""
LineDuel_Mulligan_Text2#0,"""จั่วไพ่ใหม่"""
LineDuel_Guide_Text1#0,"""ยืนยัน"""
LineDuel_Guide_Text2#0,"""ย้อนกลับการกระทำล่าสุด"""
LineDuel_Guide_Text3#0,"""ตรวจสอบการ์ดบนมือ"""
LineDuel_Guide_Text4#0,"""เริ่ม Battle"""
LineDuel_Guide_Text5#0,"""ยอมแพ้/ออก"""
LineDuel_Guide_Text6#0,"""แชท"""
LineDuel_Guide_Text7#0,"""ตรวจสอบ Deck/แชท"""
LineDuel_Guide_TextAutoFocusOn#0,"""เปิด Auto-Focus"""
LineDuel_Guide_TextAutoFocusOff#0,"""ปิด Auto-Focus"""
LineDuel_Guide_Key1#0,"""<%Decide>"""
LineDuel_Guide_Key2#0,"""<%NextTabDetails>"""
LineDuel_Guide_Key3#0,"""<%TabBack><pict 4space>/<pict 4space><%TabForward>"""
LineDuel_Guide_Key4#0,"""<%Function>"""
LineDuel_Guide_Key5#0,"""<swguidetype BluePrintEscMenu>"""
LineDuel_Guide_Key6#0,"""<%Exception>"""
LineDuel_Guide_Key7#0,"""<%Exception>/<%Exception2>"""
LineDuel_Guide_KeyAutoFocus#0,"""<%Exception2>"""
LineDuel_SpectatorGuide_Text1#0,"""ออก"""
LineDuel_SpectatorGuide_Key1#0,"""<swguidetype BluePrintEscMenu>"""
LineDuel_SpectatorGuide_Text2#0,"""เล่นเร็วขึ้น"""
LineDuel_SpectatorGuide_Text2_2#0,"""ความเร็วปกติ"""
LineDuel_SpectatorGuide_Key2#0,"""<%ChangeCtrlWindowForward>"""
LineDuel_SpectatorGuide_Key2_2#0,"""<%ChangeCtrlWindowForward>"""
LineDuel_Battle_Surrender_Title#0,"""ข้อความ"""
LineDuel_Battle_Exit_Title#0,"""ข้อความ"""
LineDuel_Battle_Surrender_Message#0,"""คุณแน่ใจหรือไม่ว่าต้องการยอมแพ้?"""
LineDuel_Battle_Surrender_Error#0,"""ยังไม่มี Base ของคุณถูกทำลาย<br>คุณจึงไม่สามารถยอมแพ้ได้"""
LineDuel_Battle_Exit_Message#0,"""คุณแน่ใจหรือไม่ว่าต้องการออก?"""
LineDuel_Battle_WithWarningCaneclRematch_Message#0,"""คุณแน่ใจหรือไม่ว่าต้องการออก?<br><yellow>※คำขอ Rematch ของคุณจะถูกยกเลิก<c>"""
LineDuel_Battle_ExitWithWarningCancelMatchmaking_Message#0,"""คุณแน่ใจหรือไม่ว่าต้องการออก?<br><yellow>※คุณจะถูกถอนตัวจาก Matchmaking<c>"""
LineDuel_Result_Title_Text#0,"""ผลการแข่งขัน"""
LineDuel_Result_Reward#0,"""รางวัล"""
LineDuel_Result_DailyReward#0,"""รางวัลรายสัปดาห์"""
LineDuel_Result_DailyRewardNum#0,"""$(0)/$(1)"""
LineDuel_Result_Rate#0,"""Rating"""
LineDuel_Result_Continue#0,"""กลับไปที่กระดาน"""
LineDuel_Result_End#0,"""ออก"""
LineDuel_Result_Remach#0,"""Rematch"""
LineDuel_Result_Replay#0,"""เล่นอีกครั้ง"""
LineDuel_RateNum_Gain#0,"""<pict ld_rateicon>$(0)(+$(1))"""
LineDuel_RateNum_Lose#0,"""<pict ld_rateicon>$(0)($(1))"""
LineDuel_RateNum_InProgress#0,"""กำลังตรวจสอบ..."""
LineDuel_RateNum_None#0,"""-"""
LineDuel_ItemNum#0,"""$(0) x $(1)"""
LineDuel_Result_Message_Win#0,"""คุณชนะใน Battle นี้"""
LineDuel_Result_Message_Lose#0,"""คุณแพ้ใน Battle นี้"""
LineDuel_Result_Message_Draw#0,"""Battle นี้จบลงด้วยผลเสมอ"""
LineDuel_Result_Message_Retire#0,"""ฝ่ายตรงข้ามออกจากเกม<br>Battle นี้จึงถูกยกเลิก"""
Popup_NameTextWithTitle#0,"""$(0)$(1): $(2) $(3)"""
Popup_NameTextNoTitle#0,"""$(0)$(1): $(2)"""
Popup_OverrapNameTextWithTitle#0,"""$(0)<yellow>$(1)<c>: $(2) $(3)"""
Popup_OverrapNameTextNoTitle#0,"""$(0)<yellow>$(1)<c>: $(2)"""
MatchingErrorDisconnectTitle#0,"""Matchmaking ผิดพลาด"""
MatchingErrorDisconnectMessage#0,"""ยกเลิก Matchmaking แล้ว"""
UnknownDisconnectTitle#0,"""ข้อผิดพลาด"""
UnknownDisconnectWindowMessage#0,"""เกิดข้อผิดพลาดขึ้น"""
VSWidget_NameTextForRankMatch#0,"""$(0) ( <pict ld_rateicon>$(1) )"""
VSWidget_NpcTitle#0,"""NPC"""
LineDuel_PlayError_Element#0,"""คุณไม่สามารถทำ Rewrite Summon ทับการ์ดที่มี Attribute ต่างกันได้"""
LineDuel_PlayError_RewriteCost#0,"""ไม่สามารถทำ Rewrite Summon ได้ เนื่องจากการ์ดใบนี้มี Cost ต่ำกว่าการ์ดที่คุณพยายามจะ Rewrite"""
LineDuel_PlayError_Cost#0,"""PP ไม่เพียงพอ"""
LineDuel_PlayError_AlreadyPlay#0,"""คุณไม่สามารถทำ Rewrite Summon ลงในช่องเดียวกัน 2 ครั้งในเทิร์นเดียวกันได้"""
LineDuel_PlayError_CellSeal#0,"""คุณไม่สามารถ Summon ที่นี่ได้เนื่องจากผลของ Summon Seal"""
LineDuel_PlayError_AbilityRestrict#0,"""คุณไม่สามารถ Summon ที่นี่ได้เนื่องจากผลของการ์ดที่กำลังเล่นอยู่"""
LineDuel_Mulligan_Execute#0,"""จั่วไพ่ใหม่แล้ว"""
LineDuel_Mulligan_RewriteShortage#0,"""ไม่สามารถทำ Rewrite Summon ได้ เนื่องจาก PP Cost ของการ์ดใบนี้ต่ำกว่าการ์ดที่จะทำการ Rewrite"""
LineDuel_Rematch_Toast#0,"""ฝ่ายตรงข้ามขอ Rematch"""
LineDuel_Rematch_Title#0,"""ยืนยัน Rematch"""
LineDuel_Rematch_Message#0,"""ฝ่ายตรงข้ามขอ Rematch คุณต้องการเล่นอีกครั้งหรือไม่?"""
LineDuel_Rematch_Denay_Title#0,"""ยืนยัน Rematch"""
LineDuel_Rematch_Denay_Message#0,"""ฝ่ายตรงข้ามปฏิเสธการ Rematch<br>คุณต้องการออกหรือไม่?"""
LineDuel_Rematch_Watching_Title#0,"""ข้อความ"""
LineDuel_Rematch_Watching_Message#0,"""การแข่งขันรอบใหม่ของผู้เล่นทั้งสองคนได้เริ่มขึ้นแล้ว<br>ต้องการรับชมต่อหรือไม่?"""
LineDuel_Rematch_Watching_Title2#0,"""ข้อความ"""
LineDuel_Rematch_Watching_Message2#0,"""มีผู้เล่นคนหนึ่งออกจากการแข่งขัน จึงไม่มีการแข่งขันรอบต่อไป<br>คุณต้องการออกหรือไม่?"""
LineDuel_Title_Text#0,"""Line Strike"""
LineDuel_Menu_Category1#0,"""Match"""
LineDuel_Menu_Category2#0,"""ข้อมูลส่วนตัว"""
LineDuel_CasualMatch#0,"""Unrated Battle"""
LineDuel_RankMatch#0,"""Rated Battle"""
LineDuel_NPCBattle#0,"""สู้กับ NPC"""
LineDuel_FreeBattleInvitation#0,"""ยืนยันการเข้าร่วม Free Battle"""
LineDuel_RoomList#0,"""รับชม"""
LineDuel_RoomList_Text1#0,"""รูปแบบ Match"""
LineDuel_RoomList_Text2#0,"""เทิร์น"""
LineDuel_RoomList_Text3#0,"""Rating"""
RoomList_RateSlash#0,"""$(0) / $(1)"""
LineDuel_FreeBattle#0,"""Free Battle"""
LineDuel_AllBattle#0,"""Battles ทั้งหมด"""
