Ship01#0,"""01船：費歐"""
Ship02#0,"""02船：烏爾"""
Ship03#0,"""03船：索恩"""
Ship04#0,"""04船：安斯爾"""
Ship05#0,"""05船：拉古茲"""
Ship06#0,"""06船：肯"""
Ship07#0,"""07船：鳩夫"""
Ship08#0,"""08船：維因"""
Ship09#0,"""09船：哈嘉爾"""
Ship10#0,"""10船：納烏西茲"""
Self01_01#0,"""Self01_01"""
Self01_02#0,"""Self01_02"""
Self02_01#0,"""Self02_01"""
Self02_02#0,"""Self02_02"""
Ship01#1,"""Ship01"""
Ship02#1,"""Ship02"""
YesText#0,"""是"""
NoText#0,"""否"""
CloseText#0,"""關閉"""
OpenText#0,"""打開"""
MaxText#0,"""最大化"""
MinText#0,"""最小化"""
Sort#0,"""排序"""
