battletrigger_use_check_title#0,"""Yellow Portal"""
battletrigger_use_check_message#0,"""The [$(0)] ในช่องเก็บของของคุณ<br>กำลังส่องสว่าง คุณต้องการวาง<br>ลงบนแท่นหรือไม่?<br><br>※เปิดใช้งานแท่นและทำ<br>the Task: 【 $(0) 】<br>ให้เสร็จสิ้นด้วยการรับเควสต์"""
battletrigger_used_message#0,"""แท่นบริเวณใกล้เคียงถูกเปิดใช้งานโดย ARKS คนอื่นแล้ว"""
CodeKey_w1_r1_1#0,"""Purple Portal: Aelio"""
CodeKey_w1_r1_3#0,"""Yellow Portal: Aelio"""
CodeKey_w1_r2_1#0,"""Purple Portal: Retem"""
CodeKey_w1_r2_3#0,"""Yellow Portal: Retem"""
CodeKey_s2022_1#0,"""Blue Portal: Variable"""
CodeKey_w1_r3_1#0,"""Purple Portal: Kvaris"""
CodeKey_w1_r3_3#0,"""Yellow Portal: Kvaris"""
CodeKey_w1_r4_3#0,"""Yellow Portal: Stia"""
CodeKey_w1_r4_1#0,"""Purple Portal: Stia"""
CodeKey_w1_r1_4#0,"""Purple Portal: Aelio EX"""
battletrigger_error1_title#0,"""<ระบุชื่อออบเจกต์>"""
battletrigger_error2_title#0,"""<ระบุชื่อออบเจกต์>"""
battletrigger_error_message_CodeKey_w1_r1_1#0,"""สถานที่พิเศษที่สามารถ<br>เข้าถึงได้โดยการวาง<br><br><yellow>※ไอเทมที่ต้องการ: <br>\u3000B. Trigger/Aelio Purple (x5)<c>"""
battletrigger_error_message_CodeKey_w1_r1_3#0,"""สถานที่พิเศษที่สามารถ<br>เข้าถึงได้โดยการวาง<br><br><yellow>※ไอเทมที่ต้องการ: <br>\u3000B. Trigger/Aelio Yellow (x5)<c>"""
battletrigger_error_message_CodeKey_w1_r2_1#0,"""สถานที่พิเศษที่สามารถ<br>เข้าถึงได้โดยการวาง<br><br><yellow>※ไอเทมที่ต้องการ: <br>\u3000B. Trigger/Retem Purple (x5)<c>"""
battletrigger_error_message_CodeKey_w1_r2_3#0,"""สถานที่พิเศษที่สามารถ<br>เข้าถึงได้โดยการวาง<br><br><yellow>※ไอเทมที่ต้องการ: <br>\u3000B. Trigger/Retem Yellow (x5)<c>"""
battletrigger_error_message_CodeKey_all#0,"""Battle Trigger ไม่เพียงพอ<br><br><yellow>※ไอเทมที่ต้องการ:<br>\u3000$(0) (x$(1))<c>"""
battletrigger_error_message_CodeKey_w1_r3_1#0,"""สถานที่พิเศษที่สามารถ<br>เข้าถึงได้โดยการวาง<br><br><yellow>※ไอเทมที่ต้องการ: <br>\u3000B. Trigger/Kvaris Purple (x5)<c>"""
battletrigger_error_message_CodeKey_w1_r3_3#0,"""สถานที่พิเศษที่สามารถ<br>เข้าถึงได้โดยการวาง<br><br><yellow>※ไอเทมที่ต้องการ: <br>\u3000B. Trigger/Kvaris Yellow (x5)<c>"""
