TransferMultiStart#0,"""เริ่มการเคลื่อนย้ายในอีก $(0) วินาที"""
TransferMultiStartLaunch#0,"""เริ่มการเคลื่อนย้ายในอีก $(0) วินาที หรือเมื่อผู้เล่นทุกคนรวมตัวกันครบแล้ว"""
TransferMultiStop#0,"""การเคลื่อนย้ายถูกยกเลิก"""
RestaSignLimit#0,"""ไม่สามารถพกพาไอเทมนี้ได้มากไปกว่านี้แล้ว"""
ReverserSignLimit#0,"""ไม่สามารถพกพาไอเทมนี้ได้มากไปกว่านี้แล้ว"""
Levelup#0,"""Drome ฝ่ายเดียวกันเลเวลอัปแล้ว"""
Join#0,"""แฮก Drome ศัตรูสำเร็จ<br>มันจะร่วมต่อสู้ไปกับคุณ"""
Renounced#0,"""การควบคุม Drome ฝ่ายเดียวกันหมดเวลาลงแล้ว<br>Drome ได้จากคุณไป"""
Levelup_Drm2#0,"""Hovac ฝ่ายเดียวกันเลเวลอัปแล้ว"""
Join_Drm2#0,"""แฮก Hovac ศัตรูสำเร็จ<br>มันจะร่วมต่อสู้ไปกับคุณ"""
Renounced_Drm2#0,"""การควบคุม Hovac ฝ่ายเดียวกันหมดเวลาลงแล้ว<br>Hovac ได้จากคุณไป"""
Levelup_Drm3#0,"""Hi-Drome ฝ่ายเดียวกันเลเวลอัปแล้ว"""
Join_Drm3#0,"""แฮก Hi-Drome ศัตรูสำเร็จ<br>มันจะร่วมต่อสู้ไปกับคุณ"""
Renounced_Drm3#0,"""การควบคุม Hi-Drome ฝ่ายเดียวกันหมดเวลาลงแล้ว<br>Hi-Drome ได้จากคุณไป"""
GetBlastChargeSign#0,"""Photon Blast พร้อมใช้งาน"""
LaserSensorFound#0,"""ถูกตรวจจับโดย Laser Sensor"""
BuffContainerOpen_Atk_01#0,"""เปิดใช้งาน <yellow>เพิ่มความเร็วโจมตี<c> ชั่วคราว"""
BuffContainerUi_Atk_01#0,"""เพิ่มความเร็วโจมตี"""
BuffContainerOpen_Def_01#0,"""เปิดใช้งาน <yellow>ต้านทานความเสียหาย/ต้านทานการชะงัก & การถูกงัดลอย<c> ชั่วคราว"""
BuffContainerUi_Def_01#0,"""ต้านทานความเสียหาย/ต้านทานการชะงัก & การถูกงัดลอย"""
BuffContainerOpen_Ex_01#0,"""เปิดใช้งาน <yellow>เพิ่มความเร็วการฟื้นฟู PP<c> ชั่วคราว"""
BuffContainerUi_Ex_01#0,"""เพิ่มความเร็วการฟื้นฟู PP"""
BuffContainerOpen_Atk_02#0,"""ได้รับผล <yellow>เพิ่มความเร็วโจมตี & ฟื้นฟู PP<c> เป็นเวลา 90 วินาที"""
BuffContainerOpen_Atk_03#0,"""ได้รับผล <yellow>เพิ่มพลัง Dive Attack/การสร้างสถานะ Down<c> เป็นเวลา 90 วินาที"""
BuffContainerOpen_Atk_04#0,"""ได้รับผล <yellow>โจมตีเพิ่มเติมเป็นระยะ<c> เป็นเวลา 90 วินาที"""
LackOfLecielPoints#0,"""Energy Points ของคุณมีไม่พอ"""
SignContainerContent#0,"""Resta Sign x2 Reverser Sign x1<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000     3000<pict buffcon_point>"""
