ReturnText#0,"""返回"""
ItemDetails#0,"""道具詳情"""
PreviewTitle#0,"""預覽"""
Close#0,"""關閉"""
PartnerCustom#0,"""自訂夥伴裝備模式"""
Weapon#0,"""交換武器"""
Back#0,"""交換背部防具"""
Arm#0,"""交換手部防具"""
Leg#0,"""交換脚部防具"""
Costume#0,"""交換服裝"""
BodyParts#0,"""交換身體部件"""
ArmParts#0,"""交換手臂部件"""
LegParts#0,"""交換腿部部件"""
WeaponAvatar#0,"""交換武器迷彩"""
PetEgg#0,"""エッグ交換"""
ItemPacTitle#0,"""可選擇清單"""
PartnerEquipInfo#0,"""裝備情報"""
Delete#0,"""取下裝備"""
PresentEquipment#0,"""現在的裝備"""
SwitchVita#0,"""<pict Sign_TRIANGLE>切換"""
LeaveMessage#0,"""將支援夥伴從個人小屋<br>暫時刪除。<br>可從個人小屋終端<br>找回支援夥伴清單。<br><br>是否確認剔除支援夥伴？"""
LeaveMessage2#0,"""以剔除。"""
ReceiptMessage#0,"""從$(0)<br>獲得以下道具。"""
GetExpTitle#0,"""獲得經驗值"""
GetExp#0,"""本次獲得的經驗值"""
Exp#0,"""經驗值"""
Level#0,"""Lv."""
NextLevel#0,"""主職業:升級所需EXP"""
QuestTitle#0,"""已協助的委託結果"""
QuestOrder#0,"""已協助的委託"""
ItemTitle#0,"""領取獲得的道具"""
Success#0,"""成功"""
Failure#0,"""失敗"""
Top_Title#0,"""支援夥伴菜單"""
Explain_Top#0,"""<c f0df60>對支援夥伴下達各樣指示。<c>"""
Explain_Order#0,"""<c f0df60>對支援夥伴下達探索指示。還有$(0)件指示可下達。<c>"""
Explain_OrderCancel#0,"""<c f0df60>中止正在進行的所有探索指示。<c>"""
Explain_Status#0,"""<c f0df60>確認支援夥伴的資料。<c>"""
Explain_SubClass#0,"""<c f0df60>可以變更支援夥伴的副職業。<c>"""
Explain_Talk#0,"""<c f0df60>和支援夥伴對話。<c>"""
Explain_Equip#0,"""<c f0df60>變更支援夥伴的裝備。<c>"""
Explain_Move#0,"""<space>"""
Explain_Return#0,"""<c f0df60>剔除支援夥伴。<c>"""
Explain_Back#0,"""<space>"""
Explain_Pose#0,"""<c f0df60>サポートパートナーのポーズを選択できます。<c>"""
AccessMenu_Title#0,"""支援夥伴菜單"""
AccessMenu_Order#0,"""指示夥伴進行探索"""
AccessMenu_OrderCancel#0,"""終止探索"""
AccessMenu_Status#0,"""觀看夥伴情報"""
AccessMenu_Talk#0,"""交談"""
AccessMenu_Equip#0,"""自訂裝備"""
AccessMenu_Move#0,"""移動控制台位置"""
AccessMenu_Return#0,"""剔除"""
AccessMenu_Back#0,"""離開這裡"""
AccessMenu_SubClass#0,"""設定副職業"""
AccessMenu_Pose#0,"""ポーズを選択する"""
Pose_FormTitle#0,"""ポーズ選択"""
Warehouse#0,"""倉庫を開く"""
MyRoomMenu_Order#0,"""指示夥伴進行探索"""
MyRoomMenu_OrderCancel#0,"""指示夥伴停止探索"""
MyRoomMenu_OrderResult#0,"""聽取協助報告"""
MyRoomMenu_Status#0,"""觀看夥伴情報"""
DictatePartner#0,"""指示夥伴進行探索"""
OrderSelect#0,"""選擇委託"""
PartnerStart#0,"""出發"""
PartnerCancel#0,"""指示夥伴停止探索"""
PartnerOverStartMessage#0,"""可要求一次協助的<br>委託最多$(0)件。<br>若要選擇本項委託，<br>請選擇1件任務或以上。"""
PartnerStartMessage#0,"""要求協助已下委託。<br>確定麼？<br><br>協助的委託數量$(0)/$(1) <br>預定結束時間 $(2)分鐘後"""
PartnerStartMessage2#0,"""已出發。"""
PartnerFaliedMessage#0,"""尚未選擇要協助的委託。<br>選擇「選擇委託」，<br>然後在協助進行委託的支援夥伴<br>中勾選。"""
PartnerCancelMessage#0,"""指示夥伴停止支援，並讓夥伴回到個人小屋。<br><br>如果停止，則無法獲得經驗值與道具。<br><br>是否確定？"""
PartnerCancelMessage2#0,"""已終止協助。"""
PartnerCancelMessage3#0,"""可以中止現在的探索。<br><br>如果中止，從探索中獲得的<br>道具和經驗值都得不到。<br><br>中止探索麼？"""
PartnerChangeJobMessage#0,"""裝備了選擇的武器<br>職業變更為 $(0)。<br><br>確定麼？"""
PartnerChangeJobError#0,"""尚仍無法變更為可裝備<br>已選擇的武器之職業。"""
PartnerChangeEquipSuccess#0,"""變更了裝備。"""
PartnerChangeEquipError1#0,"""裝備變更失敗。"""
PartnerChangeEquipError2#0,"""玩家所裝備中的道具<br>無法贈送。"""
PartnerChangeEquipError3#0,"""鎖定中的道具<br>無法贈送。"""
PartnerChangeEquipError4#0,"""因種族限制<br>而無法變更裝備。"""
PartnerChangeEquipError5#0,"""因性別限制<br>而無法變更裝備。"""
PartnerChangeEquipError6#0,"""因職業限制<br>而無法變更裝備。"""
PartnerChangeEquipError7#0,"""因職業變更限制<br>而無法變更裝備。"""
PartnerChangeEquipError8#0,"""因職業變更失敗。"""
PartnerChangeEquipError9#0,"""道具裝備變更失敗。"""
PartnerChangeEquipError10#0,"""因發出不明錯誤<br>道具裝備變更失敗。"""
PartnerChangeEquipError11#0,"""未經鑑定的道具<br>無法贈送。"""
PartnerChangeEquipError12#0,"""因道具背包剩餘空間不足<br>未能取下裝備。"""
PartnerChangeSubclassSuccess#0,"""變更了副職業。"""
PartnerChangeSubclassError#0,"""支援夥伴的<br>副職變更失敗。"""
PartnerChangeSameSubclass#0,"""現在的副職業是$(0)。"""
StartCheckButton1#0,"""出發"""
StartCheckButton2#0,"""將形象留在這裡並出發"""
Leave#0,"""\u3000（あと $(0)）"""
SubClassSelectTitle#0,"""選擇副職業"""
SubClassChangeMessage#0,"""支援夥伴的副職業<br>將變更成$(0)。<br><br>確定麼？"""
ClassList#0,"""職業清單"""
ClassLevel#0,"""Lv.(MAX)"""
