PB#0,"""光子爆發"""
AA#0,"""自動操作"""
TA#0,"""起動動作"""
Level#0,"""Lv."""
LevelFormat#0,"""Lv.$(0)"""
Confirm#0,"""確認"""
NotifyAcquirePB#0,"""$(0)學會了光子爆發"""
Title#0,"""瑪古列表"""
Command1#0,"""給予道具"""
Command2#0,"""使用裝置"""
Command3#0,"""裝備"""
Command4#0,"""取下裝備"""
Command5#0,"""起動動作優先度"""
Command6#0,"""確認行動"""
Command7#0,"""使用瑪古形態變更票證"""
Title#1,"""瑪古情報"""
Energy#0,"""能源"""
EnergyParcent#0,"""$(0)％"""
SupportLevel#0,"""支援等級"""
Support1#0,"""打撃支援"""
Support2#0,"""射撃支援"""
Support3#0,"""法撃支援"""
Support4#0,"""技量支援"""
Support5#0,"""打撃防禦支援"""
Support6#0,"""射撃防禦支援"""
Support7#0,"""法撃防禦支援"""
mag_color_change#0,"""不可變更瑪古顏色"""
Detail_Vita#0,"""瑪古詳情"""
TA_No0#0,"""0"""
TA_No1#0,"""1"""
TA_No2#0,"""2"""
TA_No3#0,"""3"""
TA_No4#0,"""4"""
TA_No5#0,"""5"""
TA_No6#0,"""6"""
TA_No7#0,"""7"""
TA_No8#0,"""8"""
TA_No9#0,"""9"""
Title#2,"""給予瑪古的道具"""
Indicate#0,"""<c f0df60>請選擇要給予瑪古的道具。<c>"""
Msg1#0,"""給予$(0)<br>確定麼？"""
Msg2#0,"""這個道具的稀有度是7或以上。<br>確定要給瑪古麼？"""
FeedMsg#0,"""給予了$(0)。"""
Error1#0,"""無法繼續給予道具。<br>請稍候重試。"""
MessageTitle#0,"""給予道具"""
ErrorTitle#0,"""給予道具"""
Title#3,"""給予瑪古裝置"""
Indicate#1,"""<c f0df60>請選擇要給予瑪古的裝置。<c>"""
IndicateCC#0,"""<c f0df60>請選擇要變更的瑪古顏色。顯示實際時間。<c>"""
Msg1#1,"""使用$(0)<br>確定麼？"""
MsgCC#0,"""使用$(0)，<br>變更瑪古的顏色。確定麼？"""
OverwriteMsgPB#0,"""標記以下的光子爆發。<br>確定麼？"""
OverwriteMsgAA#0,"""標記以下的自動行動。<br>確定麼？"""
OverwriteMsgTA#0,"""標記以下的起動動作。<br>確定麼？"""
OverwriteMsgCraftTA#0,"""生産裝置只可設置一項。<br>標記以下的起動動作。<br>確定麼？"""
OverwriteMsgTAList#0,"""請選擇標記的起動動作。"""
OverwriteListTitle#0,"""標記的起動動作"""
