PlayNav_Unit1_Item1#0,"""ถึง Lv. 7"""
PlayNav_Unit1_Index1#0,"""กำจัดศัตรู"""
PlayNav_Unit1_Item2#0,"""เปลี่ยนอุปกรณ์ของคุณ"""
PlayNav_Unit1_Index2#0,"""・สวมใส่ Weapon และ Armor ซีรีส์ Renessa"""
PlayNav_Unit2_Item1#0,"""ถึง Lv. 10"""
PlayNav_Unit2_Index1#0,"""・เคลียร์ Side Tasks<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Mt. Magnus"""
PlayNav_Unit2_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit2_Index2#0,"""・ตีบวก Weapon และ Armor ซีรีส์ Renessa ให้ถึง +30 หรือสูงกว่า<br>・เพิ่ม Special Ability 2 อย่างลงในอุปกรณ์แต่ละชิ้น"""
PlayNav_Unit2_Item3#0,"""เรียนรู้ Class Skills"""
PlayNav_Unit2_Index3#0,"""・เคลียร์ Trainia เพื่อรับ Skill Points<br>・ไปยัง Class Counter และเรียนรู้<br>Class Skills รวม 10 สกิลสำหรับ Main Class และ Sub Class ของคุณ"""
PlayNav_Unit3_Item1#0,"""ถึง Lv. 15"""
PlayNav_Unit3_Index1#0,"""・เคลียร์ Side Tasks<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Vanford Laboratory Ruins"""
PlayNav_Unit3_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit3_Index2#0,"""・ทำ Limit Break ให้ Weapon และ Armor ซีรีส์ Renessa ของคุณ<br>・ตีบวกอุปกรณ์ของคุณให้ถึง +40<br>・เพิ่ม Special Ability 2 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 1 ให้ Weapon ซีรีส์ Renessa ของคุณ"""
PlayNav_Unit3_Item3#0,"""เรียนรู้ Class Skills"""
PlayNav_Unit3_Index3#0,"""・เคลียร์ Trainia เพื่อรับ Skill Points<br>・ไปยัง Class Counter และเรียนรู้<br>Class Skills รวม 12 สกิลสำหรับ Main Class และ Sub Class ของคุณ"""
PlayNav_Unit4_Item1#0,"""ถึง Lv. 15"""
PlayNav_Unit4_Index1#0,"""・เคลียร์ Side Tasks<br>・เคลียร์ Battledia<br>・กำจัดศัตรูใน Combat Sections ด้านล่าง:<br>\u3000Vanford Laboratory Ruins"""
PlayNav_Unit4_Item2#0,"""อัปเกรดอุปกรณ์ของคุณ"""
PlayNav_Unit4_Index2#0,"""・ทำ Limit Break ให้ Weapon และ Armor ซีรีส์ Renessa ของคุณ<br>・ตีบวกอุปกรณ์ของคุณให้ถึง +40<br>・เพิ่ม Special Ability 2 อย่างลงในอุปกรณ์แต่ละชิ้น<br>・ปลดล็อค Potential Lv. 2 ให้ Weapon ซีรีส์ Renessa ของคุณ"""
PlayNav_Unit4_Item3#0,"""รับ Special Ability Capsules"""
PlayNav_Unit4_Index3#0,"""・รับ Special Ability Capsules จากสถานที่ดังต่อไปนี้:<br>\u3000Striking Classes: Mt. Magnus<br>\u3000Ranged Classes: Vanford Laboratory Ruins<br>\u3000Technique Classes: Vanford Laboratory Ruins และ Exploration Sections"""
PlayNav_Unit5_Item1#0,"""ถึง Lv. 18"""
