ob_ep01_hv_mango#0,"""Saute Peach"""
ob_ep01_hv_banana#0,"""Saute Banana"""
ob_ep01_hv_apple#0,"""Saute Apple"""
ob_ep01_hv_pear#0,"""Saute Pear"""
ob_5000_0388#0,"""Resta Sign"""
ob_5000_0470#0,"""Reverser Sign"""
ob_5000_0601#0,"""Monotite"""
ob_5000_0603#0,"""Dualomite"""
ob_5000_0605#0,"""Sod Snail"""
ob_5000_0819#0,"""Sod Clam"""
ob_5000_0820#0,"""Sou Turnip"""
ob_5000_0821#0,"""Sou Mushroom"""
ob_5000_0862#0,"""Sod Crab"""
ob_5000_0889#0,"""Sod Lobster"""
ob_5000_0972#0,"""Sou Herb"""
ob_5000_0973#0,"""Sou Tomato"""
ob_5000_0967#0,"""Photon Chunk"""
ob_5000_0968#0,"""Trinite"""
ob_5000_0969#0,"""Photon Quartz"""
ob_9990_0010#0,"""Transport Truck"""
ob_9990_0017#0,"""Item Container [Black]"""
ob_9990_0017_Setter#0,"""Item Container [Black]"""
ob_9990_0018#0,"""Item Container [Green]"""
ob_9990_0018_Setter#0,"""Item Container [Green]"""
ob_9990_0021#0,"""Item Container [Gold]"""
ob_9990_0024_111020001#0,"""The Invincible Regional Mag"""
ob_9990_0024_111090001#0,"""The Skillful Regional Mag"""
ob_9990_0024_111060001#0,"""The Prosperous Regional Mag"""
ob_9990_0025#0,"""Training Target"""
ob_9990_0025_0001#0,"""Training Target"""
ob_9990_0025_0002#0,"""Training Target"""
ob_9990_0025_0003#0,"""Training Target"""
ob_9990_0025_0004#0,"""Training Target"""
ob_9990_0026#0,"""Training Target"""
ob_9990_0026_0001#0,"""Training Target"""
ob_9990_0026_0002#0,"""Training Target"""
ob_9990_0026_0003#0,"""Training Target"""
ob_9990_0026_0004#0,"""Training Target"""
ob_9990_0038#0,"""Item Container [Red]"""
ob_9990_0053#0,"""Barrier Pod"""
ob_9990_0035#0,"""DOLLS Control Mechanism"""
ob_9990_0040#0,"""Bee Hive"""
ob_9990_0050#0,"""Tender"""
ob_9990_0051#0,"""Resource Mining Rig"""
ob_9990_0052#0,"""Protect Container"""
ob_9990_0054#0,"""Resource Mining Rig"""
ob_9990_0055#0,"""Resource Mining Rig"""
ob_9990_0056#0,"""Resource Mining Rig"""
ob_9990_0057#0,"""Resource Mining Rig"""
ob_9990_0063#0,"""Backhack"""
ob_9990_0064#0,"""Barrigale"""
ob_9990_0068#0,"""Meldrum"""
