Accomplished#0,"""เสร็จสิ้น"""
InProgress#0,"""กำลังดำเนินการ"""
CATEGORY_STORY#0,"""หลัก"""
CATEGORY_SUB_STORY#0,"""เสริม"""
CATEGORY_DAILY#0,"""รายวัน"""
CATEGORY_WEEKLY#0,"""รายสัปดาห์"""
CATEGORY_LIMITED#0,"""จำกัดเวลา"""
SORT_NORMAL#0,"""เรียง: ปกติ"""
SORT_ASC_DATE#0,"""เรียง: วันที่ (เก่าไปใหม่)"""
SORT_DESC_DATE#0,"""เรียง: วันที่ (ใหม่ไปเก่า)ทดสอบ"""
SORT_DESC_NOT_ACCEPT#0,"""เรียง: Task ที่ยังไม่ได้รับ"""
BUTTON_BACK#0,"""กลับ"""
NOT_FOUND_ANY_TASKS#0,"""ไม่มี Task ที่กำลังดำเนินการอยู่"""
NOT_FOUND_ANY_TASKS_MAIN#0,"""ไม่มี Task ที่กำลังดำเนินการอยู่<br>โปรดรอการอัปเดตในครั้งต่อไป"""
NOT_FOUND_ANY_TASKS_2#0,"""ไม่มี Task ที่ทำเสร็จแล้ว"""
NOT_FOUND_ANY_TASKS_3#0,"""ไม่มี Task ที่สามารถรับได้"""
PLEASE_WAIT#0,"""โปรดรอสักครู่"""
FOCUS_TASK#0,"""แสดงข้อมูลไกด์นำทาง"""
UNFOCUS_TASK#0,"""ไม่แสดงข้อมูลไกด์นำทาง"""
CHECK_TASK_DETAILS#0,"""ตรวจสอบรายละเอียด Task"""
ACCEPT_TASK#0,"""รับ Task"""
CONFIRM_ACCEPT_TASK_TITLE#0,"""ยืนยันออเดอร์ Task"""
CONFIRM_ACCEPT_TASK_MESSAGE#0,"""รับ Task: $(0) หรือไม่?"""
DISCARD_TASK#0,"""ยกเลิก Task"""
CONFIRM_DISCARD_TASK_TITLE#0,"""ยืนยันการยกเลิก Task"""
CONFIRM_DISCARD_TASK_MESSAGE#0,"""คุณแน่ใจหรือไม่ว่าต้องการยกเลิก $(0)?<br><br><yellow>※ความคืบหน้าของ Task จะถูกรีเซ็ต<c>"""
CONFIRM_DISCARD_TASK_MESSAGE_LOOP#0,"""คุณแน่ใจหรือไม่ว่าต้องการยกเลิก $(0)?<br><br><yellow>※หากยกเลิก การรับใหม่จะเริ่มตั้งแต่<br> Task แรก<c>"""
WINDOW_TITLETELOP#0,"""Task"""
WINDOW_CONTROLGUIDE#0,"""<%Decide>: ตกลง\u3000\u3000<%Cancel>: ยกเลิก\u3000\u3000<%NextWidget>: เลื่อนเคอร์เซอร์"""
FULLSIZE_FORM_TITLE#0,"""Tasks"""
RemainingDays#0,"""เหลือเวลา $(0) วัน"""
RemainingHour#0,"""<yellow>เหลือเวลา $(0) ชั่วโมง<c>"""
RemainingMinutes#0,"""<yellow>เหลือเวลา $(0) นาที<c>"""
Task_Requester#0,"""ผู้มอบหมาย"""
Task_Requester_None#0,"""-"""
Task_List_Tilte#0,"""รายการ Task"""
Accept_Task_Limit#0,"""Task ที่รับได้: $(0)\u3000($(1)/$(2))"""
Task_Chapter_Num#0,"""Ch. $(0)"""
Task_help#0,"""แสดงวิธีใช้"""
Task_TwolineGuide_1#0,"""ที่นี่คุณสามารถดู Task ที่คุณได้รับมอบหมายได้ คุณสามารถเลือก Task เพื่อแสดงไกด์นำทาง หรือดูวิธีผ่าน Task ได้"""
Task_TwolineGuide_2#0,"""ที่นี่คุณสามารถดู Task ที่สามารถรับได้ คุณสามารถเลือกเพื่อรับ Task หรือแสดงไกด์นำทางหากรับ Task นั้นมาแล้ว"""
LoopTask_Count#0,"""วนลูป"""
Reward_Tier#0,"""เทียร์"""
Reward_SeasonalPoint#0,"""ซีซัน"""
Reward_GenesisPoint#0,"""GP"""
CATEGORY_RECOMMEND#0,"""แนะนำ"""
Limited_Category_Campaign#0,"""แคมเปญ"""
Limited_Category_PSO2#0,"""PSO2 Day"""
Limited_Category_Season#0,"""กิจกรรมซีซัน"""
Limited_Category_etr#0,"""เนื้อเรื่อง/อื่นๆ"""
Limited_Category_CreativeSpace#0,"""Creative Space"""
Limited_Category_LevelUp#0,"""อุปกรณ์/การฝึกฝน"""
Limited_Category_Contents#0,"""คอนเทนต์"""
FORM_TITLE#0,"""รายละเอียดของ $(0)"""
REWIND_CONDITION#0,"""เงื่อนไขการเรียง"""
TASK_OVERVIEW#0,"""ภาพรวม"""
TASK_REWARD#0,"""รางวัล"""
TASK_PROGRESSES#0,"""ความคืบหน้าโดยละเอียด"""
TASK_TO_ACHIEVEMENT#0,"""ความคืบหน้าความสำเร็จ"""
ITEMDETAIL_CONTROLGUIDE#0,"""<%Function><pict 4space>รายละเอียดรางวัล\u3000\u3000<%MultiSelect><pict 4space>Mission Pass"""
ITEMDETAIL_CONTROLGUIDE_MP#0,"""<%Function><pict 4space>รายละเอียดรางวัล\u3000\u3000<%MultiSelect><pict 4space>Mission Pass"""
ITEMDETAIL_MissionPass#0,"""<%NextTabDetails> ข้อมูลพื้นฐาน"""
BASICINFO_CONTROLGUIDE#0,"""<%Function><pict 4space>ข้อมูลพื้นฐาน\u3000\u3000<%MultiSelect><pict 4space>Mission Pass"""
BASICINFO_CONTROLGUIDE_MP#0,"""<%Function><pict 4space>ข้อมูลพื้นฐาน\u3000\u3000<%MultiSelect><pict 4space>Mission Pass"""
NO_REWARD_ITEM#0,"""ไม่มีไอเทมรางวัล"""
Task_Detial_Tilte#0,"""รายละเอียด Task"""
TASK_PROGRESSES_2#0,"""ความคืบหน้า"""
BASIC_INFO#0,"""ข้อมูลพื้นฐาน"""
REWARD_INFO#0,"""ข้อมูลรางวัล"""
REWARD_ITEMNAME#0,"""ชื่อไอเทม"""
REWARD_QUANTITY#0,"""จำนวน"""
TASK_DETAILS_UNSELECTED#0,"""ไม่ได้เลือก Task"""
REWARD_QUANTITY_NUM#0,"""x$(0)"""
TASK_REWARD_LOOP_1#0,"""รางวัลเคลียร์ครั้งแรก"""
TASK_REWARD_LOOP_2#0,"""รางวัลเคลียร์ครั้งต่อไป"""
TASK_LOOPCOUNT#0,"""<space>"""
