MySpaceCommonLabel_EditMode#0,"""Edit Mode"""
MySpaceMenuText_OverPeople#0,"""ไม่สามารถเข้าสู่ Edit Mode ได้เนื่องจากจำนวนผู้แก้ไขพร้อมกันถึงขีดจำกัดสูงสุดแล้ว"""
MySpaceMenuText_NoEditAuth2#0,"""ไม่สามารถเข้าสู่ Edit Mode ได้เนื่องจากคุณไม่มีสิทธิ์ในการแก้ไขในพื้นที่นี้"""
MySpaceMenuText_NoEditAuth_Expired_EditMode#0,"""ไม่สามารถเข้าสู่ Edit Mode ได้เนื่องจากสิทธิ์การเข้าถึง Creative Space นี้ของคุณหมดอายุแล้ว"""
MySpaceMenuText_NoEditAuth_Expired_Menu#0,"""คุณไม่สามารถเปิดเมนูนี้ได้เนื่องจากสิทธิ์การเข้าถึง Creative Space นี้ของคุณหมดอายุแล้ว"""
MySpace_Notice_Editing#0,"""คุณไม่สามารถแก้ไขสิ่งนี้ได้เนื่องจากมีผู้เล่นอื่นกำลังใช้งานอยู่"""
MySpace_EditPublicBlueprintMachine#0,"""ไม่สามารถย้ายหรือลบ Blueprint Terminal นี้ได้เนื่องจากกำลังเปิดให้บุคคลทั่วไปเข้าถึงอยู่"""
MySpaceMenuText_RunOwner#0,"""ไอเทมนี้สามารถใช้ได้เฉพาะเจ้าของพื้นที่ เท่านั้น"""
UnusablePaletteText_BuildParts#0,"""Build Part นี้ไม่สามารถใช้งานได้ใน Creative Space นี้"""
UnusablePaletteText_BuildParts_Blueprint#0,"""Build Part นี้สามารถใช้ได้เฉพาะเจ้าของพื้นที่ เท่านั้น"""
UnusablePaletteText_BuildParts_CSpaceOnly#0,"""Build Part นี้ไม่สามารถใช้งานได้ใน Team Space"""
UnusablePaletteText_BuildParts_TeamSpaceOnly#0,"""Build Part นี้สามารถใช้งานได้เฉพาะใน Team Space เท่านั้น"""
UnusablePaletteText_Blueprint#0,"""Blueprint นี้ไม่สามารถใช้งานได้ใน Creative Space นี้"""
MyspaceInfoText_CrowdedPlaces#0,"""มีการวาง Build Part ชนิดเดียวกันไว้ใกล้กันมากเกินไป กรุณาย้ายให้ห่างออกจากกันมากขึ้น"""
MyspaceInfoText_BlueprintNonEditable#0,"""ไม่สามารถดำเนินการนี้กับ Build Part ที่ถูกวางโดย Blueprint ได้"""
MyspaceInfoText_Outside_Player#0,"""คุณถูกย้ายกลับโดยอัตโนมัติเนื่องจากคุณออกนอกเขตของ Creative Space"""
MyspaceInfoText_Outside_BuildParts#0,"""ไม่สามารถวาง Build Part ในตำแหน่งนี้ได้"""
MySpaceMenuText_SearchTag#0,"""แท็กค้นหา"""
MySpaceMenuText_Tag1#0,"""แท็ก 1"""
MySpaceMenuText_Tag2#0,"""แท็ก 2"""
MySpaceMenuText_Tag3#0,"""แท็ก 3"""
MySpaceFloating_up1#0,"""ลอยขึ้น: """
MySpaceFloating_up2#0,"""กดค้าง <%Jump> + <%MoveForward>"""
MySpaceFloating_down1#0,"""ร่อนลง: """
MySpaceFloating_down2#0,"""กดค้าง <%Jump> + <%MoveBack>"""
MySpaceFloating_speed_up1#0,"""เร่งความเร็ว: """
MySpaceFloating_speed_up2#0,"""กดค้าง <%Avoid>"""
BuildMenu_DisallowBlueprintName#0,"""Blueprint ที่ไม่สามารถใช้งานได้"""
BuildMenu_DisallowBlueprintText#0,"""Blueprint นี้ไม่สามารถใช้งานได้ใน Creative Space ที่เปิดใช้งานระบบ Crossplay"""
BuildMenu_NoPartsBlueprintText#0,"""ไม่สามารถติดตั้ง Blueprint ได้เนื่องจากคุณไม่มี Build Part ใดๆ ของแบบแปลนนี้ลงทะเบียนไว้เลย"""
MySpaceDirectPurchase_CantBuyTitle#0,"""ไม่สามารถซื้อ Build Part ได้"""
MySpaceDirectPurchase_CantBuyText1#0,"""Blueprint นี้มี Build Part ที่คุณยังไม่ได้ครอบครอง ซึ่งไม่สามารถซื้อด้วย Genesis Point หรือ Star Gem ได้"""
MySpaceDirectPurchase_CantBuyText2#0,"""Blueprint นี้มี Build Part ที่ยังไม่ได้ลงทะเบียน ซึ่งไม่สามารถซื้อด้วย Genesis Point หรือ Star Gem ได้"""
MySpaceDirectPurchaseListTitle#0,"""ยืนยันการซื้อ Build Part"""
MySpaceDirectPurchaseListText1#0,"""Blueprint นี้มี Build Part ที่ยังไม่ได้ลงทะเบียนดังต่อไปนี้ คุณต้องการสั่งซื้อหรือไม่?"""
MySpaceDirectPurchaseListText2#0,"""คุณสามารถใช้ Blueprint ได้โดยไม่ต้องซื้อ Build Part แต่ชิ้นส่วนที่ยังไม่ได้ลงทะเบียนใดๆ จะไม่ถูกจัดวาง"""
MySpaceDirectPurchaseListText_NotBuy#0,"""<yellow>※Blueprint นี้มี Build Part บางชิ้นที่ไม่สามารถซื้อด้วย Genesis Point หรือ Star Gem ได้<c>"""
