MissionProgress#0,"""簡易MISSION情報"""
MissionOrder#0,"""委託"""
MissionBoard#0,"""ARKS MISSION"""
MissionWebLink#0,"""WEBページリンク(仮"""
MissionWebSubheading#0,"""開催中のキャンペーン(仮"""
MissionProgressTab#0,"""進行中"""
MissionRecievedTab#0,"""已領取"""
MissionSqueezeNew#0,"""只顯示新的"""
MissionRecieveAll#0,"""領取全部"""
MissionRecieveAll_P#0,"""<%MultiSelect>領取全部"""
MissionRecieveAll_V#0,"""領取全部"""
MissionReciveOne#0,"""按<%AcceptK>領取報酬"""
MissionReciveOne_P#0,"""按<%AcceptP>領取報酬"""
MissionReciveOne_V#0,"""按<%AcceptV>領取報酬"""
MissionTrack#0,"""<pict Arksroicon>追跡中"""
MissionTracking#0,"""按<%AcceptK>顯示目的地"""
MissionTracking_P#0,"""按<%AcceptP>顯示目的地"""
MissionTracking_V#0,"""按<%AcceptV>顯示目的地"""
MissionTracking_OFF#0,"""按<%AcceptK>停止顯示目的地"""
MissionTracking_OFF_P#0,"""按<%AcceptP>停止顯示目的地"""
MissionTracking_OFF_V#0,"""按<%AcceptV>停止顯示目的地"""
MissionDetail#0,"""MISSION詳情"""
MissionTimeLimitCampaign1#0,"""Campaign結束 $(0)"""
MissionTimeLimitCampaign2#0,"""領取期限 $(0)"""
MissionTimeLimitEvent#0,"""有效期限 $(0)"""
MissionTimeLimitEtc#0,"""有效期限 $(0)"""
MissionTimeLimitUnlimited#0,"""有效期限 無"""
MissionDetail_limited_Issue#0,"""<c ff4f3f>※每個帳號只能領取一次道具。<c>"""
MissionDetail_limited_Issue_Received#0,"""※已經領取帳號限制道具。"""
MissionDetail_Repeat_Issue#0,"""※這個MISSION<pict repeat>可以重複進行。"""
MissionDetail_Repeat_CoolDown#0,"""※還能再玩 $(0)"""
MissionDetailSwitching#0,"""按<pict Key_SHIFT>顯示道具詳情"""
MissionDetailSwitching_P#0,"""按<%Function>顯示道具詳情"""
MissionDetailSwitching_V#0,"""按<pict Sign_TRIANGLE>顯示道具詳情"""
MissionDetail_MissionDetail#0,"""有效期限/詳細目的"""
MissionRewardDetail#0,"""道具詳情"""
MissionRewardDetailSwitching#0,"""按<pict Key_SHIFT>顯示MISSION詳情"""
MissionRewardDetailSwitching_P#0,"""按<%Function>顯示MISSION詳情"""
MissionRewardDetailSwitching_V#0,"""按<pict Sign_TRIANGLE>顯示MISSION詳情"""
MissionCampaignLink#0,"""<%ChangeCtrlWindowForward>でWEBページへ"""
MissionCampaignLink_P#0,"""<%WEBLinkP>でWEBページへ"""
MissionRewardCampaignDetail#0,"""活動達成報酬一覽"""
MissionRewardCampaignSwitching#0,"""按<pict Key_SHIFT>顯示活動報酬一覽"""
MissionRewardCampaignSwitching_P#0,"""按<%Function>顯示活動報酬一覽"""
MissionRewardCampaignSwitching_V#0,"""按<pict Sign_TRIANGLE>顯示活動報酬一覽"""
MissionBoardOpen#0,"""按<pict Sign_SQUARE>前往ARKS MISSION"""
MissionBoardOpen_P#0,"""按<%MissionShortCutP>前往ARKS MISSION"""
MissionBoardOpen_Function#0,"""<%Function>でアークスミッションへ"""
MissionBoardOpen_MultiSelect#0,"""<%MultiSelect>でアークスミッションへ"""
MissionBoardOpen_V#0,"""按<%MissionShortCutV>前往ARKS MISSION"""
MissionHeldCampaign#0,"""進行中的活動"""
MissionWebLinkOpen#0,"""按<%ChangeCtrlWindowForward>前往所選網頁"""
MissionWebLinkOpen_P#0,"""按<%ChangeWindowActiveP>前往所選網頁"""
