MYROOM#0,"""個人小屋"""
BACKPACK#0,"""持有物品"""
WAREHOUSE#0,"""倉庫"""
INSTALL#0,"""設置"""
USE#0,"""使用"""
PLAY_CUSTOMIZE#0,"""布置"""
CUSTOMIZE_YOUR_ROOM#0,"""布置房間"""
SEND_TO_BACKPACK#0,"""從倉庫取出到所持物品"""
SEND_TO_WAREHOUSE#0,"""將所持物品存入倉庫"""
REMOVAL_TO_BACKPACK#0,"""撤除並存入所持物品"""
REMOVAL_TO_WAREHOUSE#0,"""撤除並送到倉庫"""
CANCEL#0,"""取消"""
INSTALLATION_FAILS#0,"""未能設置。<br>可能是以下原因。<br><br>・未持有該項道具<br>・想設置的道具不適用"""
ERROR_INSTALLED_ITEM#0,"""選擇的道具不存在，因此無法設置。"""
ERROR_USED_ITEM#0,"""選擇的道具不存在，因此無法使用。"""
ERROR_MOVE_BACKPACK#0,"""未能寄放持有物品。"""
ERROR_MOVE_WAREHOUSE#0,"""未能寄放到倉庫。"""
REMOVAL_TO_INSTALLED_GOODS#0,"""撤除已設置的飾品"""
IF_REMOVAL_GOODS#0,"""是否確認撤除本項飾品？"""
GROUNDER_DECO_GOODS#0,"""Debugtext020"""
GROUND_SKY_CYLINDER#0,"""Debugtext021"""
ROOM_CHANGED_TEST#0,"""Debugtext022"""
GROUND_CYLINDER#0,"""Debugtext023"""
IF_USED_GROUND_CYLINDER#0,"""Debugtext024"""
ROOM_CUSTMISE#0,"""房間裝修"""
IF_CHAGE_ROOM#0,"""是否確認變更房間？"""
ERROR_ITEM_NOT#0,"""沒有道具"""
GRID_ON_OFF#0,"""網格 ON/OFF"""
REMOVAL_ALL#0,"""撤光所有飾品"""
CYLINDER_REFORM#0,"""Debugtext030"""
IF_REMOVAL_ALL_GOODS#0,"""確認撤除所有飾品？"""
TITLE_ROOM_CUTMIZE#0,"""裝修房間"""
MENU_CENTER#0,"""中間："""
MENU_LEFT#0,"""左邊："""
MENU_RIGHT#0,"""光束:"""
DEFAULT#0,"""預設"""
NONE#0,"""無"""
COMBINE#0,"""組合"""
REMOVED#0,"""移動"""
DELETE#0,"""刪除"""
CANCEL#1,"""取消"""
ERROR_OWNER_NOT#0,"""主人不在故無法調査。"""
MoveItem_Title#0,"""報告"""
MoveItem_Message#0,"""因道具背包空間不足，<br>或道具超過可持有數，<br>已將獲得的道具寄放在倉庫。"""
MoveItem_ToastMessage#0,"""道具背包已滿，將撤下的房間飾品轉送到了倉庫。"""
MainMenu_Title#0,"""個人小屋菜單"""
MainMenu_RoomGoods_Installation#0,"""設置房間飾品"""
MainMenu_RoomGoods_Ceiling#0,"""設置天花板飾品"""
MainMenu_RoomCustmize#0,"""房間裝修"""
MainMenu_MovePass#0,"""搬家(更改布景)"""
MainMenu_BGM#0,"""MusicDisc登録"""
MainMenu_RoomLock#0,"""進入限制"""
MainMenu_LayoutChange#0,"""變更房間"""
MainMenu_DeleteRoomGoodsInSelectRoom#0,"""撤除所有房間飾品"""
MainMenu_Cancel#0,"""返回"""
MainMenu_SupportPartner#0,"""支援夥伴"""
