GroupChat_Title#0,"""แชทกลุ่ม"""
GroupChat_SetMsg#0,"""กลุ่มที่เข้าร่วม"""
GroupChat_NewMsg#0,"""คำเชิญ"""
GroupChat_MakeGroup#0,"""สร้างกลุ่ม"""
GroupChat_NewNumMsg#0,"""คำเชิญ ($(0))"""
GroupChat_GroupLeader#0,"""[หัวหน้ากลุ่ม]"""
Popup_Active#0,"""แสดงกลุ่ม"""
Popup_Inactive#0,"""ซ่อนกลุ่ม"""
Popup_Confirm#0,"""ดูสมาชิก"""
Popup_Invite#0,"""เชิญผู้เล่น"""
Popup_Banish#0,"""ลบสมาชิก"""
Popup_ChangeName#0,"""แก้ไขการตั้งค่ากลุ่ม"""
Popup_ChangeLeader#0,"""เปลี่ยนหัวหน้า"""
Popup_MoveTop#0,"""ย้ายไปบนสุด"""
Popup_Delete#0,"""ออกจากกลุ่ม"""
Popup_Join#0,"""เข้าร่วมกลุ่ม"""
GroupChat_Title_New#0,"""สร้างกลุ่ม"""
GroupChat_GroupName#0,"""ชื่อกลุ่ม"""
GroupChat_GroupComment#0,"""คำอธิบายกลุ่ม"""
GroupChat_Decided#0,"""ยืนยัน"""
GroupChat_Canceled#0,"""ยกเลิก"""
GroupChat_Title_Rename#0,"""แก้ไขการตั้งค่ากลุ่ม"""
GroupChat_Rename#0,"""แก้ไขหัวข้อกลุ่ม"""
GroupChat_MemberTab1#0,"""ออนไลน์ ($(0))"""
GroupChat_MemberTab4#0,"""ออนไลน์"""
GroupChat_MemberTab2#0,"""ออฟไลน์"""
GroupChat_MemberTab3#0,"""ถูกบล็อก"""
GroupChatError_Title#0,"""ข้อความ"""
GroupChatError_ListNumFault#0,"""ไม่สามารถแสดงกลุ่มได้"""
GroupChatError_MakeGroupFault#0,"""ไม่สามารถสร้างกลุ่มได้"""
GroupChatError_MakeNGWordFault#0,"""ชื่อกลุ่มนี้ไม่สามารถใช้งานได้"""
GroupChatError_MakeGroupMaxFault#0,"""จำนวนกลุ่มถึงขีดจำกัดสูงสุดแล้ว<br>ไม่สามารถสร้างกลุ่มได้"""
GroupChatError_RenameGroupFault#0,"""ไม่สามารถแก้ไขกลุ่มได้"""
GroupChatError_RenameNGWordFault#0,"""ชื่อกลุ่มนี้ไม่สามารถใช้งานได้"""
GroupChatQues_Title#0,"""ยืนยัน"""
GroupChatQues_Banish#0,"""กำลังลบ $(0) ออกจากกลุ่มนี้<br><br>คุณแน่ใจหรือไม่?"""
GroupChatQues_Leader#0,"""กำลังโอนสิทธิ์หัวหน้ากลุ่มให้กับ $(0)<br><br>คุณแน่ใจหรือไม่?"""
GroupChatQues_Delete#0,"""กำลังออกจาก \""$(0)\"".<br><br><yellow>※หากคุณต้องการกลับเข้าร่วมกลุ่มนี้ในภายหลัง คุณจะต้องได้รับคำเชิญอีกครั้ง<c><br><br>คุณแน่ใจหรือไม่?"""
GroupChatQC_Invite_Title#0,"""คำเชิญเข้ากลุ่ม"""
GroupChatQC_Invite_Mess#0,"""$(1) ได้เชิญคุณเข้าสู่ \""$(0)\"".<br>คุณต้องการตอบรับตอนนี้เลยหรือไม่?<br><br>※หากคุณเลือก \""ไม่\"", คุณสามารถตอบรับในภายหลังได้ที่ \""ตั้งค่าแชท\"" ในเมนูหลัก"""
GroupChatQC_Join_Log#0,"""$(1) ได้เพิ่ม $(0)."""
NewGroupChat#0,"""ข้อมูลสมาชิก"""
NewExpGroupChat#0,"""ได้รับคำเชิญเข้ากลุ่ม"""
GroupChatTost_GroupList#0,"""ดึงข้อมูลกลุ่ม"""
GroupChatTost_GroupCreate#0,"""สร้างกลุ่มเรียบร้อยแล้ว"""
GroupChatTost_Delete#0,"""ออกจากกลุ่ม \""$(0)\""เรียบร้อยแล้ว"""
GroupChatTost_MemberList#0,"""ข้อมูลสมาชิก"""
GroupChatTost_MemberInvite#0,"""ส่งคำเชิญเรียบร้อยแล้ว"""
GroupChatTost_MemberJoin#0,"""เข้าร่วมกลุ่ม [$(0)] เรียบร้อยแล้ว"""
GroupChatTost_MemberBanish#0,"""$(0) ถูกลบออกจากกลุ่มแล้ว"""
GroupChatTost_GroupActive#0,"""กำลังแสดงกลุ่ม \""$(0)\""."""
GroupChatTost_GroupInactive#0,"""ไม่มีกลุ่มที่แสดงผล"""
GroupChatTost_NameChange#0,"""การตั้งค่ากลุ่มถูกเปลี่ยนแปลงแล้ว"""
GroupChatTost_MoveTop#0,"""ย้ายไปบนสุด"""
GroupChatTost_LeaderSuccess#0,"""$(0) ได้เป็นหัวหน้ากลุ่มคนใหม่"""
GroupChatTost_LeaderFailed#0,"""ไม่สามารถเป็นหัวหน้าได้"""
GroupChatTost_InviteFailed#0,"""ไม่ได้รับคำเชิญเข้ากลุ่ม"""
GroupChatTost_Error#0,"""ข้อผิดพลาดทั่วไป"""
GroupChatTost_CreateGroupError#0,"""สร้างกลุ่มล้มเหลว"""
GroupChatTost_ListReceiveError#0,"""ไม่สามารถดึงข้อมูลกลุ่มได้"""
GroupChatTost_InviteGroupError#0,"""การเชิญล้มเหลว"""
GroupChatTost_ToInviteGroupError#0,"""เกิดข้อผิดพลาดในการเชิญ"""
GroupChatTost_ReInviteGroupError#0,"""รับคำเชิญล้มเหลว"""
GroupChatTost_LeaveGroupError#0,"""ไม่สามารถออกจากกลุ่มได้"""
GroupChatTost_DeleteGroupError#0,"""ลบผู้เล่นที่เลือกไม่สำเร็จ"""
GroupChatTost_UpdateTextError#0,"""เปลี่ยนชื่อและคำอธิบายกลุ่มไม่สำเร็จ"""
GroupChatTost_MoveListError#0,"""เปลี่ยนรายชื่อกลุ่มไม่สำเร็จ"""
GroupChatTost_LockError#0,"""ล็อกกลุ่มไม่สำเร็จ"""
GroupChatTost_GetLogError#0,"""ดึงข้อมูล Group Log ไม่สำเร็จ"""
GroupChatTost_DenyInviteError#0,"""ตั้งค่าบล็อกคำเชิญไม่สำเร็จ"""
GroupChatTost_InviteListError#0,"""ดึงรายชื่อคำเชิญปัจจุบันไม่สำเร็จ"""
GroupChatTost_InviteLimitOver#0,"""จำนวนคำเชิญเกินกำหนด ไม่สามารถดึงคำเชิญของ $(0) ได้"""
GroupChatTost_InviteDeny#0,"""มีเพื่อนรวมอยู่ในการตั้งค่าปฏิเสธคำเชิญของคุณ"""
FriendList_Title#0,"""คำเชิญเข้าสู่ \""$(0)\"""""
Make_Default_Name#0,"""ชื่อกลุ่มของ \""$(0)\"""""
FriendList_Tree_Online#0,"""ผู้เล่นที่สามารถเชิญได้ (ออนไลน์) ($(0))"""
FriendList_Tree_OnlineLite#0,"""เพื่อนที่ออนไลน์อยู่ ($(0))"""
FriendList_Tree_Offline#0,"""ผู้เล่นที่สามารถเชิญได้ (ออฟไลน์) ($(0))"""
FriendList_Tree_OfflineLite#0,"""เพื่อนที่ออฟไลน์ ($(0))"""
FriendList_Tree_BlackList#0,"""ถูกบล็อก ($(0))"""
FriendList_Tree_Member#0,"""สมาชิกกลุ่ม ($(0))"""
FriendList_Tree_Invite#0,"""รอการตอบรับคำเชิญ ($(0))"""
GroupList_NoItem#0,"""ไม่มีกลุ่มที่ลงทะเบียนไว้<br><br>คุณสามารถเข้าร่วมกลุ่ม หรือสร้างกลุ่มใหม่ได้โดย<br>กดที่ \""สร้างกลุ่ม\"" แล้วเชิญเพื่อนๆ ของคุณ"""
InviteList_NoItem#0,"""คุณไม่ได้รับคำเชิญให้เข้าร่วมกลุ่มใดๆ"""
GroupChatDate#0,"""$(1)/$(0) $(2)"""
GroupChatDateSunday#0,"""(อา.)"""
GroupChatDateMonday#0,"""(จ.)"""
GroupChatDateTuesday#0,"""(อ.)"""
GroupChatDateWednesday#0,"""(พ.)"""
GroupChatDateThursday#0,"""(พฤ.)"""
GroupChatDateFriday#0,"""(ศ.)"""
GroupChatDateSaturday#0,"""(ส.)"""
GroupListLabel#0,"""<pict 4space>$(0) ($(1))"""
GroupListLabelMax#0,"""$(0) <c ff9933>($(1))<c>"""
GroupChatTost_GroupJoin#0,"""$(0) ได้เข้าร่วมกลุ่ม: $(1)."""
GroupChatTost_InviteDeny2#0,"""ปฏิเสธคำเชิญเข้ากลุ่มแล้ว"""
Popup_Inviterefuse#0,"""ปฏิเสธคำเชิญ"""
GroupChat_JoinMax_Title#0,"""กลุ่มที่เข้าร่วม"""
GroupChat_JoinMax_Message#0,"""คุณเข้าร่วมกลุ่มถึงจำนวนสูงสุดแล้วและไม่สามารถเข้าร่วมได้อีก กรุณาออกจากกลุ่มใดกลุ่มหนึ่งที่คุณเข้าร่วมอยู่ก่อน เพื่อเข้าร่วมกลุ่มที่คุณได้รับคำเชิญ"""
GroupChatError_MakeEmptyFault#0,"""ไม่สามารถสร้างกลุ่มได้เนื่องจาก<br>ชื่อกลุ่มหรือหัวข้อกลุ่มว่างเปล่า"""
GroupChatError_RenameEmptyFault#0,"""ไม่สามารถแก้ไขกลุ่มได้เนื่องจาก<br>ชื่อกลุ่มหรือหัวข้อกลุ่มว่างเปล่า"""
GroupChatError_NotFindTitle#0,"""สถานะกลุ่ม"""
GroupChatError_NotFindMessage#0,"""ไม่สามารถเข้าร่วมกลุ่มได้เนื่องจากไม่พบกลุ่มดังกล่าว"""
GroupChatError_NotInviteTitle#0,"""สถานะกลุ่ม"""
GroupChatError_NotInviteMessage#0,"""ไม่สามารถเข้าร่วมกลุ่มได้เนื่องจาก<br>คุณไม่ได้รับคำเชิญ"""
GroupChatError_JoiningTitle#0,"""สถานะกลุ่ม"""
GroupChatError_JoiningMessage#0,"""คุณอยู่ในกลุ่มนี้แล้ว"""
GroupChatTost_ListNumFault#0,"""ไม่สามารถแสดงกลุ่มนี้ได้"""
GroupChatTost_PopupInvitedCansel#0,"""ยกเลิกคำเชิญ"""
GroupChatTost_TitleInvitedCansel#0,"""ยืนยันการยกเลิกคำเชิญ"""
GroupChatTost_QuesInvitedCansel#0,"""กำลังยกเลิกคำเชิญให้ $(0) เข้าร่วม $(1) คุณแน่ใจหรือไม่?"""
GroupChatTost_ButtonInvitedCansel#0,"""ยกเลิกคำเชิญ"""
GroupChatTost_ToastInvitedCansel#0,"""ยกเลิกคำเชิญแล้ว"""
GroupChatTost_ToastInvitedCansel1#0,"""ผู้เล่นที่เลือกได้ลงทะเบียนในกลุ่มนี้เรียบร้อยแล้ว"""
