Param_Value#0,"""$(0)"""
Param_Percent#0,"""$(0)％"""
Param_MaxValue#0,"""（MAX$(0)）"""
Param_MaxValue_Limit#0,"""<bright_orange>（MAX$(0)）<c>"""
Param_MaximumValue#0,"""（最大$(0)）"""
Param_MaximumValue_Limit#0,"""<bright_orange>（最大$(0)）<c>"""
Param_ComparePlus#0,"""<light_orange2>＋$(0)<c>"""
Param_ComparePlus_Percent#0,"""<light_orange2>＋$(0)％<c>"""
Param_CompareMinus#0,"""<vivid_cyan2>－$(0)<c>"""
Param_CompareMinus_Percent#0,"""<vivid_cyan2>－$(0)％<c>"""
Label_Slash#0,"""/"""
Label_Hyphen#0,"""－"""
Label_WavyLine#0,"""～"""
Label_Rarity#0,"""稀有度"""
Label_AttackPower#0,"""攻擊力"""
Label_Defense#0,"""防禦力"""
Label_HP#0,"""HP"""
Label_PP#0,"""PP"""
Label_AttackElement#0,"""属性"""
Label_Resist_Damage#0,"""傷害抗性"""
Label_Resist_Element#0,"""属性抗性"""
Label_Resist_Fire#0,"""炎抗性"""
Label_Resist_Ice#0,"""冰抗性"""
Label_Resist_Thunder#0,"""雷抗性"""
Label_Resist_Wind#0,"""風抗性"""
Label_Resist_Light#0,"""光抗性"""
Label_Resist_Dark#0,"""暗抗性"""
Label_EquipClass#0,"""可裝備職業"""
Label_EquipNeed#0,"""裝備條件"""
Param_Level_Need#0,"""Lv.$(0)"""
Param_Level_Now#0,"""（現在 Lv.$(0)）"""
Label_Trade#0,"""交易"""
Label_Trade_OK#0,"""可交易"""
Label_Trade_NG#0,"""<pict unavailable_t>不可交易"""
Label_Trade_Ownered#0,"""<pict register_owner>所有者已登記"""
Label_Grind#0,"""強化值"""
Label_Element#0,"""特殊能力"""
Label_BonusElement#0,"""特殊能力因子"""
Label_SpecialElement#0,"""S級特殊能力"""
Label_SpecialElement_Supported#0,"""對應類型"""
Label_Potential#0,"""潛在能力"""
Label_Potential_1#0,"""潛在能力1"""
Label_Potential_2#0,"""潛在能力2"""
Label_Potential_3#0,"""潛在能力3"""
Label_DamageBlur#0,"""傷害補正"""
