ScratchMenue_Title#0,"""สุ่ม Scratch"""
ScratchMenue_Help#0,"""คุณสามารถใช้ Scratch Tickets หรือสกุลเงินที่กำหนด เพื่อสุ่ม Scratch และรับรางวัลได้"""
ScratchChoice_Title#0,"""เลือก Scratch"""
ScratchChoice_Possession#0,"""สกุลเงินที่มี:"""
ScratchChoice__FreebieListButton#0,"""รายการไอเทม"""
ScratchChoice__PossessionTicket#0,"""Tickets ที่มี"""
ScratchChoice__PossessionTicketCount#0,"""x$(0)"""
ScratchChoice__StepUp1#0,"""1st Step"""
ScratchChoice__StepUp2#0,"""2nd Step"""
ScratchChoice__StepUp3#0,"""3rd Step"""
ScratchChoice_IncentiveTicketName#0,"""$(0)"""
ScratchChoice_IncentiveTicketCount#0,"""x$(0)"""
ScratchChoice__BuyScratchAC#0,"""สุ่ม $(1) ครั้ง<br>$(0)<pict Arcscash>"""
ScratchChoice__BuyScratchSG#0,"""สุ่ม $(1) ครั้ง<br>$(0)<pict StarGem>"""
ScratchChoice__BuyScratchTicket#0,"""Special Scratch:<br>สุ่ม $(1) ครั้ง<br>ต้องการ: $(0)"""
ScratchChoice__BuyScratchNoCharge#0,"""สุ่มฟรี: $(0) ครั้ง<br>รีเซ็ต: <utc>15:00</utc>"""
ScratchChoice__BuyScratchNoCharge_AddPlayLimit#0,"""$(0)<br>คงเหลือ: $(1)"""
ScratchChoice__BuyScratchNoChargeFTAC#0,"""สุ่มฟรี $(0) ครั้ง"""
ScratchChoice__CountBonus#0,"""เหลืออีกเพียง $(0) ครั้ง!"""
ScratchChoice__CouponButton#0,"""แลกเปลี่ยน Ticket<br>$(0)"""
ScratchChoice__ScratchCategory_AC#0,"""AC Scratch"""
ScratchChoice__ScratchCategory_SG#0,"""SG Scratch"""
ScratchChoice__ScratchCategory_Ticket#0,"""Special Scratch"""
ScratchChoice__ScratchCategory_NoCharge#0,"""Free Scratch"""
ScratchChoice__ScratchCategory_StepUp#0,"""Step Up"""
ScratchChoice_ConfirmationAC#0,"""<pict Arcscash>เนื้อหา AC<br>ใช้ $(0) AC เพื่อซื้อ<br>$(1)<br>ต้องการดำเนินการต่อหรือไม่?"""
ScratchChoice_ConfirmationSG#0,"""<pict StarGem>เนื้อหา SG<br>ใช้ $(0) SG เพื่อซื้อ<br>$(1)<br>ต้องการดำเนินการต่อหรือไม่?"""
ScratchChoice_ConfirmationTicket#0,"""ใช้ Scratch Tickets $(0) ใบ เพื่อสุ่ม<br>$(1)<br>ต้องการดำเนินการต่อหรือไม่?"""
ScratchChoice_ConfirmationNoCharge#0,"""ใช้โบนัสสุ่มฟรี $(0) ครั้ง เพื่อสุ่ม $(1)<br>※รีเซ็ตทุกวันเวลา <utc>15:00</utc>"""
ScratchChoice_ConfirmationNoChargeFTAC#0,"""ใช้โบนัสสุ่มฟรี $(0) ครั้ง เพื่อสุ่ม $(1)<br>ต้องการดำเนินการต่อหรือไม่?"""
ScratchChoice_ConfirmationACre#0,"""<pict Arcscash>เนื้อหา AC<br>ใช้ $(0) AC เพื่อซื้อ<br>$(1) อีกครั้ง<br>ต้องการดำเนินการต่อหรือไม่?"""
ScratchChoice_ConfirmationSGre#0,"""<pict StarGem>เนื้อหา SG<br>ใช้ $(0) SG เพื่อซื้อ<br>$(1) อีกครั้ง<br>ต้องการดำเนินการต่อหรือไม่?"""
ScratchChoice_ConfirmationTicketRe#0,"""ใช้ Scratch Tickets $(0) ใบ เพื่อสุ่ม<br>$(1) อีกครั้ง<br>ต้องการดำเนินการต่อหรือไม่?"""
ScratchChoice_ConfirmationNoChargeRe#0,"""ใช้โบนัสสุ่มฟรี $(0) ครั้ง เพื่อสุ่ม $(1) อีกครั้ง<br>※รีเซ็ตทุกวันเวลา <utc>15:00</utc><br>ต้องการดำเนินการต่อหรือไม่?"""
ScratchResult_Title#0,"""ผลการสุ่ม Scratch"""
ScratchResult_Explanation#0,"""คุณได้รับรางวัลต่อไปนี้!<br>กรุณารับไอเทมจาก Scratch Storage<br><yellow>※โปรดทราบว่าไอเทมมีวันหมดอายุ<br>\u3000หากเลยกำหนดจะไม่สามารถรับได้<c>"""
ScratchResult_UseTicket_Title#0,"""ยืนยันการใช้ Ticket"""
ScratchResult_UseTicket_Mess#0,"""ใช้ไอเทมที่เลือกหรือไม่?"""
ScratchResult_UseTicket_Mess_NoUse#0,"""มีไอเทมตั๋วต่อไปนี้พร้อมใช้งาน<br>คุณต้องการใช้ทั้งหมดหรือไม่?<br><br>※คุณสามารถเลือกไอเทมจากรายการเพื่อใช้ทีละชิ้นได้"""
ScratchResult_1UseTicket_Mess#0,"""สามารถใช้ $(0) ได้<br>ดำเนินการต่อหรือไม่?"""
ScratchResult_UseTicket_AllUse#0,"""ใช้ทั้งหมด"""
ScratchResult_AllUseTicket_Title#0,"""ยืนยันการใช้งาน"""
ScratchResult_AllUseTicket_Mess#0,"""คุณต้องการใช้ไอเทมทั้งหมดหรือไม่?"""
ScratchError_StorageMax_Title#0,"""พื้นที่ Storage ไม่เพียงพอ"""
ScratchError_StorageMax_Mess#0,"""Scratch Storage ของคุณเต็ม จึงไม่สามารถสุ่ม Scratch ใหม่ได้<br><br>กรุณานำรางวัลออกจาก Scratch Storage ก่อนลองใหม่อีกครั้ง"""
ScratchError_AC_Shortage_Title#0,"""AC ไม่เพียงพอ :c"""
ScratchError_AC_Shortage_Mess#0,"""ไม่สามารถดำเนินการซื้อได้เนื่องจาก AC ไม่เพียงพอ<br><br>ต้องการเติม AC เพิ่มหรือไม่?"""
ScratchError_SG_Shortage_Title#0,"""SG ไม่เพียงพอ :c"""
ScratchError_SG_Shortage_Mess#0,"""ไม่สามารถดำเนินการซื้อได้เนื่องจาก SG ไม่เพียงพอ<br><br>ต้องการซื้อ SG เพิ่มหรือไม่?"""
ScratchError_Ticket_Shortage_Title#0,"""Tickets ไม่เพียงพอ"""
ScratchError_Ticket_Shortage_Mess#0,"""ไม่สามารถดำเนินการซื้อได้เนื่องจากมี Scratch Tickets ไม่เพียงพอ"""
CardScratchDirectBillingConfirmation_Message#0,"""ไม่สามารถดำเนินการซื้อได้เนื่องจาก<br>ตั๋วสนับสนุนสุ่มการ์ด ไม่เพียงพอ<br><br>ต้องการไปยัง AC Shop หรือไม่?"""
CardScratchACShopJumpConfirmation_Message#0,"""คุณสามารถซื้อ<br>ตั๋วสนับสนุนสุ่มการ์ด ได้ที่ AC Shop<br><br>ต้องการไปยัง AC Shop หรือไม่?"""
CardScratchDirectBillingConfirmation_Title#0,"""ยืนยันการซื้อตั๋วสนับสนุนสุ่มการ์ด"""
ScratchError_FirstTime_Mess#0,"""กรุณาสุ่ม First Time AC Scratch ของคุณก่อน"""
ScratchPrizeList_Title#0,"""รายการไอเทม"""
ScratchPrizeList_PrizeItem#0,"""ไอเทมของแถม"""
ScratchPrizeList_EmissionRate#0,"""อัตราออก"""
Bonus_Title#0,"""ตรวจสอบโบนัส"""
Bonus_Text01#0,"""จำนวนครั้งที่สุ่ม Scratch"""
Bonus_Text02#0,"""<$Count> ครั้ง"""
Bonus_Text03#0,"""เมื่อได้รับรางวัลครบทั้งหมดแล้ว ตัวนับจะรีเซ็ตและคุณสามารถเริ่มสะสมได้อีกครั้ง"""
PrizeChange_Check_Title#0,"""ยืนยันการแลกเปลี่ยน"""
PrizeChange_Check_Mess01#0,"""แลกเปลี่ยน $(2) x1 เป็น $(0)<br>ดำเนินการต่อหรือไม่?<br>※เฉพาะไอเทมต่อไปนี้เท่านั้นที่จะถูกใช้งาน<br><br>(Exchange Tickets ที่มี: $(1))"""
PrizeChange_Check_Complete#0,"""แลกเปลี่ยนสำเร็จ"""
PrizeChange_Check_Error#0,"""ไม่สามารถแลกเปลี่ยนได้ เนื่องจาก Inventory ของคุณเต็มหรือเกินขีดจำกัด"""
PrizeChange_Check_Error02#0,"""ไม่สามารถซื้อ Scratch Ticket ที่คุณเลือกได้ กรุณาตรวจสอบรายละเอียดที่หน้าเว็บไซต์ของผู้เล่น"""
EmissionParcent#0,"""$(0)%"""
ScratchLabelBonus#0,"""โบนัส"""
ScratchLabelStage1#0,"""1st Step"""
ScratchLabelStage2#0,"""ตั้งแต่ 2nd Step เป็นต้นไป"""
AllUse#0,"""ใช้ทั้งหมด"""
Title_scratch#0,"""รายการไอเทมที่ได้รับ"""
Title_useitem#0,"""ใช้ไอเทม"""
scratch_message#0,"""ได้รับรางวัลดังต่อไปนี้!"""
bonus_message#0,"""รับรางวัลทั้งหมดใน Step 1 เพื่อไปยัง Step 2 ขึ้นไป<br>ใน Step 2 ขึ้นไป คุณสามารถรับรางวัลซ้ำได้"""
useitem_message#0,"""ต้องการใช้ไอเทมที่ได้รับทั้งหมดหรือไม่?<br>คุณสามารถเลือกใช้ไอเทมทีละชิ้นได้เช่นกัน<br><yellow>※ไอเทมที่ถูกส่งไปยัง Storage จะไม่แสดงขึ้นมา<c>"""
