Symbol_Common_ID#0,"""Part ID"""
Symbol_Common_Name#0,"""ชื่อ Part"""
Symbol_Common_Pos#0,"""ตำแหน่ง"""
Symbol_Common_Height#0,"""ความสูง"""
Symbol_Common_Wight#0,"""ความกว้าง"""
Symbol_Common_Rotate#0,"""การหมุน"""
Symbol_Common_Alpha#0,"""ความโปร่งใส"""
Symbol_Common_Color#0,"""สี"""
Symbol_Common_Folder#0,"""โฟลเดอร์"""
Symbol_Common_Visible#0,"""การแสดงผล"""
Symbol_Common_GroupID#0,"""Group ID"""
Symbol_Common_ColorA#0,"""A"""
Symbol_Common_ColorR#0,"""R"""
Symbol_Common_ColorG#0,"""G"""
Symbol_Common_ColorB#0,"""B"""
Symbol_Common_PosX#0,"""X"""
Symbol_Common_PosY#0,"""Y"""
EditVectorSet#0,"""ลงทะเบียน Symbol Art"""
EditVectorClear#0,"""ล้างการลงทะเบียน"""
SoundFile_00_vita#0,"""ตามเสียงบอลลูนแชท"""
SoundFile_00#0,"""เลือก Sound Effect"""
SoundFile_01#0,"""เงียบ"""
SoundFile_02#0,"""ทั่วไป"""
SoundFile_03#0,"""ดีใจ"""
SoundFile_04#0,"""โกรธ"""
SoundFile_05#0,"""เศร้า"""
SoundFile_06#0,"""กังวล"""
SoundFile_07#0,"""ตกใจ"""
SoundFile_08#0,"""สงสัย"""
SoundFile_09#0,"""ขอความช่วยเหลือ!"""
SoundFile_10#0,"""ผิวปาก"""
SoundFile_11#0,"""เขินอาย"""
SoundFile_12#0,"""แน่วแน่"""
ColorSelectForm_Color_Title#0,"""ปรับสี"""
ColorSelectForm_Alpha_Title#0,"""ตั้งค่าความโปร่งใส"""
EditForm_Color_Exp#0,"""กรุณาเลือกสีของ Part"""
EditForm_Alpha_Exp#0,"""กรุณาเลือกระดับความโปร่งใสของ Part"""
MoneyForm_Title#0,"""-"""
MoneyForm_Button_Up#0,"""-"""
MoneyForm_Exp#0,"""-"""
EditForm_Title#0,"""แก้ไข Symbol Art"""
EditForm_Button_Save#0,"""บันทึก"""
EditForm_Button_AsSave#0,"""บันทึกลงใน Slot อื่น"""
EditForm_Button_NameEdit#0,"""แก้ไขชื่อ"""
EditForm_Button_Create#0,"""เพิ่ม Parts"""
EditForm_Sort_Big#0,"""ขนาดมาตรฐาน (แชท/โปรไฟล์)"""
EditForm_Sort_Normal#0,"""ขนาดกลาง (ตกแต่งห้อง)"""
EditForm_Sort_Mini#0,"""ขนาดเล็ก (ธงทีม)"""
EditForm_Button_Back#0,"""ย้อนกลับ (Undo)"""
EditForm_Button_Front#0,"""ทำซ้ำ (Redo)"""
EditForm_Button_Minus#0,"""-"""
EditForm_Button_Plus#0,"""+"""
EditForm_Zoom#0,"""ซูม $(0)%"""
EditForm_Title_AddStr#0,"""* (อัปเดตแล้ว)"""
EditForm_VITA_Help#0,"""ช่วยเหลือ"""
