ssc_501150_0010#0,"""아 <%me>."""
ssc_501150_0020#0,"""방금 블루더에게서<br>리쿨이랑 루카네 이야기를 듣고 있었어."""
ssc_501150_0030#0,"""훈련생이었어?"""
ssc_501150_0040#0,"""아이나가 가르쳤어?"""
ssc_501150_0050#0,"""응. 블루더가 보기에<br>애들이 어떤가 하는 이야기를."""
ssc_501150_0060#0,"""어디, 계속 들려줘봐."""
ssc_501150_0070#0,"""아이나의 지도를 받은 훈련생들은<br>각지의 부대에 배치되어 경험을 쌓고 있어."""
ssc_501150_0080#0,"""모두 우수한 성적으로<br>부대의 전력 상승에 공헌하고 있어."""
ssc_501150_0090#0,"""리쿨이랑 루카는, 지금 리템에 파견되어서<br>하디 밑에서 활동 중이야."""
ssc_501150_0100#0,"""리쿨은 분대장을,<br>루카는 그 보좌역을 맡고 있어."""
ssc_501150_0110#0,"""환경이 다른 곳에서도<br>잘 적응하고 있는 것 같아."""
ssc_501150_0120#0,"""유연한 대응력이라는 걸<br>아이나에게서 배운 것 같아."""
ssc_501150_0130#0,"""그때는<br>여러모로 일이 있었으니까…."""
ssc_501150_0140#0,"""아이나의 훈련대는<br>특히 엄격했다고 전해지는 것 같아."""
ssc_501150_0150#0,"""엄하게 할 생각은<br>없었는데…"""
ssc_501150_0160#0,"""처음에는 정도를 몰랐으니까…"""
ssc_501150_0170#0,"""하지만 모두에게 조언을 받거나 해서<br>조금씩 좋아졌다고 생각해."""
ssc_501150_0180#0,"""음. 굳이 나는 직접 서포트하지 않았지만<br>잘 처신했어."""
ssc_501150_0190#0,"""아이나 덕분에 모두 강해질 수 있었어."""
ssc_501150_0200#0,"""내 조언도 도움이 됐어?"""
ssc_501150_0210#0,"""응.<br>그렇다면 좋겠는데."""
ssc_501150_0220#0,"""물론이지."""
ssc_501150_0230#0,"""결과적으로는 훈련생들에게서도<br>아이나의 지도는 적절했다고 평가받고 있어."""
ssc_501150_0240#0,"""그렇구나, 다행이다."""
ssc_501150_0250#0,"""…이런. 아이나의 이야기가 되어버렸군."""
ssc_501150_0260#0,"""후후후, 그렇네."""
ssc_501150_0270#0,"""뭐, 요컨대<br>그들의 활동에는 아무런 걱정도 없어."""
ssc_501150_0280#0,"""그 점은 안심해 줘."""
ssc_501150_0290#0,"""응, 알겠어."""
ssc_501150_0300#0,"""그래서<br>앞으로 나는 어떻게 하면 돼?"""
ssc_501150_0310#0,"""이전에 전한 대로<br>다음 신병 훈련이 예정되어 있다."""
ssc_501150_0320#0,"""그쪽의 일부를<br>맡아주었으면 해."""
ssc_501150_0330#0,"""다음에는 더 잘할 수 있을 거라고 생각해."""
ssc_501150_0340#0,"""좋아, 그 기세다."""
ssc_501150_0350#0,"""그럼 이전보다<br>많은 인원을 보게 해볼까."""
ssc_501150_0360#0,"""에? 그건…"""
ssc_501150_0370#0,"""하하하, 농담이다."""
ssc_501150_0380#0,"""…그렇다고는 해도 지금 상황을 보면<br>그 안도 나쁘지 않을지도 모르겠군."""
ssc_501150_0390#0,"""…에에."""
ssc_501150_0400#0,"""뭐, 그 부근의 조정은<br>이제부터 해나가도록 하지."""
ssc_501150_0410#0,"""라져."""
