text202005_1_1#0,"""수고하네~<br>젝트 일행들이 엄청<br>즐거워 보였어."""
11_voice_NPC_5644_106#0,"""우리도 여기서<br>점원놀이 하면서 놀고 있었는데!<br>맞아! 손님 역할 좀 해줘!"""
text202005_2_1#0,"""카지노<br>꽤나 재미있네."""
text202005_2_2#0,"""람글라가 부족해서<br>카지노 코인을 벌러 왔다가<br>푹 빠져버렸어."""
text202005_3_1#0,"""아 나도 쿠나나<br>쿄쿠야씨 처럼<br>손가락 구부리고싶다."""
11_voice_NPC_5644_102#0,"""뭐, 우린 고대의 규율 때문에<br>구부릴 수 없지만."""
text202005_4_1#0,"""어이, 헤어 칼라 변경할 땐<br>조심하라구."""
11_voice_NPC_5644_104#0,"""나는 전에 원래 머리색이<br>기억 안나는 일이 있었어.<br>그땐 곤란했지."""
text202005_4_3#0,"""캐릭터 크리에이터 같은 건<br>저장하고 백업을 해야해."""
text01#0,"""새로운 캐스트 영업용<br>악세사리?"""
text02#0,"""정말이지 젝트 녀석<br>터무니 없는 질문만 하구만…<br>나라면… 그렇지."""
text03#0,"""「안대」나 「원차의 망토」<br>「엔젤란 윙」같은 것도<br>어둠의 힘이 가득해서 좋다고 생각해!"""
text04#0,"""뭐, 내 개인적인 취향이지만 말야!<br>의외로 멋질지도 모르잖아?"""
text202005_5_1#0,"""무슨 일이야?<br>아직 젝트 일행이랑 못만났어?<br>가서 전해줘."""
