text01001#0,"""Hello! It's a new year, and we're planning a New Year's Festival to celebrate!"""
11_voice_NPC_5121_108#0,"""せっかく新年祭のイベントなのに<br>このまま険しい空気だと<br>楽しめる感じじゃないよね。"""
text01004#0,"""だからお願い！<br>みんなが笑顔で過ごせるように<br>手を貸してくれないかな？"""
11_voice_NPC_5121_101#0,"""あけましておめでとー！<br>というわけで、新しい年の到来を祝う<br>新年祭のイベントを企画中なの！"""
text01002#0,"""もちろん、パーッと盛り上げて<br>みんなが大満足してくれるような<br>イベントにしないとだよね！"""
text01003#0,"""だからお願い！<br>今回も協力してくれないかなっ？"""
11_voice_NPC_5121_104#0,"""状況はどんな感じかなっ？<br>いつまででも待つからね！"""
11_voice_NPC_5121_100#0,"""今どんな感じなのかなっ？<br>いつまででも待つからね！"""
text02002#0,"""いろいろと忙しいと思うから<br>無理だけはしないでほしいなっ！"""
11_voice_NPC_5121_100#1,"""いつも頑張ってるみんなだから<br>イベントで笑顔になってほしい<br>元気になってほしいと思うの。"""
text03001#0,"""Preparing this event is going to take a while."""
text03002#0,"""There's so many things that could get in the way, and it's hard to come up with ideas..."""
text03003#0,"""But I can't wait to see the smiles on everyone's faces when it's finally finished!"""
text04003#0,"""イベントの企画は任せてね。<br>みんなが楽しめるように<br>頑張るから！"""
text04001#0,"""年明けの雰囲気って、いいよねー。<br>華やかな衣装で出歩く人が増えて<br>気持ちも明るくなるの。"""
11_voice_NPC_5121_100#2,"""ふふ、こういうお祝いモード、大好き！<br>思い出に残るイベントにするため<br>張り切っていくよー！"""
11_voice_NPC_5121_101#1,"""あとはみんなが喜んでくれるように<br>新年祭のイベント開催に向けて<br>突き進むだけだよー！"""
text05003#0,"""ここからの準備は、わたしにまかせて<br>貴方はゆっくり休んでね！"""
text05001#0,"""おつかれさまー！<br>貴方にたーくさん協力してもらって<br>なにもかも、うまく行ってるよ！"""
text05002#0,"""あれもこれも実現できて<br>もう言うことないよー。<br>本当に本当にありがとう！"""
11_voice_NPC_5121_100#3,"""あとはわたしに任せて！<br>最高に楽しいイベントが始まるまで<br>ゆっくり休んでね！"""
