Title#0,"""T:경계를 침식하는 작열의 절대영도"""
Explanation#0,"""아크스 쉽 주변 우주 영역에서<br>시공간 왜곡과 함께<br>이질적인 공간이 발견됐다.<br>그곳에서 「탑」 형태의 건축물과<br>불과 얼음의 힘을 함께 지닌<br>강대한 적성 존재<br>「작령룡 엘제리온」이 확인됐다.<br>각원은 현지로 향해 이를 토벌하라.<br>――――――――――――――――――――<br>최대 부여 데미지 제한/999999<br>실패 조건/제한 시간 경과<br>전원 합계 3회 전투 불능"""
SimpleExplanation#0,"""작령룡 엘제리온을 토벌하라!"""
NpcComMsg1#0,"""이제부터<br>작령룡 엘제리온이 있는<br>탑 꼭대기로 갈 거다냥."""
NpcComMsg2#0,"""작령룡 엘제리온은<br>작열하는 불꽃과<br>절대영도의 얼음을 다루는 고룡이다냥."""
NpcComMsg3#0,"""뜨거워졌다 추워졌다 하니까<br>조심해서 다녀오라냥!"""
NpcComMsg4#0,"""그럼, 한바탕 사냥하러 가자냥!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
Area0S#0,"""고탑"""
Area0L#0,"""???? 고탑"""
TargetExplanation#0,"""퀘스트 목표 「작령룡 엘제리온을 토벌하라!」<br><br><c f0df60>전원 합계 <c ff2020>3회 전투 불능<c f0df60> 시 퀘스트 실패<c>"""
