name01#0,"""Сиерра"""
text01#0,"""Сейчас я расскажу вам о <red>Stylish Roll<br>！"""
text02#0,"""С экипированными парными ПП<br><red>вы можете использовать<br>действие оружия для выполнения<br>Stylish Roll<c>, являющихся<br>действиями уклонения."""
text03#0,"""Давайте немедленно попробуем<br>Stylish Roll!"""
text101#0,"""2-я задача: <yellow>Выполните 3 Stylish Roll"""
train_title#0,"""2-я задача: <yellow>Выполнить 3 Stylish Roll"""
tut_title#0,"""『スタイリッシュロール』について"""
text100#0,"""・Для Stylish Roll <%WeaponAction><br>3 раза под ряд"""
text100_3b#0,"""・Для Stylish Roll <%MainPaletteC><br>3 раза под ряд"""
tut_win_title#0,"""『スタイリッシュロール』について"""
tut_win_text100#0,"""Stylish Roll можно активировать действием оружия<br>при использовании парного ПП.<br><br>Данное умение позволяет уклоняться в любой момент."""
