name01#0,"""Сиерра"""
11_voice_train_04001#0,"""Привет!<br>Сейчас мы с вами приступим<br>к тренировке по основам<br>класса ганнер!"""
text02#0,"""Для начала я расскажу вам о<br><red>Gear парного пистолета-пулемёта<c>!"""
text03#0,"""<red>Сила атаки увеличивается<c>по мере<br>увеличения Gear парных<br>пистолетов-пулемётов!"""
text04#0,"""А теперь давайте попробуем<br>накопить <red>Gear с 2-я или более<br>шкалами<c> и атаковать<br>Фотон Артом."""
text101#0,"""1-я задача: <yellow>Используйте Фотон Арт с 2-я или более шкалами Gear"""
train_title#0,"""1-я задача: <yellow>Использовать Фотон Арт с 2-я или более шкалами Gear"""
tut_title#0,"""Gear парного пистолета-пулемёта"""
text100#0,"""・Обычными атаками накопите<br>2 шкалы Gear<br>・Используйте Фотон Арт <%PhotonArts>"""
text100_3b#0,"""・Обычными атаками накопите<br>2 шкалы Gear<br>・Используйте Фотон Арт <%PhotonArts>"""
tut_win_title#0,"""Gear парного пистолета-пулемёта"""
tut_win_text100#0,"""Если вы изучите классовое умение<br>\""Twin Machinegun Gear\"", то сможете<br>увеличить силу парных пистолетов-пулемётов.<br><br>При продолжительных атаках шкала Gear<br>будет постепенно заполняться.<br><br>Сила атаки увеличивается в зависимости<br>от степени заполненности шкалы Gear."""
