name01#0,"""Сиерра"""
text01#0,"""А сейчас я расскажу вам о<br><red>Chain Trigger<c>!"""
text02#0,"""При активации Chain Trigger,<br>начнётся подсчёт обычных атак,<br>и Chain будет увеличиваться."""
text03#0,"""По накоплении Chain'а, вы можете<br>применить Фотон Арт или<br>заряженную технику, чтобы<br><red>закрыть Chain!<c>"""
text04#0,"""Чем больше Chain вы накопите,<br><red>тем больше урон сможете<br>нанести<c>!"""
text05#0,"""А теперь давайте завершим Chain<br><red>накопив 10 или более атак<c><br>по Chain'у!"""
text101#0,"""3-я задача: <yellow>Завершите Chain, накопив 10 или более атак"""
train_title#0,"""3-я задача: <yellow>Завершить Chain, накопив 10 или более атак"""
tut_title#0,"""Завершение Chain"""
text100#0,"""・Активируйте Chain Trigger<br>из под-палитры<br>・Наберите Chain с помощью<br>обычных атак<br>・Использовать Фотон Арт <%PhotonArts><br>для завершения Chain"""
text100_3b#0,"""・Активируйте Chain Trigger<br>из под-палитры<br>・Наберите Chain с помощью<br>обычных атак<br>・Использовать Фотон Арт <%PhotonArts><br>для завершения Chain"""
tut_win_title#0,"""Завершение Chain"""
tut_win_text100#0,"""Пока активен Chain Trigger, будет подсчитываться<br>количество попаданий обычными атаками, в следствии<br>чего Chain будет увеличиваться.<br><br>Если игрок ударяет по Chain'у Фотон Артом либо<br>техникой, то этим самым он завершает Chain.<br><br>Наносимый урон увеличивается в зависимости от<br>счётчика Chain на момент завершения."""
