st_056060_0010#0,"""……이제야 찾았네요.<br>플로."""
st_056060_0020#0,"""왁! 와아악!?<br>유령이다! 유령이 나타났어!<br>누나, 어떻게 좀 해 줘!"""
st_056060_0030#0,"""어, 어떻게 하라고 해도……<br>저기, 플로와 아는 사이인가요?"""
st_056060_0040#0,"""소개가 늦었습니다.<br>저는 이스=아르스의 수석 보좌관,<br>클라리사입니다."""
st_056060_0050#0,"""앞으로 잘 부탁드립니다.<br>쿠엔트 국왕 하리엣.<br>그리고 수호휘사님."""
st_056060_0070#0,"""클라리사……?"""
st_056060_0080#0,"""시온이 아닌가?"""
st_056060_0100#0,"""……네.<br>제 이름에 뭔가 짚이는 데라도 있습니까?"""
st_056060_0120#0,"""？？<br>제 이름은 클라리사입니다.<br>다른 이름은 없습니다."""
st_056060_0140#0,"""……저와 수호휘사를<br>알고 계시는군요.<br>아니, 그보다 수석 보좌관이라니……"""
st_056060_0160#0,"""아, 아니거든.<br>나 아직 최고 상징 아니거든."""
st_056060_0170#0,"""……그렇군요.<br>그럼 지금부터 제가 하는 일도<br>무례는 아니겠네요."""
st_056060_0190#0,"""아……아파아!"""
st_056060_0200#0,"""수행원도 없이 혼자 나오다니<br>무슨 생각을 한 겁니까!<br>자신이 얼마나 중요한지 모르십니까!"""
st_056060_0210#0,"""그, 그렇지만, 그렇지만……!<br>여기 와 보고 싶었단 말이야!<br>쿠엔트의 예쁜 관광지!"""
st_056060_0220#0,"""가고 싶다고 해도<br>허락 안 해 줄 거잖아?<br>그래서……"""
st_056060_0230#0,"""그래서 혼자 왔다고요?"""
st_056060_0250#0,"""……미안해."""
st_056060_0260#0,"""됐습니다."""
st_056060_0270#0,"""쿠엔트 국왕 하리엣 님.<br>그리고 수호휘사님.<br>플로를 지켜 주셔서 감사합니다."""
st_056060_0280#0,"""보답은 다음에 따로 하겠습니다."""
st_056060_0290#0,"""그럼 돌아가죠, 플로.<br>의식 준비를 시작해야 합니다."""
st_056060_0300#0,"""……싫어."""
st_056060_0310#0,"""네?"""
st_056060_0320#0,"""싫어어!<br>의식이 끝나면 놀 수 없게 되잖아!<br>자유롭지 못하게 된단 말이야!"""
st_056060_0330#0,"""……떼쓰지 마세요.<br>약속한 일이잖아요."""
st_056060_0340#0,"""알고는 있지만……<br>이제 놀 수 없게 되니까<br>마지막으로 조금만 더……"""
st_056060_0360#0,"""이제 놀 수 없다고요?"""
st_056060_0370#0,"""마지막이라니 무슨 뜻이지?"""
st_056060_0390#0,"""……분위기가<br>심상치 않네요.<br>이 아이에게 뭘 시키려는 건가요?"""
st_056060_0410#0,"""위험한 일은 아닙니다.<br>플로는 나라의 상징이 될 겁니다."""
st_056060_0420#0,"""장사를 중심으로 세워진 이스=아르스.<br>돈에 손대면 이익이 달아나고<br>욕심을 부리면 번영을 잃습니다."""
st_056060_0430#0,"""그러므로 장사의 상징은 티 없이 깨끗해야 합니다.<br>욕심을 품지 않고 사람과도 만나지 않은 채<br>나라와 백성의 발전만을 바라며 기도하는 존재."""
st_056060_0440#0,"""이익과 번영을 맡는 상징의 아이.<br>정화 의식을 마치면 그 자리를 잇습니다."""
st_056060_0450#0,"""듣기에는 그럴듯하지만<br>결국 이 아이가 자유를 잃는다는 거 아닌가요?"""
st_056060_0460#0,"""맞아, 맞아!<br>이제 아무하고도 못 놀잖아!"""
st_056060_0470#0,"""그래서 그때가 오기 전까지는<br>마음대로 지내도록 허락했잖아요."""
st_056060_0490#0,"""……플로.<br>정말 그래도 괜찮나요?"""
st_056060_0500#0,"""쿠엔트 국왕, 그건 내정 간섭입니다."""
st_056060_0510#0,"""……말해 주세요.<br>플로가 어떻게 생각하는지."""
st_056060_0530#0,"""더 놀고 싶었지만<br>……그래도 괜찮다고 생각해.<br>나는 이스=아르스의 상징이 될 거야."""
st_056060_0540#0,"""나는 나라와 하나가 되는 거야.<br>원래부터 정해져 있던 일이야.<br>태어날 때부터 정해져 있던 일이야."""
st_056060_0550#0,"""그러면<br>모두 즐거워질 테니까.<br>모두 행복해질 테니까."""
st_056060_0560#0,"""모두가 행복해진다면……<br>모두가 즐거워진다면……"""
st_056060_0570#0,"""아무도 울지 않아도 되고……<br>서로 싸우지 않아도 되잖아."""
st_056060_0590#0,"""……그게 플로가 내린 선택이고<br>플로의 결심인 거군요."""
st_056060_0600#0,"""응."""
st_056060_0620#0,"""하리엣 누나.<br><%me> 씨랑 요정님."""
st_056060_0630#0,"""같이 놀아 줘서<br>고마워."""
st_056060_0650#0,"""수호휘사, 시에라 씨.<br>폐를 끼쳤습니다.<br>이제 괜찮습니다."""
st_056060_0660#0,"""저 아이의 각오에 질 수는 없습니다.<br>지금 당장이라도 왕도로 돌아가고 싶습니다."""
st_056060_0670#0,"""다툼을 낳는 뿌리인<br>에피메라를 없애고……<br>이 세상에 평화를."""
st_056060_0680#0,"""그러면 플로도 분명<br>웃으며 지낼 수 있을 테니까요."""
skit01#0,"""The Secret of her Past"""
skit02#0,"""여왕의 휴식"""
name01#0,"""？？？"""
name02#0,"""？？？"""
