st_056130_0010#0,"""뀨우뀨뀨우!"""
st_056130_0020#0,"""훗……역시 수호휘사다.<br>마토이 님에게 백 번도 넘게 들었지만<br>그 이야기보다 훨씬 강했다."""
st_056130_0030#0,"""하지만 나는 결국 가짜 그릇일 뿐.<br>다른 수호자들에게는 미치지도 못한다……"""
st_056130_0040#0,"""강한 빛에는 짙은 그림자가 드리우는 법.<br>여기서 쓰러지는 편이<br>차라리 행복했을 텐데……"""
st_056130_0050#0,"""……소용없어.<br>아무리 강한 적이 기다리고 있어도<br>난 절대 이 나라를 포기하지 않아!"""
st_056130_0060#0,"""자, 다들!<br>다음 적을 향해 가자!<br>에픽을 구하기 위해!"""
st_056130_0070#0,"""야, 마르"""
st_056130_0080#0,"""이쪽 봐"""
st_056130_0090#0,"""아, 아하하……"""
st_056130_0100#0,"""마・르・씨이?<br>설명해 주실 거죠?"""
st_056130_0110#0,"""있잖아, 세계의 적이 나라를 지배하고<br>멋진 내가 그 나라를 해방하는<br>그런 이야기 있잖아?"""
st_056130_0120#0,"""나도 수호휘사와 함께 나라를 구했다는<br>이야기를 남겨 보고 싶었어.<br>우리나라는 전설이 전부 강한 신 이야기거든."""
st_056130_0130#0,"""수호휘사를 불러내면<br>그런 일을 할 수 있을 거라는 말을<br>들었거든……"""
st_056130_0140#0,"""누가 그런 말을 했나요?"""
st_056130_0150#0,"""내 측근인……신관이야.<br>그 녀석, 네 명이 나타나자마자<br>도망쳐 버렸어……"""
st_056130_0160#0,"""……그냥 이 나라는 내버려 둘까요?"""
st_056130_0170#0,"""아, 안 됩니다!<br>그냥 둘 수는 없습니다!"""
st_056130_0180#0,"""이유가 무엇이든 에피메라의 영향이<br>곳곳에서 보이고……<br>이대로라면 백성들이 너무 가엾습니다."""
st_056130_0190#0,"""……응. 그건 반성하고 있어.<br>정말, 정말 많이 반성하고 있어."""
st_056130_0200#0,"""전설이 있어도, 영웅이 있어도<br>배를 채울 수는 없지만……<br>마음은 채워 줄 수 있지 않을까 해서……"""
st_056130_0210#0,"""그런 쓸데없는 생각을 한<br>내가 바보였다고 인정할 테니까……"""
st_056130_0220#0,"""원래대로 되돌리는 걸 도와줘.<br>부탁이야."""
st_056130_0230#0,"""고개를 들어 주세요, 마르가레타 님.<br>그 마음이 어떤지 저도 뼈저리게 압니다.<br>방법을 잘못 고르셨을 뿐입니다."""
st_056130_0240#0,"""하지만 잘못했다면<br>바로잡으면 됩니다.<br>……그렇죠, 수호휘사?"""
st_056130_0250#0,"""어쩔 수 없지"""
st_056130_0260#0,"""그냥 둘 수는 없어"""
st_056130_0270#0,"""……뭐, 【심원의 어둠】이<br>영향을 끼친 이상 그냥 둘 수는 없죠.<br>마르 씨도 반성하는 것 같고요."""
st_056130_0280#0,"""쿠……쿠엔트 왕!<br>수호휘사! 덤으로 요정도!"""
st_056130_0290#0,"""정말 다들 너무 착해 빠졌어!<br>그러다 언젠가 진짜 사기당할 거야!"""
st_056130_0300#0,"""지금도 이미 속고 있는 셈이라고<br>생각하는데요……"""
st_056130_0310#0,"""……두 분 다 너무 착하니까<br>어쩔 수 없네요."""
name01#0,"""다크 엠퍼 랍피"""
name02#0,"""？？？"""
