st_056140_0001#0,"""A.P.241/11/27/10:00"""
st_056140_0010#0,"""앗, 아이카 씨!"""
st_056140_0020#0,"""그래, <%me><br>시에라. 둘에게 폐를 끼쳤다고 들었다.<br>미안하다……"""
st_056140_0030#0,"""폐라니, 당치도 않아요!<br>아이카 씨도 갑자기 휘말렸을 뿐이고……<br>그보다 몸은 괜찮으세요?"""
st_056140_0040#0,"""검사는 끝났다.<br>몸에는 아무 이상도 없다고 한다."""
st_056140_0050#0,"""다만, 아주 끔찍한……<br>악몽을 계속 꾼 것 같다."""
st_056140_0060#0,"""뀨뀨우……"""
st_056140_0070#0,"""몹시 부끄러운 꿈이다.<br>기억이 남지 않은 게<br>차라리 다행이라고 여겨질 만큼."""
st_056140_0080#0,"""기억하고 있었더라도<br>자세한 내용은 말하고 싶지 않다……<br>두 번 다시 하고 싶지도 않고."""
st_056140_0090#0,"""뀨우우우……"""
st_056140_0100#0,"""……괜찮아요. 잊어버리죠.<br>아이카 씨는 아무 잘못도 없으니까요."""
st_056140_0110#0,"""뭐!?<br>두 사람은 무슨 일이 있었는지<br>알고 있는 건가!?"""
st_056140_0130#0,"""강한 빛에는 짙은 그림자가 드리우는 법……"""
st_056140_0140#0,"""나는 결국 가짜 그릇일 뿐……"""
st_056140_0150#0,"""윽……뭐, 뭐지 그 말은……<br>왜 듣기만 해도<br>얼굴이 달아오르는 거지……!"""
name01#0,"""랍피"""
name02#0,"""？？？"""
