st_056040_0010#0,"""고맙습니다.<br>……정말 속이 후련해졌어요."""
st_056040_0020#0,"""그리고 마음도 한결 가벼워졌습니다.<br>계속 울지 않으려고 버텨 왔으니<br>그동안 참은 게 터져 나온 것 같네요."""
st_056040_0030#0,"""윽……훌쩍……<br>죄송합니다, 정말 죄송합니다.<br>이제 괜찮습니다. 괜찮을 테니까요."""
st_056040_0040#0,"""아앗, 누나를 울리고 있어!"""
st_056040_0045#0,"""그러면 안 돼, 안 돼!"""
st_056040_0050#0,"""괜찮아, 누나.<br>누가 못된 짓이라도 했어?"""
st_056040_0060#0,"""사람은 슬플 때 우는 거잖아?<br>싫은 일이 있어서 우는 거잖아?"""
st_056040_0070#0,"""괜찮아, 그런 게 아니야.<br>걱정해 줘서 고마워."""
st_056040_0080#0,"""흐음?<br>어른은 참 복잡하구나."""
st_056040_0090#0,"""넌 누구야?"""
st_056040_0100#0,"""어디서 왔어?"""
st_056040_0110#0,"""나?<br>나는 플로라고 해."""
st_056040_0120#0,"""플로, 어느 집<br>도련님인가요?"""
st_056040_0130#0,"""후후후!<br>어디서 왔는지는……비밀!"""
st_056040_0140#0,"""그보다 누나들!<br>같이 놀자!<br>여기는 노는 곳 맞지?"""
st_056040_0150#0,"""놀다 보면 눈물도 쏙 들어갈 거야!<br>응, 응? 괜찮지!?"""
st_056040_0160#0,"""……그러죠.<br>그러려고 여기까지 왔으니까요."""
st_056040_0170#0,"""……<%me> 씨.<br>저 아이, 눈치채셨어요?"""
st_056040_0180#0,"""기운은 다르지만……"""
st_056040_0190#0,"""……【쌍자】와 똑같이 생겼어"""
st_056040_0200#0,"""……네.<br>다크 펄스【쌍자】와 닮았어요."""
st_056040_0210#0,"""저 아이도……루서처럼<br>【쌍자】의 근원이 된 존재일까요.<br>……신경 쓰이네요."""
name01#0,"""？？？"""
name02#0,"""？？？"""
