st_056220_0010#0,"""윽……으으윽!<br>감히 이 아름다운 몸에<br>상처를……냈겠다!"""
st_056220_0020#0,"""<%me> 씨!<br>이 상태라면 할 수 있어요!"""
st_056220_0030#0,"""다크 펄스를 떼어 내고<br>마르 씨를 구해 내면……!"""
st_056220_0040#0,"""……!<br>수호휘사, 물러나세요!"""
st_056220_0050#0,"""뭐!?<br>땅에서 스며 나온……어둠!?<br>아직 이런 힘이……!"""
st_056220_0060#0,"""아니요, 상태가 이상합니다……"""
st_056220_0070#0,"""뭐……뭐야, 이건!?<br>날 빼앗아 갈 셈이야!?"""
st_056220_0080#0,"""【약인】이 공격받고 있어?"""
st_056220_0090#0,"""제어하지 못하는 건가?"""
st_056220_0100#0,"""반응은 에피메라……<br>다커 인자와 이어지는 것이에요!"""
st_056220_0110#0,"""마르 씨를 구해 내려고 해도<br>이래서는 가까이 갈 수도……!"""
st_056220_0120#0,"""길만 있다면 구해 낼 수 있는 거군요."""
st_056220_0130#0,"""……하리엣 씨?"""
st_056220_0140#0,"""수호휘사, 제가 길을 만들겠습니다.<br>……나머지는 부탁드립니다."""
st_056220_0150#0,"""이것이 에피메라에서 비롯된 것이라면<br>……제 몸이야말로 그릇에 어울립니다!"""
st_056220_0160#0,"""우와, 우와……그건 아니야……<br>정말……아니라고……<br>진짜 내가 저렇게 되는 거야……"""
st_056220_0170#0,"""진심으로 풀이 죽지 마!<br>네가 자란 모습이 바로 나야!<br>그 흐리멍덩한 눈에 똑똑히 새겨 둬!"""
st_056220_0180#0,"""자, 잠깐! 그만해! 무례해, 무례해!<br>요란하고 잘난 척하고 무례하기까지 하면<br>하나도 봐줄 구석이 없잖아!"""
st_056220_0190#0,"""자자, 싸우지 마"""
st_056220_0200#0,"""그보다 이 상황은 뭐야?"""
st_056220_0210#0,"""……그러네.<br>싸울 때가 아니지."""
st_056220_0220#0,"""나는……알다시피<br>다크 펄스【약인】이야.<br>이 아이가 끝내 변한 모습이지."""
st_056220_0230#0,"""【약인】의 그릇이 되어<br>원하는 대로, 욕망이 이끄는 대로 살아간<br>이 아이의 미래 모습."""
