name_7200#0,"""Kartevie"""
ssn_012051_0104#0,"""เอาล่ะ จริงๆ มันก็ไม่ได้ซับซ้อนอะไรหรอก"""
ssn_012051_0105#0,"""มันมีขีดจำกัดอยู่ว่าเธอจะอัปเกรดอาวุธหรือชุดเกราะที่ Item Lab ได้มากแค่ไหนน่ะ"""
ssn_012051_0106#0,"""ฉันจะบอกวิธีข้ามขีดจำกัดนั้นให้ เพื่อที่เธอจะได้ผลักดันอุปกรณ์ไปให้ถึงขีดสุดยังไงล่ะ"""
ssn_012051_0107#0,"""อันที่จริง ประสบการณ์เป็นครูที่ดีที่สุดสำหรับเรื่องพวกนี้นะ เอ้านี่ รับสิ่งนี้ไปแล้วลองใช้ที่ Lab ดูสิ"""
ssn_012051_0401#0,"""ได้รับ Prim Sword x10, Monotite x30, Dualomite x30, Trinite x30 และ 120,000 <pict reb_meseta>Meseta"""
ssn_012051_0402#0,"""ได้รับ Prim Knuckles x10, Monotite x30, Dualomite x30, Trinite x30 และ 120,000 <pict reb_meseta>Meseta"""
ssn_012051_0403#0,"""ได้รับ Prim Rifle x10, Monotite x30, Dualomite x30, Trinite x30 และ 120,000 <pict reb_meseta>Meseta"""
ssn_012051_0404#0,"""ได้รับ Prim Machineguns x10, Monotite x30, Dualomite x30, Trinite x30 และ 120,000 <pict reb_meseta>Meseta"""
ssn_012051_0405#0,"""ได้รับ Prim Rod x10, Monotite x30, Dualomite x30, Trinite x30 และ 120,000 <pict reb_meseta>Meseta"""
ssn_012051_0406#0,"""ได้รับ Prim Wand x10, Monotite x30, Dualomite x30, Trinite x30 และ 120,000 <pict reb_meseta>Meseta"""
ssn_012051_0407#0,"""ได้รับ Prim Katana x10, Monotite x30, Dualomite x30, Trinite x30 และ 120,000 <pict reb_meseta>Meseta"""
ssn_012051_0408#0,"""ได้รับ Prim Boots x10, Monotite x30, Dualomite x30, Trinite x30 และ 120,000 <pict reb_meseta>Meseta"""
ssn_012051_0409#0,"""ได้รับ Prim Takt x10, Monotite x30, Dualomite x30, Trinite x30 และ 120,000 <pict reb_meseta>Meseta"""
ssn_012051_0410#0,"""ได้รับ Prim Slash x10, Monotite x30, Dualomite x30, Trinite x30 และ 120,000 <pict reb_meseta>Meseta"""
ssn_012051_0501#0,"""ได้รับ Prim Sword x1, Monotite x5, Dualomite x5, Trinite x5 และ 10,000 <pict reb_meseta>Meseta"""
ssn_012051_0502#0,"""ได้รับ Prim Knuckles x1, Monotite x5, Dualomite x5, Trinite x5 และ 10,000 <pict reb_meseta>Meseta"""
ssn_012051_0503#0,"""ได้รับ Prim Rifle x1, Monotite x5, Dualomite x5, Trinite x5 และ 10,000 <pict reb_meseta>Meseta"""
ssn_012051_0504#0,"""ได้รับ Prim Machineguns x1, Monotite x5, Dualomite x5, Trinite x5 และ 10,000 <pict reb_meseta>Meseta"""
ssn_012051_0505#0,"""ได้รับ Prim Rod x1, Monotite x5, Dualomite x5, Trinite x5 และ 10,000 <pict reb_meseta>Meseta"""
ssn_012051_0506#0,"""ได้รับ Prim Wand x1, Monotite x5, Dualomite x5, Trinite x5 และ 10,000 <pict reb_meseta>Meseta"""
ssn_012051_0507#0,"""ได้รับ Prim Katana x1, Monotite x5, Dualomite x5, Trinite x5 และ 10,000 <pict reb_meseta>Meseta"""
ssn_012051_0508#0,"""ได้รับ Prim Boots x1, Monotite x5, Dualomite x5, Trinite x5 และ 10,000 <pict reb_meseta>Meseta"""
ssn_012051_0509#0,"""ได้รับ Prim Takt x1, Monotite x5, Dualomite x5, Trinite x5 และ 10,000 <pict reb_meseta>Meseta"""
ssn_012051_0510#0,"""ได้รับ Prim Slash x1, Monotite x5, Dualomite x5, Trinite x5 และ 10,000 <pict reb_meseta>Meseta"""
