text01#0,"""처음뵙겠습니다! 내 이름은 애쉬라고 해<br>사실 우린 지금 곤란에 처했어……"""
text02#0,"""아 참 미안해……<br>아직 소개를 안했네<br>이 나리께선……"""
text03#0……키릭이다.<br>나리라고 부를 필요는 없다."""
text04#0,"""미안, 다들 불러내서……<br>나와 키릭씨는 파이오니아 2<br>헌터즈 길드 소속이야."""
text05#0,"""행성 라골의 삼림을 조사하던 중에 삼림<br>오지에서 적을 쓰러뜨렸더니, 갑자기 이상한<br>팡파르가 울리더니……"""
text06#0,"""텔레포터랑 비슷한 느낌의 무지개 빛으로<br>빛나는 이상한 장치가 눈앞에 나타났어."""
text07#0,"""뭐야 이거 하고 조사하려고 했더니,<br>장치가 기동했던걸까……<br>정신차려보니 여기 있었어"""
text08#0,"""귀찮은 일에 말려들었네……<br>여긴 라골이나 파이오니아 2랑은<br>크게 다른 기술, 문화, 문자 같아."""
text09#0,"""마치 다른 세계에 온 것 같아서<br>정말 난감했어. 부탁이야!<br>되돌아 갈 수 있게 도와줘!"""
text01#1,"""ここに来てから、なんだか妙に<br>体が軽くなった気がするんだ。<br>重力が違ったりするのかな？"""
text02#1,"""ラグオルでは考えたことなかったけど<br>ここでなら、オレもジャンプしながら<br>戦闘したりできるかもしれないな！"""
text01#2,"""そういえば、ラグオルを調査してた時に<br>地形や敵についての助言を残した<br>メッセージカプセルをよく見たんだ。"""
text02#2,"""あれって、後から来たハンターのために<br>すごく役立つ、いいシステムだよな。<br>この感動をみんなに広めたいぜ！"""
text03#1,"""……へえ、メッセージパックってのが<br>こっちにも……え、歩きながら読める？<br>読んでても、敵に殴られないのか！？"""
text01#3,"""そういえば、話してなかったか。<br>パイオニア２ってのは……<br>巨大な、惑星間移民船の名前なんだ。"""
text02#3,"""オレらの活動拠点として<br>ラグオルの衛星軌道上に停泊していて<br>多くの人が今もそこで暮らしてる。"""
text03#2,"""１０年ぐらい前に先行調査に向かった<br>パイオニア１の人たちが、ラグオルの<br>調査と開拓を進めてたんだけど……"""
text04#1,"""パイオニア２のラグオル到着寸前に<br>地表で大規模な爆発事故があって……<br>オレたちが調査してた所なんだ。"""
text05#1,"""タイレル総督から直々に依頼されて<br>張り切ってた所だったのに……<br>ちくしょう、くやしいな。"""
text01#4,"""ここに来て、貴重な経験をさせて<br>もらったよ。本当にありがとうな……<br>あんたには感謝しきれないぜ。"""
text02#4,"""オレには目標としている奴がいてさ。<br>その背中を守れるぐらい強くなりたい。<br>……まだ全然なんだけどな。"""
text03#3,"""いつかまたファンファーレが鳴ったら<br>あんたの背中も守りに来るよ。<br>その時までに強くなる。必ずな！"""
