text01#0,"""***"""
text01#1,"""애쉬군이 라골에서 봤던 메세지 캡슐말야,<br>너무 좋은데! 생각한 사람 천재네!"""
text02#0,"""캡슐에 적힌 메세지를 읽으면  비록<br>고독할 때에도 사람과의 유대감을<br>느낄 수 있다고 생각해."""
text03#0,"""나도 라골로 돌아가면 캡슐을 놓고<br>다녀야겠어. 나를 따라오는 사람들을 위해서."""
text01#2,"""애쉬 일행이랑 대화 하면서 나온<br>「블루 버스트」란게 뭔지……<br>신경쓰이네."""
text02#1,"""내가 모르는 미래에서 일어난<br>미지의 현상…… 아니 사건?<br>미래에 대체 무슨 일이 일어난 거야?"""
text03#1,"""하지만 더 이상 알면 위험하겠지.<br>그 순간이 오면 최선을 다 하면 되니까.<br>그게 헌터즈니까!"""
text01#3,"""내가 행방불명 되는 일이 생기면<br>아버지께서 걱정해 주실까……"""
text02#2,"""센트롤 돔이 무사히 완성되면 이민선,<br>피이오니아 2를 초빙할 예정이야.<br>그 배에는 우리 아버지……"""
text03#2,"""코린 타이렐이 파이오니아 2 총독으로 승선했어.<br>드디어…… 몇년만에 만날 수 있어."""
text04#0,"""고지식하고 시끄러워서<br>싸움이 끊이지 않았지만……<br>빨리 만났으면 좋겠다."""
text01#4,"""여러 가지로 신세를 졌네.<br>여기서 뒷덜미가 잡히기 전에 사라질<br>생각이니까 안심해."""
text02#3,"""응? 언제까지든 있어도 괜찮다고?<br>음…… 그렇게 말하니 남아서<br>이 세계를 연구하고 싶어지네……"""
text03#3,"""……농담이야!<br>저쪽 세계에서 하다가 남긴 일이 있어.<br>미래는 내 손으로 개척할게, 헌터로서!"""
