Title#0,"""T: ¡Dengeki!, ¡Polytanland!"""
Explanation#0,"""Bienvenido a ¡Polytanland!<br>¿No juegas con la misión que hice?<br>Las reglas son simples. Derrota a muchos<br>enemigos en un tiempo deerminado<br>y consigue el puntaje mas alto.<br>E-Trial a mitad de camino<br>¡No las falles ya que es una<br>oportunidad de ganar mas puntos!<br>――――――――――――――――――――<br>¡Gana puntos hasta que termine la misión!<br>Los puntos se comparten por misión."""
SimpleExplanation#0,"""¡Derrota a los enemigos y gana puntos!"""
NpcComMsg1#0,"""Bienvenido a Polytanland!, ¡Trata de obtener el puntaje más alto al derrotar la mayor cantidad de enemigos!"""
NpcComMsg2#0,"""Hemos configurado Emergency Trials que aparecerán durante toda la misión."""
NpcComMsg3#0,"""Completar cada E-Trial aumentará la velocidad con la que se cuentan tus puntos. Así que apunta alto y derrota a los enemigos!"""
a1#0,"""Completar determinada orden de cliente."""
a2#0,"""Completar determinada orden de cliente."""
a3#0,"""Poseer licencia Super Difícil."""
a4#0,"""Poseer licencia Super Difícil."""
Area0S#0,"""Área de la ciudad 1"""
Area0L#0,"""Nave ARKS - Área de la ciudad 1"""
Area1S#0,"""Área de la ciudad 2"""
Area1L#0,"""Nave ARKS - Área de la ciudad 2"""
NPC_QUEST_START#0,"""¡Ahora, comenzara la mision!, ¡Derrota a los enemigos y trata de conseguirel puntaje mas alto!"""
NPC_TIME_HALF#0,"""Queda la mitad del Tiempo ¡Consigue un puntaje más alto completando las E-Trials para aumentar el porcentaje!"""
NPC_TIME_1MIN#0,"""Solo queda un minuto.<br>No te rindas, da todo hasta el final!"""
LINE_QUEST_START#0,"""¡Derrota a los enemigos y gana puntos!"""
LINE_TIME_1MIN#0,"""Solo queda un minuto."""
