st_062080_0210#0,"""하앗！"""
st_062080_0220#0,"""크……으으윽……！"""
st_062080_0230#0,"""〔괜찮은가！？〕"""
st_062080_0240#0,"""이……얏！"""
st_062080_0250#0,"""하아……하아……！<br>여기는 마지막 희망이야……<br>……멋대로 하게 두지 않겠어！"""
st_062080_0260#0,"""하아앗！"""
st_062080_0265#0,"""……윽！？ 크윽……！"""
st_062080_0270#0,"""방해……하지 마아앗！"""
st_062080_0275#0,"""하앗……！ 하앗……！"""
st_062080_0280#0,"""윽……！"""
st_062080_0285#0,"""안 돼애애！"""
st_062080_0290#0,"""아……아아아……<br>그럴……수가……！"""
st_062080_0300#0,"""〔이래서는……〕"""
st_062080_0310#0,"""미안해……정말 미안해……！<br>내가……지키지 못했어……！"""
st_062080_0320#0,"""애썼는데……정말 열심히 했는데……<br>조금만 더 하면 됐는데……실패했어."""
st_062080_0330#0,"""샤오를……구하고 싶었는데……！<br>나는……나는……！"""
st_062080_0340#0,"""아직 끝나지 않았어！"""
st_062080_0350#0,"""샤오는 아직 살아 있어！"""
st_062080_0360#0,"""샤오는 아직……내 안에……"""
st_062080_0370#0,"""……！<br>그래, 내 마음속에 샤오는 있어！"""
st_062080_0380#0,"""그리고 모든 것의 본질은……마음에……있어！"""
