st_062080_0390#0,"""……샤오."""
st_062080_0400#0,"""샤오."""
st_062080_0410#0,"""샤오！"""
st_062080_0420#0,"""샤오！ 일어나, 샤오！<br>다들 기다리고 있단 말이야！"""
st_062080_0430#0,"""샤오가 없으면 아무것도 할 수 없어！<br>내 걱정은 하지 않아도 되니까<br>이 몸을 써도 되니까……！"""
st_062080_0440#0,"""눈을 떠！"""
st_062080_0450#0,"""……미안해, 마음에도 없는 말을 했어.<br>이런 말로는 아무에게도 닿지 않겠지."""
st_062080_0460#0,"""나는 죽고 싶지 않아.<br>이 몸도 잃고 싶지 않아."""
st_062080_0470#0,"""그리고 무엇보다<br>샤오와 함께 있고 싶어.<br>그래, 그렇게 약속했으니까……"""
st_062080_0480#0,"""……아니, 이것도 달라. 이것도 거짓말이야.<br>샤오와 함께 있고 싶은 건<br>처음 약속했기 때문이 아니야……"""
st_062080_0490#0,"""……이 답답한 마음을<br>어떻게 말로 풀어야 할지 모르겠어.<br>어떻게 해야 전해질지도 모르겠어."""
st_062080_0500#0,"""그래도 샤오와 함께 있고 싶어.<br>함께 웃고, 화내고, 다투고……<br>여러 가지를 보고 즐기면서……"""
st_062080_0510#0,"""함께 걸어가고 싶어."""
st_062080_0520#0,"""샤오, 난 너와 함께 있고 싶어.<br>우리가 하나가 되는 게 아니라<br>서로 다른 존재로서."""
st_062080_0530#0,"""한 사람과 한 사람으로서, 나란히 서고 싶어."""
st_062080_0540#0,"""그러니까……그러니까 샤오……<br>부탁해, 제발……"""
st_062080_0550#0,"""돌아와 줘……！"""
