un_062120_0010#0,"""아, <%me><br>샤오가 돌아왔다면서？<br>다행이네."""
un_062120_0020#0,"""게다가 노룡족의 도움으로<br>연산 처리 능력도 올랐다면서."""
un_062120_0030#0,"""이제 어느 정도는<br>포토너와도 맞설 수 있게<br>됐다는 거네."""
un_062120_0040#0,"""정보전에서 맞설 수 있어도<br>시바가 상대라면 답이<br>없지만 말이지."""
un_062120_0050#0,"""대체 어느 편이야.<br>……뭐, 이야기를 들어 보니<br>엄청난 녀석인 건 알겠어."""
un_062120_0060#0,"""시바뿐만 아니라<br>부하처럼 붙어 있는 둘도 만만치<br>않잖아……대체 뭐야, 저 녀석들."""
un_062120_0070#0,"""아, 응……그 둘 말이지."""
un_062120_0080#0,"""응？ 아우로라.<br>뭔가 알고 있어？"""
un_062120_0090#0,"""……그래.<br>그 둘도 포토너에게<br>피해를 본 셈이야."""
un_062120_0100#0,"""피해를 봤다고……？"""
un_062120_0110#0,"""그래, 처음에는 그릇 하나뿐이었어.<br>포톤을 다루는 능력만 뛰어난<br>궁극의 그릇이 만들어졌지."""
un_062120_0120#0,"""그런데 그 그릇에 지성이 생겨 버렸어.<br>지성을 얻은 그릇을 뒷받침하려고……<br>두 신을 만든 거야."""
un_062120_0130#0,"""그 둘이 바로……<br>「거짓의 여신 미트라」와<br>「정의의 남신 바루나」야."""
un_062120_0140#0,"""바루나라면……<br>분명……"""
un_062120_0150#0,"""생각났어！<br>그래……오메가에 불려 갔을 때<br>바루나라는 녀석도 있었잖아！"""
un_062120_0160#0,"""그때 아우로라도 있었는데……<br>눈치채지 못했어？"""
un_062120_0170#0,"""그때는 정신이 없었고<br>남자 얼굴을 하나하나 기억하진 않거든."""
un_062120_0180#0,"""하지만 바루나는 날 알아봤을지도 몰라.<br>예전과 모습이 달라졌다고 해도."""
un_062120_0190#0,"""그러고 보니 남쪽 요새에서<br>에픽 왕도로 향했을 때<br>바루나는 없었지."""
un_062120_0200#0,"""늘 그 공주 곁을 지키던 사람이<br>볼일이 있다며 따로 움직인 건<br>아우로라가 있었기 때문일지도 모르겠네."""
un_062120_0205#0,"""이야기를 돌리자면, 그 셋이 만들어진<br>바로 그 무렵 전지 존재의 마지막 모방체……<br>【심원의 어둠】이 태어나 버렸어."""
un_062120_0210#0,"""달리 방법이 없었던 포토너는<br>「궁극의 그릇」에서 지성을 없애고<br>【심원의 어둠】을 담는 그릇으로 삼았어."""
un_062120_0220#0,"""그 그릇을 보좌하던<br>「거짓의 여신 미트라」와 「정의의 남신 바루나」도<br>셋이 사이좋게 아공간에 버려졌어."""
un_062120_0230#0,"""……포토너들 마음대로<br>만들어 놓고 제멋대로 버린 거야.<br>그 아이들도……피해자야."""
un_062120_0240#0,"""하지만……<br>우리는 포토너가 아니야.<br>애꿎은 우리가 피해를 보는 거잖아."""
un_062120_0250#0,"""응, 나도 동정은 하지만<br>뜻을 같이할 생각은 없어."""
un_062120_0260#0,"""그러니까 <%me>！<br>저 녀석들을<br>아주 호되게 혼내 줘！"""
