st_062040_0180#0,"""〔오랜만이군〕〔<%me>〕"""
st_062040_0185#0,"""〔아크스가 위기에 처한 건 알고 있으나〕<br>〔무사한 모습을 보니 무엇보다 다행이군〕"""
st_062040_0190#0,"""암두스키아의 늙은 용족.<br>로 카미츠……샤오의 오랜 지인."""
st_062040_0200#0,"""〔그렇다〕"""
st_062040_0210#0,"""〔그 안에서 샤오가 느껴진다.<br>이야기는 들었으나 이렇게 대화를<br>나누는 건 처음이군, 샤오의 무녀여〕"""
st_062040_0220#0,"""무녀？"""
st_062040_0230#0,"""샤오와 인연이 있는 사람이 아니라？"""
st_062040_0240#0,"""〔아크스식 표현으로 말한다면<br>샤오와 인연이 있는 사람이 맞겠지〕"""
st_062040_0250#0,"""〔하지만 이렇게 바꿔 말해서<br>내가 전하려는 뜻을<br>모두 이해했다고 생각한다〕"""
st_062040_0260#0,"""나와 레라가 같은 존재……<br>그럼 로 카미츠도……"""
st_062040_0270#0,"""샤오와 똑같은……"""
st_062040_0280#0,"""시온의 모방체……"""
st_062040_0290#0,"""〔……그 말대로다.<br>나는 전지 존재인 행성 시온의 모방체.<br>만들어졌다 버려진 존재 중 하나다〕"""
st_062040_0300#0,"""〔나는 중기에 만들어진 모방체.<br>같은 시기에 태어난<br>형제라 할 만한 모방체가 하나 더 있었다〕"""
st_062040_0310#0,"""〔하지만 나와 또 하나의 시온 모방체는<br>모방체라 부르기에는 원본보다<br>각자 부족한 점이 있었다〕"""
st_062040_0320#0,"""〔나는 연산 능력이 떨어졌고<br>다른 하나는 처리 능력이 떨어졌다〕"""
st_062040_0330#0,"""〔둘이 하나가 된다면 좋을 텐데 하고<br>포토너들이 얼마나 한탄했을지는 쉽게 알겠지？〕"""
st_062040_0340#0,"""〔당시 포토너의 무서운 점은<br>그 한탄을 현실로 만들려 했다는 것이다〕"""
st_062040_0350#0,"""〔나와 다른 하나를 융합해 완전한<br>시온의 모방체로 만들려고 꾸몄고……<br>그 계획은 당연히 실패했다〕"""
