Begin#0,"""開始5151"""
Success#0,"""成功5151"""
Failure#0,"""失敗5151"""
Dead#0,"""自分死亡5151"""
BuddyDead#0,"""相手死亡5151"""
Evolution#0,"""発展5151"""
Begin#1,"""/ci1 1 …부탁이야.<br>도와줬으면 해."""
Success#1,"""/ci2 1 둘 뿐이었다면, 위험했을거야.<br>고마워."""
Failure#1,"""잘 되지 않았네.<br>…미안."""
Dead#1,"""거짓말…<br>당해, 버리다니…"""
BuddyDead#1,"""키드, 안 돼.<br>무리는 금물, 쉬고 있어."""
Begin#2,"""/ci1 2 돌연 죄송합니다.<br>도와줬으면 좋겠어…"""
Success#2,"""/ci2 2 고마워, 도움이 됐어.<br>그럼, 다음에 봐."""
Failure#2,"""/mn5 실패해버렸네…<br>미안, 재정비하고 올게."""
Dead#2,"""/mn4 이 이상은 어려울 것 같아…<br>죄송해요…"""
BuddyDead#2,"""…키드!<br>편히 쉬고 있어."""
Begin#3,"""/ci1 1 RINA, 의욕이 넘치는 것 같으니<br>몰래 도와주고 있어.<br>도와줬으면 해."""
Success#3,"""/ci1 2 적, 없어져버렸네.<br>도와줘서 고마워."""
Failure#3,"""/mn1 죄송합니다…<br>도움이 되지 못했어."""
Dead#3,"""/mn4 미안, 이제 한계 같아…<br>뒤는 부탁해…"""
BuddyDead#3,"""/mn22 리리카, 무리는 좋지 않아.<br>우리들이 뒷처리 할테니까."""
