msc_023020_0010#0,"""อ๊ะ <%me>!"""
msc_023020_0020#0,"""พวกเขาเป็นใครเหรอ?"""
msc_023020_0030#0,"""ฉันไม่เคยเห็นสองคนนั้นใน ARKS มาก่อนเลยนะ"""
msc_023020_0040#0,"""สมาชิก ARKS ที่เพิ่งเกณฑ์มาใหม่น่ะ"""
msc_023020_0050#0,"""ก็นะ พวกเขาเพิ่งจะเกณฑ์ทหารมาเมื่อไม่นานมานี้นี่นา"""
msc_023020_0060#0,"""ต่อจากนี้ไป พวกเขาจะเป็นทหารฝึกหัดของฉันล่ะ"""
msc_023020_0070#0,"""ฉันตัดสินใจรับคำขอของครอว์ฟอร์ด (Crawford) ที่ให้ฉันมาเป็นครูฝึกน่ะนะ"""
msc_023020_0080#0,"""พวกเขาแค่อยากจะมาทักทายก่อนที่จะเริ่มการฝึกน่ะ"""
msc_023020_0090#0,"""'เป็นเกียรติอย่างยิ่งที่ได้รับการฝึกฝนจาก<br>คุณไอน่าที่น่าเคารพ'... อะไรประมาณนี้น่ะ"""
msc_023020_0100#0,"""เธอนี่ค่อนข้างป๊อปปูล่าเลยนะเนี่ย"""
msc_023020_0110#0,"""ศาสตราจารย์ไอน่า"""
msc_023020_0120#0,"""ม่ายยยนะ... อาฮะฮะ..."""
msc_023020_0130#0,"""มันก็ดีใจนะที่ได้รับการนับถือขนาดนี้ แต่ว่า..."""
msc_023020_0140#0,"""โธ่ หยุดเลยนะ! มัน แบบว่า น่าอายน่ะ"""
msc_023020_0150#0,"""มีบางอย่างที่สองคนนั้นพูดแล้วสะกิดใจฉันน่ะ"""
msc_023020_0160#0,"""พวกเขาบอกว่าพวกเราโด่งดังมากเลยนะ"""
msc_023020_0170#0,"""เธอ มาน่อน แล้วก็ฉัน พวกเราสามคนน่ะ"""
msc_023020_0180#0,"""ดูเหมือนว่า เพราะพวกเราได้ต่อสู้มามากมาย<br>ในทุกภูมิภาค ทุกคนก็เลยพูดถึงพวกเรากันน่ะ"""
msc_023020_0190#0,"""รู้สึกเหมือนพวกเราเป็นฮีโร่หรืออะไรทำนองนั้นเลยแฮะ"""
msc_023020_0200#0,"""อืม ส่วนใหญ่ก็น่าจะเป็นเพราะการโฆษณาของครอว์ฟอร์ด (Crawford) นั่นแหละ..."""
msc_023020_0210#0,"""ฉันยังไม่ค่อยอินเท่าไหร่เลยแฮะ"""
msc_023020_0220#0,"""นั่นก็เพื่อเพิ่มขวัญกำลังใจให้ทุกคนไงล่ะ"""
msc_023020_0230#0,"""ใช่มั้ยล่ะ? ฉันเองก็ยังไม่ค่อยอินเหมือนกัน"""
msc_023020_0240#0,"""อื้ม ฉันก็เข้าใจเรื่องนั้นนะ แต่ว่า..."""
msc_023020_0250#0,"""มันแค่... กดดันมากเลยล่ะ"""
msc_023020_0260#0,"""คือว่า สิ่งที่ฉันทำจริงๆ ก็แค่พยายามอย่างหนัก<br>เพื่อที่จะตามเธอและมาน่อนให้ทันเท่านั้นเองนะ"""
msc_023020_0270#0,"""แล้วตอนนี้ฉันก็กลายเป็นคนนำ และฉันก็ไม่รู้เรื่องอะไรเกี่ยวกับการเป็นผู้นำเลยด้วย"""
msc_023020_0280#0,"""ฉันไม่ได้เป็น ARKS ที่ยอดเยี่ยมขนาดนั้นสักหน่อย รู้ไหม?"""
msc_023020_0290#0,"""แต่เธอเป็นนะ"""
msc_023020_0300#0,"""เธอคือเหตุผลที่ทำให้พวกเราสามารถต่อสู้ต่อไปได้นะ"""
msc_023020_0310#0,"""เอ๊ะ? ฉ-ฉันไม่รู้สิ..."""
msc_023020_0320#0,"""จ-จริงเหรอ?"""
msc_023020_0330#0,"""เธอคิดแบบนั้นกับฉันจริงๆ เหรอ?"""
msc_023020_0340#0,"""อืมมม..."""
msc_023020_0350#0,"""...อื้ม เธอพูดถูก"""
msc_023020_0360#0,"""ถ้าทุกคนต่างก็หวังพึ่งฉัน ฉันก็คง<br>ทำให้พวกเขาผิดหวังไม่ได้ใช่ไหมล่ะ?"""
msc_023020_0370#0,"""ฉันจะพยายามเป็นครูฝึกที่ดีให้ได้เลย"""
