name010#0,"""Nazun"""
text010#0,"""最初のクイズは、<br>“YES or NO”クイズでーす！"""
text015#0,"""正しいと思ったら<c 008b00>Ｙの足場<c>に、<br>違うと思ったら<red>Ｎの足場<c>に、移動してください。"""
text020#0,"""それでは、問題です。<br>……じゃん！"""
text030#0,"""正解だと思う足場に向かってください！<br>レッツ、シンキング！"""
text040#0,"""タイムアーップ！"""
text050#0,"""And the answer is...<br><red>NO<c>!"""
text051#0,"""And the answer is...<br><red>YES<c>!"""
text052#0,"""Congratulations!"""
text053#0,"""Bad luck..."""
text060#0,"""続いての問題です。<br>……じゃん！"""
text070#0,"""それでは、最後の問題です。<br>……じゃん！"""
text080#0,"""“YES or NO”クイズは、これで終了です。<br>次のクイズ会場に移動しましょう！"""
Textobj_Yes#0,"""YES"""
Textobj_No#0,"""NO"""
quiz01#0,"""Question:<br><yellow>The West Gate of Central City<br>is guarded by Seyward.<c><br>YES or NO?"""
quiz00_1#0,"""なし"""
quiz01_1#0,"""The West Gate of Central City"""
quiz01_2#0,"""is guarded by Seyward."""
quiz02#0,"""Question:<br><yellow>The Retem City Beauty Salon clerk<br>is named Catalina.<c><br>YES or NO?"""
quiz02_1#0,"""The Retem City Beauty Salon clerk"""
quiz02_2#0,"""is named Catalina."""
quiz03#0,"""Question:<br><yellow>When you set a Subclass, you can<br>use that Class's Photon Arts.<c><br>YES or NO?"""
quiz03_1#0,"""When you set a Subclass, you can"""
quiz03_2#0,"""use that Class's Photon Arts."""
quiz04#0,"""Question:<br><yellow>Jet Boots are Technique Weapons.<br>YES or NO？<c>"""
quiz04_1#0,"""Jet Boots are Technique Weapons."""
quiz05#0,"""Question:<br><yellow>Gunslashes are Striking Weapons.<c><br>YES or NO?"""
quiz05_1#0,"""Gunslashes are Striking Weapons."""
quiz06#0,"""Question:<br><yellow>Takts are Technique Weapons.<c><br>YES or NO?"""
quiz06_1#0,"""Takts are Technique Weapons."""
quiz07#0,"""Question:<br><yellow>PSE Bursts can occur<br>in Exploration Sections.<c><br>YES or NO?"""
quiz07_1#0,"""PSE Bursts can occur"""
quiz07_2#0,"""in Exploration Sections."""
quiz08#0,"""Question:<br><yellow>PSE Bursts can occur<br>in Combat Sections.<c><br>YES or NO?"""
quiz08_1#0,"""PSE Bursts can occur"""
quiz08_2#0,"""in Combat Sections."""
quiz09#0,"""Question:<br><yellow>The leader of the Aelio Region<br>is called Crawford.<c><br>YES or NO?"""
quiz09_1#0,"""The leader of the Aelio Region"""
quiz09_2#0,"""is called Crawford."""
quiz10#0,"""Question:<br><yellow>The Class Skill \""Weak Bullet\""<br>has a duration of 10 seconds.<c><br>YES or NO?"""
quiz10_1#0,"""The Class Skill \""Weak Bullet\"""""
quiz10_2#0,"""has a duration of 10 seconds."""
quiz11#0,"""Question:<br><yellow>Those who fall from outer space in pods<br>are known as \""Starsent\"".<c><br>YES or NO?"""
quiz11_1#0,"""Those who fall from outer space in pods"""
quiz11_2#0,"""are known as \""Starsent\""."""
quiz12#0,"""Question:<br><yellow>The region where Thunderstorms can be observed<br>is Kvaris.<c><br>YES or NO?"""
quiz12_1#0,"""The region where Thunderstorms can be observed"""
quiz12_2#0,"""is Kvaris."""
quiz13#0,"""Question:<br><yellow>Nilus Stia's weakness is<br>the Ice Attribute.<c><br>YES or NO?"""
quiz13_1#0,"""Nilus Stia's weakness is"""
quiz13_2#0,"""the Ice Attribute."""
quiz14#0,"""Question:<br><yellow>Weapons from the Lumeira series<br>are Dark Attribute.<c><br>YES or NO?"""
quiz14_1#0,"""Weapons from the Lumeira series"""
quiz14_2#0,"""are Dark Attribute."""
quiz15#0,"""Question:<br><yellow>The maximum number of people who can join a Team<br>is 120.<c><br>YES or NO?"""
quiz15_1#0,"""The maximum number of people who can join a Team"""
quiz15_2#0,"""is 120."""
quiz16#0,"""Question:<br><yellow>The weapon called Relic Battle Verge<br>is a Rod.<c><br>YES or NO?"""
quiz16_1#0,"""The weapon called Relic Battle Verge"""
quiz16_2#0,"""is a Rod."""
quiz17#0,"""Question:<br><yellow>The weapon type Nadereh uses in battle<br>is Dual Blades.<c><br>YES or NO?"""
quiz17_1#0,"""The weapon type Nadereh uses in battle"""
quiz17_2#0,"""is Dual Blades."""
quiz18#0,"""Question:<br><yellow>Vanford and Crawford<br>have a parent-child relationship.<c><br>YES or NO?"""
quiz18_1#0,"""Vanford and Crawford"""
quiz18_2#0,"""have a parent-child relationship."""
quiz19#0,"""Question:<br><yellow>Bruder's age is 18.<c><br>YES or NO?"""
quiz19_1#0,"""Bruder's age is 18."""
