quiz_00#0,"""なし"""
name010#0,"""Nazun"""
text010#0,"""では、次のクイズに参ります！"""
text020#0,"""題して、“五つ子推理”クイズ！"""
text030#0,"""話をよーく聞いて、判断してくださいね。<br>レッツ、シンキング！"""
text040#0,"""タイムアーップ！"""
text050#0,"""“五つ子推理”クイズは、これで終了です。<br>次のクイズ会場に移動しましょう！"""
quiz_correct#0,"""Congratulations!"""
quiz_incorrect#0,"""Bad luck..."""
quiz01#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>最初に到着した人<c>を、お答えください。"""
quiz01_journal#0,"""ロッジに<yellow>最初に到着<c>した人を答えろ！"""
quiz02#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>２番目に到着した人<c>を、お答えください。"""
quiz02_journal#0,"""ロッジに<yellow>２番目に到着<c>した人を答えろ！"""
quiz03#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>３番目に到着した人<c>を、お答えください。"""
quiz03_journal#0,"""ロッジに<yellow>３番目に到着<c>した人を答えろ！"""
quiz04#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>４番目に到着した人<c>を、お答えください。"""
quiz04_journal#0,"""ロッジに<yellow>４番目に到着<c>した人を答えろ！"""
quiz05#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>最後に到着した人<c>を、お答えください。"""
quiz05_journal#0,"""ロッジに<yellow>最後に到着<c>した人を答えろ！"""
quiz_select1#0,"""Taivas"""
quiz_select2#0,"""Tulli"""
quiz_select3#0,"""Ilma"""
quiz_select4#0,"""Kukka"""
quiz_select5#0,"""Meri"""
quiz_answer1#0,"""And the answer is...<br><red>Taivas<c>!"""
quiz_answer2#0,"""And the answer is...<br><red>Tulli<c>!"""
quiz_answer3#0,"""And the answer is...<br><red>Ilma<c>!"""
quiz_answer4#0,"""And the answer is...<br><red>Kukka<c>!"""
quiz_answer5#0,"""And the answer is...<br><red>Meri<c>!"""
