name010#0,"""Nazun"""
text010#0,"""さぁ！\u3000いよいよ最後のクイズです！"""
text020#0,"""題して、“ここはどこでしょう？”クイズ！"""
text021#0,"""今から表示される画像を見て、どこに設置されている<br>リューカーデバイスかを当ててください。"""
text030#0,"""周囲の景色から、ヒントを見つけてくださいね。<br>レッツ、シンキング！"""
text040#0,"""タイムアーップ！"""
text080#0,"""これで、すべてのクイズが終了です。"""
text081#0,"""……と、ちょっと待ってください？"""
text082#0,"""おおっと！<br>またしても、エネミーが会場に乱入!?"""
quiz00_01#0,"""なし"""
quiz_correct#0,"""Congratulations!"""
quiz_incorrect#0,"""Bad luck..."""
quiz01#0,"""ここはどこでしょう？"""
quize01_select1#0,"""Craiano Cliffs"""
quize01_select2#0,"""Lakau Coast"""
quize01_select3#0,"""Halphana Plains: East"""
quize01_select4#0,"""Halphana Plains: North"""
quize02_select1#0,"""Halphana Plains: East"""
quize02_select2#0,"""Halphana Plains: North"""
quize02_select3#0,"""Mt. Magnus: West"""
quize02_select4#0,"""Barflow Waterfall: West"""
quize03_select1#0,"""Mt. Magnus: West"""
quize03_select2#0,"""Barflow Waterfall"""
quize03_select3#0,"""Lakau Coast"""
quize03_select4#0,"""Kanai Island"""
quize04_select1#0,"""Mt. Ihana: West"""
quize04_select2#0,"""Danan Snowfield: West"""
quize04_select3#0,"""Bergana Ruins: North"""
quize04_select4#0,"""Mt. Latva: North"""
quize05_select1#0,"""Danan Snowfield: West"""
quize05_select2#0,"""Mistra Forest: North"""
quize05_select3#0,"""Quill Mountain Pass"""
quize05_select4#0,"""Mt. Ihana: East"""
quize01_answer#0,"""And the answer is...<br><red>Craiano Cliffs<c>!"""
quize02_answer#0,"""And the answer is...<br><red>Halphana Plains: East<c>!"""
quize03_answer#0,"""And the answer is...<br><red>Mt. Magnus: West<c>!"""
quize04_answer#0,"""And the answer is...<br><red>Mt. Ihana: West<c>!"""
quize05_answer#0,"""And the answer is...<br><red>Danan Snowfield: West<c>!"""
quize06_select1#0,"""Mt. Magnus: East"""
quize06_select2#0,"""Mt. Magnus: West"""
quize06_select3#0,"""Barflow Waterfall: West"""
quize06_select4#0,"""Mt. Picott"""
quize06_answer#0,"""And the answer is...<br><red>Mt. Magnus: East<c>!"""
quize07_select1#0,"""Lakau Coast"""
quize07_select2#0,"""Craiano Cliffs"""
quize07_select3#0,"""Aelio Town Ruins"""
quize07_select4#0,"""Kanai Island"""
quize07_answer#0,"""And the answer is...<br><red>Lakau Coast<c>!"""
quize08_select1#0,"""Bergana Ruins: South"""
quize08_select2#0,"""Bergana Ruins: North"""
quize08_select3#0,"""Mistra Forest: South"""
quize08_select4#0,"""Danan Snowfield"""
quize08_answer#0,"""And the answer is...<br><red>Bergana Ruins: South<c>!"""
quize09_select1#0,"""Mistra Forest: South"""
quize09_select2#0,"""Bergana Ruins: North"""
quize09_select3#0,"""Bergana Ruins: South"""
quize09_select4#0,"""Danan Snowfield"""
quize09_answer#0,"""And the answer is...<br><red>Mistra Forest: South<c>!"""
quize10_select1#0,"""Mt. Latva: North"""
quize10_select2#0,"""Danan Snowfield: West"""
quize10_select3#0,"""Bergana Ruins: North"""
quize10_select4#0,"""Mt. Ihana: West"""
quize10_answer#0,"""And the answer is...<br><red>Mt. Latva: North<c>!"""
quize11_select1#0,"""Steckin Lowlands"""
quize11_select2#0,"""Morava Canyon"""
quize11_select3#0,"""Sagaan Mountain Pass: West"""
quize11_select4#0,"""Sagaan Mountain Pass: East"""
quize11_answer#0,"""And the answer is...<br><red>Steckin Lowlands<c>!"""
quize12_select1#0,"""Sagaan Mountain Pass: East"""
quize12_select2#0,"""Morava Canyon"""
quize12_select3#0,"""Sagaan Mountain Pass: West"""
quize12_select4#0,"""Steckin Lowlands"""
quize12_answer#0,"""And the answer is...<br><red>Sagaan Mountain Pass: East<c>!"""
quize13_select1#0,"""Al-demmond Desert"""
quize13_select2#0,"""Trinitas"""
quize13_select3#0,"""Daalsmarb Desert"""
quize13_select4#0,"""Garneru Coast: East"""
quize13_answer#0,"""And the answer is...<br><red>Al-demmond Desert<c>!"""
quize14_select1#0,"""Daalsmarb Desert"""
quize14_select2#0,"""Trinitas"""
quize14_select3#0,"""Al-demmond Desert"""
quize14_select4#0,"""Garneru Coast: East"""
quize14_answer#0,"""And the answer is...<br><red>Daalsmarb Desert<c>!"""
quize15_select1#0,"""Garneru Coast: West"""
quize15_select2#0,"""Steckin Lowlands"""
quize15_select3#0,"""Al-demmond Desert"""
quize15_select4#0,"""Garneru Coast: East"""
quize15_answer#0,"""And the answer is...<br><red>Garneru Coast: West<c>!"""
quize16_select1#0,"""Altera Base"""
quize16_select2#0,"""Felusa Ridge: No. 2"""
quize16_select3#0,"""Dext Base: No. 1"""
quize16_select4#0,"""Dext Base: No. 2"""
quize16_answer#0,"""And the answer is...<br><red>Altera Base<c>!"""
quize17_select1#0,"""Dext Base: No. 1"""
quize17_select2#0,"""Felusa Ridge: No. 2"""
quize17_select3#0,"""Altera Base"""
quize17_select4#0,"""Dext Base: No. 2"""
quize17_answer#0,"""And the answer is...<br><red>Dext Base: No. 1<c>!"""
quize18_select1#0,"""Dreisen Plant: No. 2"""
quize18_select2#0,"""Dreisen Plant: No. 1"""
quize18_select3#0,"""Felusa Ridge: No. 1"""
quize18_select4#0,"""Neusen Plant"""
quize18_answer#0,"""And the answer is...<br><red>Dreisen Plant: No. 2<c>!"""
quize19_select1#0,"""Felusa Ridge: No. 1"""
quize19_select2#0,"""Dreisen Plant: No. 1"""
quize19_select3#0,"""Felusa Ridge: No. 2"""
quize19_select4#0,"""Neusen Plant"""
quize19_answer#0,"""And the answer is...<br><red>Felusa Ridge: No. 1<c>!"""
quize20_select1#0,"""Felusa Ridge: No. 2"""
quize20_select2#0,"""Dreisen Plant: No. 1"""
quize20_select3#0,"""Felusa Ridge: No. 1"""
quize20_select4#0,"""Neusen Plant"""
quize20_answer#0,"""And the answer is...<br><red>Felusa Ridge: No. 2<c>!"""
