Title#0,"""決断の日"""
Explanation#0,"""\""Naberius. Where we promised. I'll be waiting.\""<br>Words spoken by 【Persona】.<br>That makes your next destination obvious.<br>Ten years ago, a single promise was made<br>on Naberius. A promise with her.<br><br>A promise that only two people should know.<br>All will be revealed at the fated reunion.<br>――――――――――――――――――――<br>Fracaso: Retirarse después de ser incapacitado"""
SimpleExplanation#0,"""？？？"""
Area0S#0,"""Área bosque"""
Area0L#0,"""Naberius: Área bosque"""
Area1S#0,"""Área corrupta: Ruinas"""
Area1L#0,"""Naberius: Ruinas corruptas"""
Area2S#0,"""Área corrupta: Bosque 1"""
Area2L#0,"""Naberius: Bosque Corrupto 1"""
Area3S#0,"""Área corrupta: Bosque 2"""
Area3L#0,"""Naberius: Bosque Corrupto 2"""
Area4S#0,"""Área corrupta: Bosque 3"""
Area4L#0,"""Naberius: Bosque Corrupto 3"""
Area5S#0,"""Área corrupta: Ruinas"""
Area5L#0,"""Naberius: Ruinas corruptas"""
