Title#0,"""あなたが生まれたその理由"""
Explanation#0,"""This is where the past, present and future<br>meet. An ending for one who pursues a<br>never-ending story with but a single<br>goal in their heart. Everyone must fight<br>to bring an end to this eternal tragedy,<br>but two people must give all.<br>There is but one goal. To give meaning to<br>her life. To answer the original prayer.<br>――――――――――――――――――――<br>Fracaso: Retirarse después de ser incapacitado"""
SimpleExplanation#0,"""？？？"""
Area0S#0,"""Área bosque"""
Area0L#0,"""Naberius: Área bosque"""
Area1S#0,"""Área corrupta: Ruinas"""
Area1L#0,"""Naberius: Ruinas corruptas"""
Area2S#0,"""Área corrupta: Bosque 1"""
Area2L#0,"""Naberius: Bosque Corrupto 1"""
Area3S#0,"""Área corrupta: Bosque 2"""
Area3L#0,"""Naberius: Bosque Corrupto 2"""
Area4S#0,"""Área corrupta: Bosque 3"""
Area4L#0,"""Naberius: Bosque Corrupto 3"""
Area5S#0,"""Área corrupta: Ruinas"""
Area5L#0,"""Naberius: Ruinas corruptas"""
