Title#0,"""Determinacion"""
Explanation#0,"""マザー・クラスタに攫われた<br>ヒツギを救出するため<br><%me>とエンガは<br>マザー・クラスタの本拠地がある<br>月へと向かう。<br>いかなる敵が待ち受けているか<br>不明だとしても。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択<br>"""
StoryExplanation#0,"""マザー・クラスタに攫われたヒツギを救出するため<br><%me>とエンガは<br>マザー・クラスタの本拠地がある月へと向かう。<br>いかなる敵が待ち受けているか、不明だとしても。"""
SimpleExplanation#0,"""？？？"""
QuestInfoPlanetName#0,"""Satelite: Luna"""
Area0S#0,"""Instalaciones Abandonadas """
Area0L#0,"""Satelite: Instalaciones Lunares Abandonadas"""
Area1S#0,"""Instalaciones Abandonadas """
Area1L#0,"""Satelite: Instalaciones Lunares Abandonadas"""
Area2S#0,"""Instalaciones Abandonadas """
Area2L#0,"""Satelite: Instalaciones Lunares Abandonadas"""
Area3S#0,"""Instalaciones Abandonadas """
Area3L#0,"""Satelite: Instalaciones Lunares Abandonadas"""
Area4S#0,"""Área comercial"""
Area4L#0,"""アークスシップ\u3000ショップエリア"""
a1#0,"""Completar cierta orden de cliente."""
a2#0,"""Completar cierta orden de cliente."""
a3#0,"""Posesión de la licencia Super Difícil."""
a4#0,"""Posesión de la licencia Super Difícil."""
