msc_023080_0010#0,"""อ้า <%me>"""
msc_023080_0020#0,"""...ไม่ต้องบอกก็รู้ เรื่องไอน่าใช่ไหมล่ะ?"""
msc_023080_0030#0,"""เธอเป็นยังไงบ้างล่ะ?"""
msc_023080_0040#0,"""แค่รู้สึกเป็นห่วงเธอน่ะ"""
msc_023080_0050#0,"""ดูเหมือนว่าจะเป็นคนขี้กังวลพอๆ กับเธอเลยนะเนี่ย"""
msc_023080_0060#0,"""...แต่ก็ใช่ว่าจะพูดเรื่องนี้ได้เต็มปากหรอกนะ"""
msc_023080_0070#0,"""ให้ตายสิ เป็นคนขี้กังวลเหมือนกันสินะเนี่ย?"""
msc_023080_0080#0,"""เข้าใจความรู้สึกนะ"""
msc_023080_0090#0,"""สบายใจได้แล้วล่ะ เธอทำได้ดีเลยนะ"""
msc_023080_0100#0,"""ถึงจะยังมีติดขัดอยู่บ้าง แต่ทุกคนตอนเริ่มต้นก็เป็นแบบนี้กันทั้งนั้นแหละ"""
msc_023080_0110#0,"""ตอนแรก เธอทำท่าทางสับสนแม้กระทั่งกับเรื่องการสอนเลยล่ะ..."""
msc_023080_0120#0,"""แต่ตอนนี้ เธอเริ่มจะเรียนรู้เกี่ยวกับผู้เข้ารับการฝึก และสอน<br>พวกเขาตามจุดแข็งและจุดอ่อนของแต่ละคนแล้วล่ะ"""
msc_023080_0130#0,"""พูดตามตรง เธอมีความก้าวหน้าที่น่าทึ่งมากเลยล่ะ"""
msc_023080_0140#0,"""เดาว่าเธอคงได้รับคำแนะนำดีๆ มาจากใครสักคนแน่ๆ"""
msc_023080_0150#0,"""ความจริงแล้ว..."""
msc_023080_0160#0,"""อ้อ ไม่ได้มาจากฉันหรอกนะ"""
msc_023080_0170#0,"""...เข้าใจล่ะ เมรี่ (Meri) เป็นคนเล่าเรื่องที่ไรซัส (Rysas) เคยทำไว้ให้เธอฟังสินะ?"""
msc_023080_0180#0,"""ความสามารถในการนำความรู้มาประยุกต์ใช้ได้ใน<br>ทันทีนั่นแหละ คือหนึ่งในพรสวรรค์ที่แข็งแกร่งที่สุดของเธอเลยล่ะ"""
msc_023080_0190#0,"""การที่เธอเรียนรู้วิธีการต่อสู้จากการ<br>คอยตามเธอและมาน่อนไปก็เป็นเครื่องพิสูจน์เรื่องนั้นได้ดีล่ะนะ"""
msc_023080_0200#0,"""ตั้งใจว่าจะเข้าไปช่วยถ้าสถานการณ์ไม่ดีขึ้น แต่ดูเหมือนจะไม่จำเป็นแล้วล่ะ"""
msc_023080_0210#0,"""จะคอยดูต่อไปก็แล้วกันว่าหลังจากนี้จะเป็นยังไง"""
msc_023080_0220#0,"""แวะไปดูเธอเป็นระยะๆ ด้วยล่ะ เข้าใจไหม?"""
