st_058170_0010#0,"""¡Hemos terminadooooooooooo!"""
st_058170_0020#0,"""Finalmente se acabó"""
st_058170_0030#0,"""¿Qué, ya termino? Esperaba que Labrys y yo pudiéramos golpear algunas cabezas más que eso."""
st_058170_0040#0,"""Ahaha, esa es nuestra Ria-chan, ¡No la detienes una vez que se enoja! Siento que quiero dormir por un año!"""
st_058170_0050#0,"""Nuestro trabajo aquí está hecho. Deberíamos ir a informarles, Maria."""
st_058170_0060#0,"""Ah....."""
st_058170_0070#0,"""Gracias Reg-kun"""
st_058170_0080#0,"""Ups, mi mano se resbaló!"""
st_058170_0090#0,"""¿Para qué fue eso, maria?"""
st_058170_0100#0,"""Honestamente, eres un viejo irritante. ¿Seguro que ya has crecido fuera de tu fase tímida?"""
st_058170_0110#0,"""¿No me digas que necesitas poder verla para hablar con ella? Pensé que tú y Alma estaban mucho más cerca que eso."""
st_058170_0120#0,"""Ahhh. Todavía necesito quemar un poco de vapor, así que supongo que tendré que entrenar a Sara un poco más..."""
st_058170_0130#0,""" Reg-kun"""
st_058170_0140#0,""" Me temo que haya interpretado erróneamente por completo, Maria."""
st_058170_0150#0,""" Ella y yo estamos demasiado cerca para que las palabras sean necesarias. ¿No es así, Alma?"""
st_058170_0160#0,"""Heheh, ¿Piensa? Creo que el corazón de una mujer es un poco más complejo de lo que le das crédito, mi querido Regius..."""
skit01#0,"""El Salvador"""
skit02#0,"""Así, el salvador se reúne aquí"""
name01#0,"""？？？"""
name02#0,"""？？？"""
