st_058100_0001#0,"""A.P.242/1/10/12:00"""
st_058100_0010#0,"""¡Darkers!... Han venido a buscarme. Eh?..."""
st_058100_0020#0,"""Pero si me persiguen, eso significa que realmente debo ser una espina en su costado, ¿No es así?... Así que de ninguna manera voy a dejar caer esta barrera!"""
st_058100_0030#0,"""¿Ah?"""
st_058100_0040#0,"""¡Agghh!"""
st_058100_0050#0,"""Ghh... No me rendire tan fácil!... ¡Se está poniendo peor para nosotros!..."""
st_058100_0060#0,"""¡Cómo demonios voy a dejar que esto me detenga!"""
st_058100_0070#0,"""He... Tan único como morir dos veces, no tengo prisa por hacerlo... Pero... ¡No me puedo rendir ahora!"""
st_058100_0080#0,"""！？"""
st_058100_0090#0,"""¿Qué?<br>Son ustedes dos"""
st_058100_0100#0,"""Honestamente, podría habernos llamado antes, ¿No? Creo que estábamos un segundo lejos del desastre"""
st_058100_0110#0,"""Ria-chan"""
st_058100_0120#0,"""Pero esta vez lo logramos a tiempo. Por lo tanto, nuestro objetivo es claro: mantener este lugar, sin importar el costo."""
st_058100_0130#0,"""Reg-kun"""
st_058100_0140#0,"""No voy a perder el tiempo haciendo preguntas tontas. Solo quiero saber una cosa. Todavía estás encima de tu juego, ¿Verdad, Alma?"""
st_058100_0150#0,"""Naturalmente, ¡Ri-chan!"""
st_058100_0160#0,"""Puede que no podamos verte, pero...<br>Puedo decir que estás ahí, ¿Verdad, Alma?"""
st_058100_0170#0,"""Lo que significa que todo lo que me queda por hacer... ¡Es empuñar mi espada en tu defensa!"""
st_058100_0180#0,"""Gracias Gi-kun"""
st_058100_0190#0,"""Muy bien entonces, ¡Ustedes dos!, ¡Es hora de que les demos otra idea de lo que le dimos al élder hace cuarenta años!"""
st_058100_0200#0,"""¡Destrullelos, Nether axe Labrys!"""
st_058100_0210#0,"""Empecemos, World Builder"""
st_058100_0220#0,"""¡Escucha nuestra llamada ¡Ivory Staff Clarissa!, ¡Haz realidad nuestro deseo!"""
st_058100_0230#0,"""¡Haaaaaaaaaaaaaaaaaah!"""
st_058100_0240#0,"""¡Haaaaaaaaaaaaaaaaaah!"""
st_058100_0250#0,"""¡Haaaaaaaaaaaaaaaaaah!"""
name01#0,"""？？？"""
name02#0,"""？？？"""
