st_058050_0001#0,"""A.P.242/1/10/11:00"""
st_058050_0010#0,"""El agujero negro se está expandiendo cada vez más rápido... Incluso una congelación total del tiempo solo lo mantuvo pulsado temporalmente. Simplemente no están jugando limpio."""
st_058050_0020#0,"""¿Qué vamos a hacer, Xiao? Tal vez hay algo más que podríamos hacer para ayudar?"""
st_058050_0030#0,"""No, sigue haciendo lo que estás haciendo. Sin que eso lo retenga, va a crecer incluso más rápido de lo que es ahora."""
st_058050_0040#0,"""Xiao. Es una suposición mia, pero, es seguro de que está creciendo más al consumir los photons a su alrededor, ¿Verdad?"""
st_058050_0050#0,"""Ciertamente parece así, pero... ¿Qué estás pensando hacer, Alma?"""
st_058050_0060#0,"""¿Alma?"""
st_058050_0070#0,"""Segunda, si suelto esto, tendrás que mantener todo esto unido. ¿Puedes controlarlo, verdad?"""
st_058050_0080#0,"""¿Que?"""
st_058050_0090#0,"""No te preocupes, todo lo complicado está hecho. Ahora solo está corriendo, solo tienes que aguantarlo con todas tus fuerzas."""
st_058050_0100#0,"""Voy a... Voy a hacer algo que solo yo puedo hacer."""
st_058050_0110#0,"""¡Alma!"""
st_058050_0120#0,"""¡Matoi!, ¡Sólo sigue con eso!, ¡Estoy seguro de que Alma tiene un plan!..."""
st_058050_0130#0,"""¡Pero ella está haciendo todo por su cuenta!, haciendo quien sabe que..."""
st_058050_0140#0,"""Lo sé, Lo sé, no la dejaré hacer todo eso sola."""
st_058050_0150#0,"""...<%me>.<br>Todos están haciendo lo mejor posible, dándolo todo para hacer lo que puedan para ayudar."""
st_058050_0160#0,"""Haré lo que pueda para protegerte... ¡Para ayudar a proteger a todos!, ¡Así que no te rindas!"""
name01#0,"""？？？"""
name02#0,"""？？？"""
