st_058010_0010#0,"""¿Qué demonios es esa cosa?.."""
st_058010_0020#0,"""Seguro que eso es evidente. Es un capullo, por supuesto.<br>Un capullo para contener, nutrir y dar a luz la profundidad primordial... En sí misma."""
st_058010_0030#0,"""¡Tu eres... Elmir!"""
st_058010_0040#0,"""Ha pasado un tiempo, ¿No es así? Desde... ¿Epic, creo? Pero pensé que vendría a presentar y ofrecer mis agradecimientos; Querido, predecesor."""
st_058010_0050#0,"""¿Presentar?..."""
st_058010_0060#0,"""¿Que pretendes?"""
st_058010_0070#0,"""¡No puedo aburrirme, superior!"""
st_058010_0080#0,"""Bien entonces, déjame darte una pequeña pista especial para que me ayudes a calentarte."""
st_058010_0090#0,"""¿Qué tengo aquí?"""
st_058010_0100#0,"""Ja ja ja, ooooh, ¡Asustadizo! Ven ahora, ¡No seas tan cruel, esto es tuyo después de todo! Oh; Cierto, le pertenece al tu del futuro, ¿No es así?"""
st_058010_0110#0,"""¡Tu eres!"""
st_058010_0120#0,"""¡Dark Falz!"""
st_058010_0130#0,"""¡Tu lo sabes! Soy Dark Falz Persona.<br>He heredado la máscara... Y el nombre."""
st_058010_0140#0,"""¡Profound Darkness, fusionada en el Registro Akáshico!"""
st_058010_0150#0,"""Y toda la oscuridad que se derramó de ella vino a descansar en Elmir, lo que llevó a la creación>br<de... Yo."""
st_058010_0160#0,"""¿Entiendes? Nací en este mundo junto a Ephimera..."""
st_058010_0170#0,"""Pero estaba en un lío, ya ves. Los factores de todos los Dark Falz se habían dispersado por todas partes."""
st_058010_0180#0,"""Incapaz de convertirme en Profound Darkness, estaba atascado, incompleto, como un simple Dark Falz... Y allí estaba yo, lamiéndome las heridas, cuando llegaste."""
st_058010_0190#0,"""¡Realmente no puedo agradecerte lo suficiente! Gracias a que derribaste a todos los Dark Falz, sus factores regresaron a donde pertenecen,<br>a mí."""
st_058010_0200#0,"""¿Los factores volvieron a ti?..."""
st_058010_0210#0,"""Oh, vamos, ¿No me digas que no te diste cuenta?"""
st_058010_0220#0,"""Tus habilidades pueden ser bastante absurdas, pero ¿Ser capaz de usar los poderes de un Dark Falz literalmente? Oh no no, simplemente imposible."""
st_058010_0230#0,"""Pero tuve sus factores todo el tiempo, solo tienes los restos a los que se aferraron. Es por eso que tu cuerpo puede manejarlo!"""
st_058010_0240#0,"""¿Pero cómo?... ¿Cómo te las arreglaste para conseguir sus factores?"""
st_058010_0250#0,"""Teniendo en cuenta que el Registro Akáshico era omnisciente; Pensarías que su nieto sería más inteligente que un saco de ladrillos."""
st_058010_0260#0,"""Profound Darkness se infunde en este mundo que hizo el Registro Akáshico. Solo hay un lugar al que los factores volverían."""
st_058010_0270#0,"""¡Lo tienes!, ¡Este mundo en si es Profound Darkness! Y yo nací... De eso."""
st_058010_0280#0,"""Pero dicho eso, hemos tenido nuestra parte de giros y vueltas. Realmente nunca tuve la intención de ser, bueno, esto. No tenía la intención de hacer que mi presencia fuera conocida."""
st_058010_0290#0,"""Estaba feliz de quedarme dormido, esperando mi momento, esperando mi momento sin que nadie supiera que estaba allí."""
st_058010_0300#0,"""Pero... ¡Siempre tiene que haber un pero! Luther, como lo hace cada vez que tiene la audacia de existir, ¡Solo tenía que ir y arruinarlo todo!"""
st_058010_0310#0,"""No sé cómo lo hizo. magia, supongo, pero, logró no solo acceder a mí, sino llamarme."""
st_058010_0315#0,"""Y así, todos mis planes, a fuera de la... ventana."""
st_058010_0320#0,"""Y luego, entonces, tuvo que ir a robar mi vasija. Y eso... Eso fue simplemente la última gota."""
st_058010_0330#0,"""Así que hice que la gente peleara entre ellos en el estilo más grandioso, para poder recuperar mi vasija y mis factores."""
st_058010_0340#0,"""Ah, sí, y hablando de mi vasija. Debo agradecerte por eso, mi predecesor más querido Gracias por mantenerlo seguro para mí todo este tiempo."""
st_058010_0350#0,"""No solo me las arreglé para obtener más que suficiente poder, sino que ahora, ¡Puedo renacer en mi estado verdadero y completo!"""
st_058010_0360#0,"""¿Tu vasija?"""
st_058010_0370#0,"""¿De qué estás hablando?"""
st_058010_0380#0,"""Ah, sí, sí, mi vasija tenía un nombre, ahora, ¿No?, ¿Cómo se llamaba?..."""
st_058010_0390#0,"""Ohhhhh, lo recuerdo. Harriet, ¿Verdad?"""
st_058010_0400#0,"""¿Qué le has hecho a Harriet?"""
st_058010_0410#0,"""...No puede ser."""
st_058010_0420#0,"""Ella está dentro del capullo..."""
st_058010_0430#0,"""Felicitaciones, mi predecesor, ¡Lo tienes! y apuesto a que sabes exactamente lo que es eso también, ¿No?"""
st_058010_0440#0,"""Ya ves, sólo puedo existir aquí. No puedo estar en ningún otro lugar."""
st_058010_0450#0,"""Así que la respuesta es simplé. Tengo que absorber todo lo demás en ese lugar."""
st_058010_0460#0,"""Pero para eso estamos los Dark Falz. ¿Cierto, mi querido predecesor?"""
st_058010_0470#0,"""¡Entonces solo te detendré ahora!"""
st_058010_0480#0,"""¡No te saldrás con la tuya!"""
st_058010_0490#0,"""¡Espera!, No nos anticipemos,<br>usted sabe, ya es demasiado tarde."""
st_058010_0500#0,"""Adiós, entonces, mi querido predecesor!, ¡He disfrutado mucho en tu heroica epopeya la historia de cómo fuiste y causaste la destrucción del mundo!"""
st_058010_0505#0,"""Hehehehahahaha, ¡Hahahahahahaha!"""
st_058010_0510#0,"""Lo siento ustedes dos, tenemos una emergencia en nuestras manos.<br>Tendré que sacarlos, los necesitamos aquí ahora."""
name01#0,"""？？？"""
name02#0,"""？？？"""
