st_058160_0010#0,"""Imposible... He sido... ¿Derrotado?..."""
st_058160_0020#0,"""Asi es. El Guardian te ha superado."""
st_058160_0030#0,"""Ephimera se ha purificado... Entonces, ¿Cómo?... ¿Cómo estás todavía aquí?, ¿Por qué no te desvaneces, Harriet?"""
st_058160_0040#0,"""Es nuestra voluntad la que define el mundo. Elegí vivir... Y aquí estoy."""
st_058160_0050#0,"""¡Pero todo es inútil, inútil!, ¡Este mundo es un lazo sin fin, después de todo!"""
st_058160_0060#0,"""Puedes ganarme ahora, pero volveré, tan a menudo como haya suficientes factores para que me dure una eternidad."""
st_058160_0070#0,"""Heheh, heheheh, ¡Hahahahahaha! Sí, ¡Así es como debía ir la historia! La historia estaba destinada a acabar..."""
st_058160_0080#0,"""Habrías estado mucho mejor si hubieras sido aniquilado ahora, ¿Te das cuenta?"""
st_058160_0090#0,"""¿Qué estas diciendo?..."""
st_058160_0100#0,"""No creas que la esperanza es todo lo que te espera en tu futuro. No creas que el amanecer te traerá luz. ¡La desesperación camina a tu lado!"""
st_058160_0110#0,"""¡Sufrir, una y otra vez!, ¡Deja que el rencor del mundo se hunda en tu carne y perezca,<br>¡Retuercete en la angustia y la desesperación!"""
st_058160_0120#0,"""Hahahahahaha, hahahahahaha"""
st_058160_0130#0,"""Parecía bastante desesperado, al final... ¿Crees que solo estaba siendo un mal perdedor?"""
st_058160_0140#0,"""Pero lo más importante, ¿Estás bien, Harriet?"""
st_058160_0150#0,"""No estoy segura de qué bien se siente como en esta situación, pero... Mi corazón está aquí y está presente por lo menos."""
st_058160_0160#0,"""Y eso es gracias a ti, Guardián."""
st_058160_0170#0,"""Sin embargo, me doy cuenta de que he causado un gran daño no solo a mis amigos, sino al mundo en general..."""
st_058160_0180#0,"""Por lo tanto, me pregunto si mi vida está realmente en..."""
st_058160_0190#0,"""¡Harrieeeeet!, ¡Oh, gracias a Dios que estás a salvo, estás a<br>salvo, estás a salvo! Estoy tan... ¡Estoy tan Feliz!"""
st_058160_0200#0,"""¿Margareta?"""
st_058160_0210#0,"""Parece que has pasado por mucho, Reina Harriet. Pero por ahora, regocijémonos en nuestra reencuentro."""
st_058160_0220#0,"""Y la señorita Alisa, también"""
st_058160_0230#0,"""Hmm ¿Qué pasa con esa cara tan larga?, ¿No estás... Contenta? ¡Estás viva, Harriet!"""
st_058160_0240#0,"""Estoy... Viva... Ah, pero cuando pienso en lo que les hice pasar..."""
st_058160_0250#0,"""¡Idiota! ¿Qué demonios estás dejando que te moleste? ¡Ser una molestia, es para lo que es la realeza!"""
st_058160_0260#0,"""Y además, todo lo que sucedió fue culpa de Elmir, ¡No la tuya!, ¡No tienes por qué culparte!"""
st_058160_0270#0,"""¡Si estás buscando una molestia, mira a nuestra Diosa!, ¡Es escamosa, poco confiable y tiene un genio de lo peor!, ¡Eso sí que es un dolor en el trasero!"""
st_058160_0280#0,"""Dilo otravez, reina idiota.<br>Parece que quieres ser castigada aun mas."""
st_058160_0290#0,"""Oh, Dios mío, yo, uh... Era solo una forma de hablar, no quise decir eso, ya sabes... Mira, tengo razón, ¿Verdad?"""
st_058160_0300#0,"""Ah, demonios, los dioses están destinados a ser graciosos, ¿No es así? Te guardaré la herida para otro día."""
st_058160_0310#0,"""¿Todavía me vas a castigar?"""
st_058160_0320#0,"""Oye, nena, entiendes lo que te ha pasado, ¿Verdad? Te vas a desvanecer rápido así."""
st_058160_0330#0,"""Tu cuerpo de recipiente se ha ido. Todo lo que queda de ti ahora es lo que queda de tu alma."""
st_058160_0340#0,"""Ahora ese residuo es claro, pero sin el recipiente el alma tampoco puede mantener una forma."""
st_058160_0350#0,"""Soy consciente, sí. Pero, para empezar, el hecho de que tenga un corazón es como un milagro."""
st_058160_0360#0,"""Y en mis últimos momentos, me encontré con todos de nuevo. Si mi memoria termina aquí, entonces no me arrepiento. Desde lo más profundo de mi corazón."""
st_058160_0370#0,"""¿Cómo puedes ser tan desconsiderada? Pasamos por mucho, he llegado a pensar en ti como una verdadera amiga... ¡Esto no puede ser un adiós, simplemente no puede!"""
st_058160_0380#0,"""Eres Dios, eres Dios, ¿Verdad? Entonces, ¡Haz algo y ayúdala!"""
st_058160_0390#0,"""Realmente te gusta hacerme demandas, ¿No?, ¿Pero sabes qué? Me encanta esa actitud tuya."""
st_058160_0400#0,"""Harriet, la historia dice que tu alma está destinada a sobrevivir a esto."""
st_058160_0410#0,"""Así que quiero que tomes mi lugar. Sé mi sucesora... Y conviértete en el Dios que apoya este mundo."""
st_058160_0420#0,"""Haz eso, y felizmente te dare un nuevo cuerpo."""
st_058160_0430#0,"""Soy buena en ese tipo de cosas, ya lo he hecho antes."""
st_058160_0440#0,"""¡Atchu!"""
st_058160_0450#0,"""Pero entonces, desaparecerías, ¿No?... Epic perdería el poder de su Dios, y con ello..."""
st_058160_0460#0,"""¿Te preocupa que perdamos el poder de nuestro Dios? ¡El mundo te necesita mucho más de lo que necesita esa cosa, Harriet!"""
st_058160_0470#0,"""¡Hahaha! Aww hombre, mi poder divino no es nada 'pero' esa basura de ahora, ¿Eh, reina idiota?"""
st_058160_0480#0,"""Pero, ¡Me encanta la forma en que tiras tu precaución a la nada! Me recuerda a alguien a quien quiero mucho, déjame decirte."""
st_058160_0490#0,"""¡Atchu!<br>¡Atchu!"""
st_058160_0500#0,"""No soy nada más que un fantasma ahora, de todos modos. Algo que nunca quiso ser. No hay nada de lo que debas estresarte."""
st_058160_0510#0,"""Si voy a desaparecer, lo haré por alguien más. Considérelo como un último regalo de un Dios caprichoso."""
st_058160_0520#0,"""Tu salvaste a Margareta por mí."""
st_058160_0530#0,"""Y tu ya salvaste a Alma, ¿Verdad?"""
st_058160_0540#0,"""Así que tú y yo estamos a mano, ¿Entiendes?"""
st_058160_0550#0,"""Si... Tienes mi mayor agradecimiento"""
st_058160_0560#0,"""De acuerdo, soy un poco lenta en la aceptación de las cosas, pero... ¿Significa esto que ahora eres nuestra Diosa, Harriet?"""
st_058160_0570#0,"""Lo que significaría que... Epic y Cuent se unificarían ahora, ¿Verdad?"""
