st_058120_0010#0,"""¡Harriet! ¿Qué hiciste?"""
st_058120_0020#0,"""El mundo simplemente respondió a los deseos de su gente. Llamó a Dios, despertó a los salvadores dormidos. Y todo fue porque la gente que vive aquí lo deseaba."""
st_058120_0030#0,"""¿Los deseos de su gente?, ¿Crees que estos humanos codiciosos y engañosos desearon esto?"""
st_058120_0040#0,"""No toda la humanidad es como usted dice. Eso lo aprendí de mi padre, mi hermano... Y, por supuesto, el Guardián."""
st_058120_0050#0,"""Enfrenta los hechos, Elmir. Los humanos no se hundirán en la desesperación tan fácilmente como piensas. ¿No te he enseñado eso?"""
st_058120_0060#0,"""¿Crees que eres humano? Eres solo mi vasija, nada más!"""
st_058120_0070#0,"""Soy humano. Soy Harriet."""
st_058120_0080#0,"""Mientras mi gente crea que es así... Y porque el Guardian cree que es así... ¡Nunca renunciaré a ser humano!"""
st_058120_0090#0,"""Kghh... Eres tú quien les da toda esta esperanza, ¿No es así, Guardian?"""
st_058120_0100#0,"""¡<%me> hay lecturas de alta energía por delante!"""
st_058120_0110#0,"""La gama completa de Dark Falzs... ¡No es esta una fiesta de bienvenida!, ¡Estamos muy cerca del capullo!"""
st_058120_0120#0,"""Jah ¡No me digas tus piernas estan temblando por eso!"""
st_058120_0130#0,"""Mmm Llegando a observarlos de cerca así. Debo decir que son bastante... Desagradables, ¿No?"""
st_058120_0140#0,"""Desearía poder hacerme creer que nunca me convertí en esa... Cosa. ¡Sólo estoy deseando sacarla de mi cabeza!"""
st_058120_0150#0,"""Solo quieres alguien con quien jugar, ¿No? Pues bien, ¡Jugaré contigo un montón!"""
st_058120_0160#0,"""Jugaremos contigo todo lo que quieras, ¡Y luego seguiremos jugando hasta que te rompas!"""
st_058120_0170#0,"""¿Me van a ayudar?"""
st_058120_0180#0,"""¿Puedo dejártelos a ustedes?"""
st_058120_0190#0,"""Me hacen querer apagar sus luces, ¡Así que eso es lo que voy a hacer!, ¡No te hagas ninguna idea!"""
st_058120_0200#0,"""Puedes interpretar mi ayuda como quieras. Pero déjame ser claro: si no salvas a Harriet, nuestra pequeña alianza llegara a su fin."""
st_058120_0210#0,"""Sin embargo, aplastar los esquemas de un mocoso arrogante que piensa que el mundo siempre va a ir a su manera suena divertido, ¿No?"""
st_058120_0220#0,"""¡Sufrirá las consecuencias por usarnos para sus propios fines!"""
st_058120_0230#0,"""¡Sí, eso no es justo!, ¡Tiene que pagar por completo todo lo que hizo!"""
st_058120_0240#0,"""¡Ve, nuestro mayor fracaso, nuestra mayor creación!, ¡Salva mi mayor creación, mi hermana!"""
st_058120_0250#0,"""¡No sé dónde diablos crees que estás mirando!"""
st_058120_0260#0,"""¡Oye, recuerda que estás jugando con nosotros!"""
st_058120_0270#0,"""¡Nos vamos a divertir mucho!"""
st_058120_0280#0,"""Alejar tus ojos de mi belleza es un error de un aficionado."""
st_058120_0290#0,"""Ahora entonces Vamos a deshacernos de estos juguetes defectuosos, ¿Vale?"""
name01#0,"""【Apprentice】"""
name02#0,"""フロー"""
name03#0,"""フラウ"""
