st_058070_0010#0,"""¡Ahora es nuestro-!"""
st_058070_0020#0,"""¿Que?"""
st_058070_0030#0,"""¡Las lecturas están creciendo más!, ¡¿Cómo es posible?"""
st_058070_0040#0,"""Jajajajaja ¡¿Viste eso?! ¿Viste sus caras?... ¡Qué hermosa vista!, ¡Qué espectáculo!"""
st_058070_0050#0,"""¡Simplemente no lo entienden!, ¡No importa cuántos derroten, el mundo exterior está lleno de Photons maduros para ser tomados!"""
st_058070_0060#0,"""¡Y podemos devorarlos a todos!, ¡Podemos crear, recrear, una y otra vez, todo lo que queramos! ¿No es así, Harriet?"""
st_058070_0070#0,"""Espera. Hmm... Los Photons parecen estar fluyendo mucho más lento..."""
st_058070_0080#0,"""¿Que?"""
st_058070_0090#0,"""No sé, lo que esperaba, pero... Hoooh, hacer esto por mi cuenta, es difícil..."""
st_058070_0100#0,"""Y esa cosa está tratando de absorber los Photons que estoy usando para hacer la barrera, también... Me tienen bien... Pero... Si es una batalla de voluntades la tendran..."""
st_058070_0110#0,"""¿Una barrera que apaga a los Photons? No sabía que tenían a alguien que pudiera hacer eso... Je. Bueno, al menos están peleando."""
st_058070_0120#0,"""¿Se esta reduciendo la cantidad de apariciones?"""
st_058070_0130#0,"""¡Entonces ataquemos!"""
st_058070_0140#0,"""¡Retendré al enemigo aquí!, ¡Guardián, dirígete directo al capullo!"""
st_058070_0150#0,"""¡No te mueras!"""
st_058070_0160#0,"""¡Tienes mi agradecimiento!"""
st_058070_0170#0,"""¡Puedes mostrar tu agradecimiento cuando la batalla termine! Pero ahora, ambos debemos hacer nuestra parte, ¡Como los mencionados en la leyenda!"""
st_058070_0180#0,"""Mi poder es el de la leyenda, el poder ejercido en nombre de los dioses. Y por lo tanto, no puede ser manejado para fines propios."""
st_058070_0190#0,"""Pero ahora, debo romper ese voto que una vez hice."""
st_058070_0200#0,"""¡No estoy aquí como la Doncella de la Espada, sino como Alisa Landale!, ¡Y lucho por salvar a mi querido amigo!"""
st_058070_0210#0,"""¡Así que vengan, manifestaciones del mal!, ¡Es hora de que mi espada forje una nueva leyenda!"""
st_058070_0220#0,"""¡Señorita Alisa!"""
name01#0,"""？？？"""
name02#0,"""？？？"""
