st_058025_0010#0,"""Hace unas décadas, Ephimera comenzó a aparecer en ese mundo, ¿No es así?"""
st_058025_0020#0,"""Pero entonces, eso significaría que Profound Darkness se había fusionado con ese mundo hace mucho tiempo, ¿No es así?"""
st_058025_0030#0,"""Pero el y Profound Darkness se vieron envueltos en Omega casi al mismo tiempo, así que, ¿Cómo fue que hubo una brecha de tiempo tan grande?"""
st_058025_0040#0,"""¡Ejem! Déjame explicarte, ¡Como lo pediste!"""
st_058025_0050#0,"""Creo que mencioné esto antes, pero<br>originalmente, el tiempo dentro del Registro Akáshico pasó a una velocidad increíblemente rápida según nuestros estándares."""
st_058025_0060#0,"""A medida que el Registro procesa toda la historia que está catalogando, los diversos mundos que se encuentran dentro de ellos se mueven a velocidades insondables."""
st_058025_0070#0,"""Y luego algo ajeno a esto entra, Profound Darkness, seguido solo por una fracción de segundo más tarde por ti."""
st_058025_0080#0,"""<%me> cuando entraste, me llamó la atención, e inmediatamente sincronicé las dos secuencias de tiempo."""
st_058025_0090#0,"""¿Sincronizar... Los flujos de tiempo?..."""
st_058025_0100#0,"""Ah, bueno... vamos con la explicación muy reductiva para aclarar todo."""
st_058025_0110#0,"""Pero esa fracción de segundo, esa pequeña brecha entre los dos que ingresaron fueron décadas en términos de su flujo de tiempo."""
st_058025_0120#0,"""Lo que solo sirve para mostrar el increíble ritmo del tiempo en Omega. O mejor dicho, en el Registro Akáshico."""
st_058025_0130#0,"""Incluso diciendo que el 'tiempo' fluye no es... Totalmente correcto. Más que hay un flujo constante de registros que están siendo catalogados."""
st_058025_0140#0,"""Entonces, si no hubieras detenido el paso del tiempo como lo hiciste, Alma, ¿Qué hubiera pasado?..."""
st_058025_0150#0,"""Hmm, bueno... La posibilidad es que el agujero negro hubiera crecido a su tamaño completo en un instante y hubiera consumido toda la realidad."""
st_058025_0160#0,"""Lo que significa que, sin saberlo, podrías haber hecho un buen trabajo, ¿Eh?"""
name01#0,"""？？？"""
name02#0,"""？？？"""
