st_058180_0010#0,"""Bienvenido a casa"""
st_058180_0020#0,"""Es bueno estar de vuelta"""
st_058180_0030#0,"""Xiao, ¿Cómo está el agujero negro?"""
st_058180_0040#0,"""No te preocupes por eso. El agujero negro desapareció alrededor del tiempo en que ustedes dos regresaron."""
st_058180_0050#0,"""Y recibí la noticia de que el agujero negro cerca de la Tierra también desapareció al mismo tiempo."""
st_058180_0053#0,"""...Entonces, ¿Eso significa que Omega ya no existe?"""
st_058180_0056#0,"""Omega es un mundo hecho realidad por el Registro Akáshico. Todavía existe, dentro de esos límites. Es solo que la amenaza visible ha pasado, por así decirlo."""
st_058180_0060#0,"""Todos ustedes han hecho un trabajo increíble; Gracias a todos ustedes, el universo está a salvo. Ahora es el momento para que yo haga mi<br>trabajo."""
st_058180_0070#0,"""¿Qué paso con Persona?..."""
st_058180_0080#0,"""¿Qué paso con Profound Darkness?..."""
st_058180_0090#0,"""Las lecturas han desaparecido por completo. Tampoco estoy recibiendo señales en las cercanías de Naberius."""
st_058180_0100#0,"""Según los datos, la suposición sensata sería que ha... desaparecido."""
st_058180_0110#0,"""Y, sin embargo, el hecho es que Persona te prestó su poder, al final."""
st_058180_0120#0,"""Sí. Puedo sentir algo allí. Es débil, pero definitivamente está ahí."""
st_058180_0130#0,"""Hay un calor allí dentro de ti... Su calor, que no estaba antes. Puede que no sea mucho, pero... Es un paso en la dirección correcta, ¿No es así?"""
st_058180_0140#0,"""<%me> y Matoi deben estar agotad@s después de todo lo que han pasado. Descansen un poco."""
st_058180_0150#0,"""¡Si deberías!, ¡Y tú también necesitas un chequeo médico, o ella se volverá loca!"""
st_058180_0160#0,"""Tú también necesitas descansar, Xiera. Manejare las cosas aquí en el puente."""
st_058180_0170#0,"""Espera, ¿Me dejas?..."""
st_058180_0180#0,"""Has estado allí a cada paso del camino, lidiando con una crisis en un mundo insondable. Realmente te mereces la oportunidad de recuperarte."""
st_058180_0190#0,"""¡Nunca pensé que oiría a Xiao ser tan generoso conmigo! Supongo que la vida siempre está llena de nuevas sorpresas, ¿No?"""
st_058180_0200#0,"""Nos lo hemos pasado muy mal, pero supongo que todo va bien, ¡Eh!"""
st_058180_0210#0,"""En efecto. Debo agradecerte por tu incansable dedicación en el otro mundo."""
st_058180_0220#0,"""¿Valna?"""
st_058180_0225#0,"""Solo exististes en Omega, ¿Verdad?, ¿Qué estás haciendo aquí?"""
st_058180_0230#0,"""Yo tambien soy igual que tú. Esa es la unica razón."""
st_058180_0240#0,"""Guardián. Serias tan amable de seguirme."""
st_058180_0250#0,"""Vámos, y demos la bienvenida a mi Ama."""
st_058180_0260#0,"""Varuna. Que es lo que quieres, exactamente"""
st_058180_0270#0,"""Yo no quiero nada. Simplemente doy todo en servicio a las necesidades de mi Ama."""
name01#0,"""？？？"""
name02#0,"""？？？"""
