st_058030_0010#0,"""¡Vamos de prisa!"""
st_058030_0020#0,"""¡Rápido!"""
st_058030_0030#0,"""Asegúrate de estar cerca de mí, ¿De acuerdo?"""
st_058030_0040#0,"""¡Todos están seguros de correr! Pero parecen muy... Organizados, ¿No?"""
st_058030_0050#0,"""De acuerdo, todos, cuando estén listos para moverse, comiencen a dirigirse hacia el oeste, ¡Es hora de migrar! Y recuerden, solo tomen lo que necesiten!"""
st_058030_0060#0,"""Es muy posible que esta tierra vuelva a ser un campo de batalla. Le pedimos que evacuen por el momento, por su propia seguridad."""
st_058030_0070#0,"""Recuerden, manténgan la calma y caminen en orden, sin apresurarse y no entren en pánico. Cualquier cosa que necesiten saber, solo pregunten con calma a cualquiera de los guardias reales, ¡Y con toda tranquilidad te ayudarán!"""
st_058030_0080#0,"""Esas voces...<br>¿Maru? ¡Y Alisa, también!<br>¡Deberíamos apresurarnos hacia el castillo!"""
st_058030_0090#0,"""¡Maru!"""
st_058030_0100#0,"""Oh, tal blasfemia practicada, ahora, ¿Quién podría ser? ¡Te tomó mucho tiempo para aparecer, hada!"""
st_058030_0110#0,"""Saludos a ti también, Guardián. Hemos esperado su llegada."""
st_058030_0120#0,"""¿Por qué están ustedes dos en el castillo?"""
st_058030_0130#0,"""¿Qué estan haciendo aquí?"""
st_058030_0140#0,"""Cómo puedes Ver, Estamos ayudando a evacuar a los ciudadanos de Cuent."""
st_058030_0150#0,"""Pero la gente de Cuent no siguió mis instrucciones, así que le pedí a la Doncella de la Espada que me ayudara."""
st_058030_0160#0,"""Estás haciendo que todos evacuen... Maru, ¿Has descubierto lo que está pasando?"""
st_058030_0170#0,"""No tengo ni idea de lo que está pasando, pero incluso puedo decir que son realmente malas noticias. Quiero decir, puedes ver ese espeluznante capullo negro desde aquí."""
st_058030_0180#0,"""Este líquido negro comenzó a derramarse a través de la tierra alrededor de él, y está haciendo que los Demonios y los Debli Castles aparezcan por todas partes. Toda la zona está en caos."""
st_058030_0190#0,"""Los monstruos no tienen fin, así que hemos levantado un muro para mantenerlos a raya mientras evacuamos a todos hacia el oeste."""
st_058030_0200#0,"""¡Epic da la bienvenida a todos los que la llamarían su hogar! Es solo... Bueno, ¡Es un lugar bastante inhóspito como para llamarlo hogar!"""
st_058030_0210#0,"""Mi espada me está prestando su poder, a pesar de la ausencia del Dragón. Lo que significa que la amenaza que enfrentamos es igual de grave."""
st_058030_0220#0,"""La hoja habla, y me dice esto. Nos enfrentamos a una manifestación de calamidad en sí. Que una amenaza que supera con creces al Dragón de Erythron se agita dentro."""
st_058030_0230#0,"""Normalmente, es Harriet quien encabeza la<br>carga, pero no está aquí cuando más la necesitamos,<br>¿Verdad? Entonces, ¿Qué otra cosa voy a hacer?, pues asumire la tarea."""
st_058030_0240#0,"""Si ella estuviera aquí, sabes que lo primero que haría es asegurarse de que su gente se moviera a un lugar seguro. Así que sólo estoy haciendo eso en su lugar."""
st_058030_0250#0,"""Bien, ahí esta tu pregunta bien respondida... Creo ¡Ahora tengo una para ti!."""
st_058030_0255#0,"""¿Donde esta Harriet?"""
st_058030_0260#0,"""Ella esta..."""
st_058030_0270#0,"""Ella esta en ese capullo negro... ¿Verdad?"""
st_058030_0280#0,"""No me digas: '¡¿Cómo lo supo ella?!' Mira... Si piensas en la situación, es bastante fácil de entender."""
st_058030_0290#0,"""Las cosas se pusieron realmente serias, pero Harriet no ha vuelto a Cuent. Lo que significa que obviamente algo le ha pasado a ella."""
st_058030_0300#0,"""Si ella estuviera herida, no te irías de su lado. Y si ella estuviera muerta, eso sería lo primero que nos hubieras dicho, ¿Verdad? Así que eso la deja siendo tomada como la suposición mas logica."""
st_058030_0310#0,"""Y lo primero que hiciste cuando llegaste aquí fue preguntar por nuestra situación. No tenías prisa por averiguar dónde está ella."""
st_058030_0320#0,"""Lo que significa que sabes exactamente dónde la han llevado, Y considerando lo que está<br>sucediendo solo necesito conjeturar que es lo que sucede."""
st_058030_0330#0,"""...Eres increíble, Maru"""
st_058030_0340#0,"""No soy la reina de un reino famoso por su conocimiento de manipular el corazón por nada."""
st_058030_0350#0,"""...No puedo culparte por ser incierto."""
st_058030_0360#0,"""¡Así que todo lo que puedo hacer, como Reina, es darte el impulso que ambos necesitamos!"""
st_058030_0370#0,"""¡Ya sabes exactamente lo que tienes que hacer!"""
st_058030_0380#0,"""Si esa cosa está ahí, ¡Tenemos un problema! Si se va ido, ¡Entonces no hay problema! Solución: ¡Ir y deshacerse de esa cosa!"""
st_058030_0390#0,"""Pero Harriet está atrapada dentro de ese capullo negro..."""
st_058030_0400#0,"""Eso es un problema, sí... Mmm, bueno, ¡Guardián puede manejar eso!"""
st_058030_0410#0,"""¿Eso es todo lo que tienes?"""
st_058030_0420#0,"""¡Ah, cállate, hada!, ¡Eso es todo lo que cualquiera de nosotros puede hacer!, ¡El Guardian siempre ha sido el que ha arreglado las cosas cuando ninguno de nosotros ha podido!"""
st_058030_0430#0,"""Es como dice la santa reina de Epic. El Guardian ha seguido haciendo posible lo que parecía imposible."""
st_058030_0440#0,"""No solo eliminó al Dragón de Erythron, sino que rescató el alma de mi querido tío."""
st_058030_0450#0,"""¡Y me salvó cuando fui tragada por la oscuridad!"""
st_058030_0460#0,"""Y has logrado mucho más que eso, también."""
st_058030_0470#0,"""¡Si me preguntas en qué crería en esta situación, sabes que lo primero que diría es que: ¡Siempre crere en el Guardián!"""
st_058030_0480#0,"""Así que sí, voy a creer en ti y haré todo lo que pueda para ayudar. Y sin embargo, si las cosas van a suceder, ¡Será por hacer lo que creíamos!, ¡Es tan simple como eso!"""
st_058030_0490#0,"""Así que no tienes que asumir esa responsabilidad, ¿Bien? No tienes que dudar sobre si actuar."""
st_058030_0500#0,"""La responsabilidad de esas decisiones recae en los hombros de Harriet y en los míos, como la realeza."""
st_058030_0510#0,"""Maru..."""
st_058030_0520#0,"""¡Más blasfemia! ¿Es tan difícil usar mi nombre?"""
st_058030_0530#0,"""Guardián. Tengo fe en que puedes hacer esto"""
