st_058140_0010#0,"""Esto no puede... ¡Ser!... No puedo perder, ¡No puedo!... Conozco el futuro, ¡Lo sé!..."""
st_058140_0030#0,"""¡¿No te das cuenta de lo que tuvo que pasar <%me> para llegar a este punto?!"""
st_058140_0040#0,"""¡Tu, Profound Darkness!, No... ¡Persona!"""
st_058140_0060#0,"""¡Voy a llevar a Harriet de vuelta!"""
st_058140_0070#0,"""¡Harriet, voy a salvarte!"""
st_058140_0090#0,"""¡No te dejaré!..."""
st_058140_0110#0,"""Gah.. Hah..."""
st_058140_0120#0,"""Haha, ¡Hahahahahaha<br>Hahahahahaha!"""
st_058140_0130#0,"""¡Eres un completo bufón!"""
st_058140_0150#0,"""Ya sabes. Estaba realmente en un... Atasco, al comienzo de todo esto."""
st_058140_0160#0,"""Mi vasija fue arrebatada... Tenía un alma propia puesta en ella... Y el vínculo entre ellos era más fuerte de lo que yo podría haber imaginado..."""
st_058140_0170#0,"""No sabía qué hacer. ¿Qué puedo hacer? Pero entonces apareciste, mi querido Guardián."""
st_058140_0180#0,"""Gracias, por cortarme. ¡Gracias por liberarme! Ahora, finalmente puedo ser yo mismo una vez... más."""
st_058140_0190#0,"""¿Que hay de Harriet?"""
st_058140_0200#0,"""¡¿Harriet?!, ¡Esa alma débil y patética se ha ido!"""
st_058140_0220#0,"""¡¿No me paresco a Persona?! ¿No apollo a Profound Darkness?"""
st_058140_0230#0,"""¡Jajaja! Bueno, ¡Por supuesto que no! Porque este no es mi cuerpo actual, ¿Verdad?"""
st_058140_0250#0,"""Ahora bien, mi querido predecesor. Es hora de que hagamos esto de verdad. ¿Estás listo para la segunda ronda, verdad?"""
st_058140_0270#0,"""Estas lecturas... ¡Están en un nivel superior a cualquier Dark Falz con el que hayamos luchado antes! Son... Incluso superior a Profound Darknes..."""
st_058140_0280#0,"""Oh sí, vamos. Porque soy yo."""
st_058140_0290#0,"""He obtenido los factores de Elder, Apprentice, Loser, Double y, por supuesto, Persona... ¡Y ahora mi poder está en casa en su propio recipiente!"""
st_058140_0300#0,"""¡Y como Profound Darkness, eliminaré todos los Photons y reduciré este mundo a la nada que se supone que debe ser!"""
st_058140_0310#0,"""Y la eliminación de los Photons significa la eliminación del registro akásico. ¡Borraré los recuerdos del universo mismo!"""
st_058140_0320#0,"""¡Los recuerdos divertidos, los recuerdos tristes, los recuerdos de odio, los recuerdos alegres!, ¡No escatimaré ninguno, devolveré hasta el último a nada!"""
st_058140_0340#0,"""No permitiré que eso suceda."""
st_058140_0360#0,"""¿Esa es Harriet?"""
st_058140_0370#0,"""¿Tú... Eres el alma de Harriet?, ¿Cómo sigues viva? ¡Deberías haberte ido! ¿De verdad vas a tratar de resistirte, ahora?"""
st_058140_0380#0,"""……この身が異形となろうとも<br>魂まで異形に身をやつしたわけでは<br>ありません。"""
st_058140_0390#0,"""Esta alma existe para proteger el mundo que amo...<br>Las personas que amo.<br>¡Para eso nació este corazón!"""
st_058140_0400#0,"""Finalmente lo entiendo ahora, hermano.<br>Y finalmente lo encontré...<br>La razón por la que estoy aquí."""
st_058140_0410#0,"""Guardián... El heroico salvador del que se habla en la leyenda.<br>Forja una nueva leyenda, aquí y ahora! Por favor, te lo ruego, te lo ruego..."""
st_058140_0430#0,"""Vas a volver con nosotros"""
st_058140_0440#0,"""Serás tú quien lo cuente."""
st_058140_0460#0,"""...¡! Guardián... ¿Irías tan lejos?..."""
st_058140_0480#0,"""¡El alma de un fracaso!<br>Un lamentable rechazo de un Dark Falz<br>¿Crees que personas como tú pueden detenerme?"""
st_058140_0490#0,"""Este mundo... ¡Este universo será borrado!<br>¡Y todo el registro que existió será borrado con él!"""
st_058140_0510#0,"""No lo voy a permitir"""
st_058140_0520#0,"""Puedo salvarla"""
st_058140_0530#0,"""Entendido. No puedo pensar en nada más lamentable que ser borrado de la existencia por alguien tan lamentable como él."""
line01#0,"""Se a guardado el progreso actual"""
name01#0,"""？？？"""
name02#0,"""？？？"""
