st_057150_0010#0,"""Kgh, !Maldicion,¿De dónde vienen todos estos monstruos?"""
st_057150_0020#0,"""Reina Harriet, no podemos mantener la línea por más tiempo!<br>¡Debemos retirarnos de una vez!"""
st_057150_0030#0,"""Ghh... Pero si hacemos eso, entonces..."""
st_057150_0040#0,"""¡Y si todos morimos aquí, entonces toda esperanza se perderá de verdad! Reina Harriet, se lo ruego..!"""
st_057150_0050#0,"""Muy bien"""
st_057150_0060#0,"""Varuna, ordena que todas nuestras fuerzas se retiren. Volveremos a mover la línea del frente a las fronteras de Cuent."""
st_057150_0070#0,"""¡En seguida!, ¡Informare inmediatamente!"""
st_057150_0080#0,"""¿Que acaba de suceder?"""
st_057150_0090#0,"""¡Están atacando desde Cuent!"""
st_057150_0100#0,"""¡El enemigo nos está precionando!, ¡Protege a la reina Harriet, a toda costa!"""
st_057150_0110#0,"""¡No podemos quedarnos aquí, reina Harriet! Es una medida desesperada, ¡Pero debemos escapar! Por favor, quédate a nuestro lado!"""
st_057150_0120#0,"""¿Cómo están apareciendo los Demonios y los Devil Castles sin un invocador?"""
st_057150_0130#0,"""Reina Harriet, las aguas del lago están libres de enemigos,<br>¡Le pido que escape en bote!, ¡Yo los mantendré aquí!"""
st_057150_0140#0,"""¡Valna!"""
st_057150_0150#0,"""No te preocupes por mí, reina Harriet, ¡Te juro que volveré a tu lado!, ¡Ahora ve!<br>¡Dejo a la reina Harriet en tus manos!"""
st_057150_0160#0,"""¡Si!"""
st_057150_0170#0,"""¡Valna!<br>¡Valna!"""
st_057150_0180#0,"""No debería haber enemigos aquí..."""
st_057150_0190#0,"""¿Están aquí también?"""
st_057150_0200#0,"""Sé que el Guardián pondrá fin a esto...<br>¡Depende de mí aguantar hasta que el o haga!"""
st_057150_0210#0,"""¡Haaaa!"""
st_057150_0220#0,"""¡Gahh!"""
st_057150_0230#0,"""Ha..haa..!"""
st_057150_0240#0,"""Hermano... Guardian..."""
st_057150_0250#0,"""¿Que?"""
st_057150_0260#0,"""Ahhhh Realmente viniste a salvarme, Guardián..."""
st_057150_0270#0,"""Crei en ti... ¡Siempre he creído!...<br>Estoy tan contenta... Ahora, por fin, el mundo puede permanecer como está ::."""
st_057150_0280#0,"""¿No?...Guardian. ¿Dónde, exactamente, está Xiera?"""
st_057150_0290#0,"""Heh, Hahahahahaha, ahahahahaha! """
st_057150_0300#0,"""Ah, eres, más astuta de lo que esperaba. Me tomé tantas molestias para imitarlo hasta el más mínimo detalle, y tienes que ponerlo todo en...<br>Que desperdicio."""
st_057150_0310#0,"""¡Tu eres... Elmir!"""
st_057150_0320#0,"""Oh, vamos, no puede ser una sorpresa tan grande. Sabías bastante bien que yo seguía vivo, después de todo, ¿Verdad?"""
st_057150_0330#0,"""¿Quieres decir que eres inmortal?"""
st_057150_0340#0,"""¡Jaja! Más que la vida y la muerte no tienen ningún significado en absoluto en este mundo, ¿Verdad?"""
st_057150_0350#0,"""¿Qué estás tratando de decir?"""
st_057150_0360#0,"""Ahh..."""
st_057150_0370#0,"""El Guardián ha sido una abeja tan ocupada, ya sabes.<br>Muy pronto, el habrá puesto toda la lucha alrededor para regresar."""
st_057150_0380#0,"""Oh, sí, ha sido una abeja tan diligente, ocupada y servicial..."""
st_057150_0390#0,"""Elmir: Elder, Loser, Apprentice. y Double. Gracias a el, todos de vuelta a la tierra."""
st_057150_0400#0,"""Pero solo faltas Tu."""
st_057150_0410#0,"""¿Entiendes, no, Harriet? O más bien... deberia decir, vasija de Ephimera."""
st_057150_0420#0,"""vasija de... Ephimera."""
st_057150_0430#0,"""El alma de Ephimera, y la vasija de Ephimera...<br>¡Una vez, estando unidos como uno solo, el mundo se convertirá en uno también!"""
st_057150_0440#0,"""¡El mundo con el que siempre has soñado, finalmente al alcance!<br>¿Qué más podrías querer, querida Harriet?"""
st_057150_0450#0,"""No... No, no puedes... Si haces eso, entonces este mundo será!..."""
st_057150_0460#0,"""Ahora bien, vamos a crear un milagro juntos, ¿De acuerdo?<br>Un milagro que destruirá el mismo mundo... ¡En sí mismo!"""
name01#0,"""¿<%me>?"""
name02#0,"""Soldado"""
name03#0,"""？？？"""
