st_058040_0010#0,"""Buenos días, Harriet! ¿Cómo nos sentimos? De buen humor, espero!"""
st_058040_0020#0,"""¡Después de todo, tienes todo el mundo para festejar! No importa cuánto consumas, ¡siempre habrá más! Un verdadero banquete de todo lo que puedas comer."""
st_058040_0030#0,"""¿Qué piensas hacer ahora?<br>Que vas a hacer conmigo"""
st_058040_0040#0,"""No necesito hacer nada. El mundo será destruido por pura virtud de los dos que existimos. Esa es la naturaleza de nuestra existencia."""
st_058040_0050#0,"""<br>あPuedes verlo, ¿verdad, Harriet? ¡El agua negra que fluye por todo el mundo, consumiéndola! Esos somos nosotros. Eso es lo que somos."""
st_058040_0060#0,"""El mana... o más bien, los photons se consumen, ¡devorados por el caos en constante expansión! Y así el mundo se mezclará en uno."""
st_058040_0070#0,"""La distinción dejará de ser, ya que todo se convierte en uno. La vida como la conocemos terminará, volviendo a la sopa primordial. Para eso es que existimos..."""
st_058040_0080#0,"""¡Eso no es lo que yo deseaba! Simplemente deseaba traer paz al mundo, ¡eso es todo lo que siempre he deseado!"""
st_058040_0090#0,"""Oh, paz al mundo. Ja ja, muy noble! Pero me pregunto exactamente de quién es ese deseo, mmm, ¿Harriet?"""
st_058040_0100#0,"""¿Que?"""
st_058040_0110#0,"""Tú no eres Harriet. Lo sabes mejor que nadie. Solo estás viviendo su vida, pero no eres ella, de ninguna manera."""
st_058040_0120#0,"""Ese ferviente deseo tuyo nunca fue tuyo para empezar, simplemente lo heredaste. ¿Y todavía diras que eso es todo lo que deseas?"""
st_058040_0130#0,""" Eso es..."""
st_058040_0140#0,"""Oh mira, si no es mi querido predecesor. Todas esas amenazas que hice, y aún así ataca sin miedo."""
st_058040_0150#0,"""Obviamente, nadie le enseñó el significado de la palabra Inutilidad, ¿no crees?"""
st_058040_0160#0,"""Guardian..."""
st_058040_0170#0,"""Heh Ya veo. Es su existencia la que te deja aferrarte a la esperanza, ¿verdad?"""
st_058040_0180#0,"""Entonces me alegraré de dejarte mirar mientras este aplastado bajo mis pies como la pequeña cucaracha impotente que es."""
name01#0,"""？？？"""
name02#0,"""？？？"""
